es,ro,Alignment Score
paz,pace,0.33333333333333337
no,nu,0.4666666666666667
hiel,fiere,0.4833333333333334
cielo,cer,0.37777777777777777
ser,a fi,0.8666666666666667
vil,ticalos,0.4444444444444444
bajo,sub,0.6000000000000001
malo,rau,0.6444444444444445
para ver,pentru a vedea,0.29166666666666663
madre,mama,0.45000000000000007
tener,a avea,0.7066666666666668
ego,ego-ul,0.08888888888888902
bien,bun,0.33333333333333337
pero,dar,0.6222222222222222
sol,soare,0.3555555555555556
bien,bun,0.33333333333333337
venir,vin la tine,0.4666666666666667
ir,merge,0.6000000000000001
ellos son,sunt,0.55
dar,a da,0.33333333333333337
ahora,acum,0.6499999999999999
que,ce,0.5
fue,era,0.5777777777777777
enlace,legatura,0.5888888888888888
luz,usoara,0.6666666666666667
a nosotros,s.u.a,0.7333333333333334
acusado,parat,0.5733333333333334
con,cu,0.5
su,ta,0.8666666666666667
semejante,astfel de,0.5555555555555556
el era,el a fost,0.3222222222222223
role,rol,0.04444444444444451
a mi,pe mine,0.30000000000000016
uno,unu,0.3111111111111111
luna,luna,0.0
hasta,pana cand,0.6
mmm,hmm,0.3111111111111112
por,pe,0.5
vis,vis,0.0
fin,sfarsit,0.4444444444444444
correo,post,0.6833333333333333
dolor,durere,0.5333333333333333
acto,act,0.04444444444444451
sol,soare,0.3555555555555556
sin,fara,0.8666666666666667
padre,tata,0.6666666666666667
doblar,intoarce,0.4666666666666667
dia,zi,0.5333333333333334
doy,eu dau,0.6666666666666667
voluntad,voi,0.4222222222222223
pro,pro,0.0
mirad,iata,0.4833333333333334
camino,drum,0.6833333333333333
tez,complexitate,0.5111111111111111
leer,a citi,0.8666666666666667
oda,oda,0.0
entonces,asa de,0.711111111111111
ni,nici,0.09999999999999998
hice,am facut,0.7333333333333334
acto,act,0.04444444444444451
voz,voce,0.33333333333333337
homosexuales,gay,0.8222222222222223
mi,ale mele,0.7000000000000001
ley,lege,0.33333333333333337
vuelo,zbor,0.6666666666666667
malo,rau,0.6444444444444445
mano,mana,0.2333333333333334
en uno,pe unu,0.3111111111111112
dar,da,0.06666666666666676
ajetreo,agitatie,0.5142857142857143
par,pereche,0.4222222222222223
para,pentru,0.5
rio,rau,0.5777777777777777
por eso,prin urmare,0.4190476190476191
hola,buna ziua,0.7166666666666668
cia,cia,0.0
jus,jus,0.0
hogar,acasa,0.6799999999999999
su,ta,0.8666666666666667
el hizo,el a facut,0.5047619047619049
voluntad,voi,0.4222222222222223
