es,gl,Alignment Score
paz,paz,0.0
no,non,0.06666666666666676
hiel,fel,0.33333333333333337
cielo,ceo,0.08888888888888902
ser,ser,0.0
vil,vil,0.0
bajo,baixo,0.25
malo,malo,0.0
para ver,ver,0.1333333333333333
madre,nai,0.6666666666666667
tener,ter,0.06666666666666665
ego,ego,0.0
bien,bo,0.5333333333333334
pero,pero,0.0
sol,sol,0.0
bien,bo,0.5333333333333334
venir,ven,0.06666666666666687
ir,vai,0.5
ellos son,eles son,0.125
dar,dar,0.0
ahora,agora,0.18666666666666676
que,que,0.0
fue,foi,0.5777777777777777
enlace,ligazon,0.5888888888888889
luz,luz,0.0
a nosotros,nos,0.20000000000000007
acusado,imputado,0.3904761904761904
con,con,0.0
su,teu,0.5
semejante,tal,0.7333333333333334
el era,foi,0.9111111111111111
role,papel,0.6666666666666667
a mi,eu,0.9333333333333333
uno,un,0.06666666666666676
luna,lua,0.04444444444444451
hasta,ata que,0.3866666666666667
mmm,hmm,0.3111111111111112
por,por,0.0
vis,vis,0.0
fin,fin,0.0
correo,publicacion,0.6333333333333333
dolor,dor,0.06666666666666665
acto,actuar,0.2666666666666667
sol,sol,0.0
sin,sen,0.3111111111111112
padre,pai,0.3555555555555556
doblar,quenda,0.5666666666666667
dia,dia,0.0
doy,eu dou,0.3999999999999999
voluntad,vontade,0.1428571428571429
pro,pro,0.0
mirad,velai,0.6799999999999999
camino,estrada,0.711111111111111
tez,tez,0.0
leer,ler,0.04444444444444451
oda,oda,0.0
entonces,asi,0.711111111111111
ni,nin tampouco,0.3666666666666668
hice,fixen,0.5
acto,actuar,0.2666666666666667
voz,voz,0.0
homosexuales,gai,0.8222222222222223
mi,meu,0.5
ley,lei,0.3111111111111111
vuelo,voo,0.3555555555555555
malo,malo,0.0
mano,man,0.04444444444444451
en uno,nun,0.13333333333333341
dar,dar,0.0
ajetreo,axitacion,0.5238095238095238
par,par,0.0
para,para,0.0
rio,rio,0.0
por eso,polo tanto,0.4095238095238096
hola,ola,0.04444444444444451
cia,cia,0.0
jus,xus,0.3111111111111112
hogar,casa,0.6666666666666667
su,teu,0.5
el hizo,fixo,0.5166666666666666
voluntad,vontade,0.1428571428571429
a traves de,via,0.7555555555555555
sonido,son,0.08888888888888902
barco,barco,0.0
si,si,0.0
amo,encantame,0.4666666666666667
rey,rei,0.3111111111111111
el tiene,el ten,0.04444444444444451
bien,bo,0.5333333333333334
pero,pero,0.0
usar,usar,0.0
mes,mes,0.0
desaparecido,ido,0.2222222222222222
mentiras,mentiras,0.0
ala,a,0.20000000000000007
alguno,algunhas,0.1777777777777777
a el,el,0.09999999999999998
eco,eco,0.0
camarada,amigo,0.56
clan,clan,0.0
amar,amor,0.2333333333333334
hecho,feito,0.5333333333333333
mito,mito,0.0
inclinacion,prexuizo,0.6583333333333334
tu,ti,0.4666666666666667
como,como,0.0
caos,caos,0.0
al azar,ao azar,0.13333333333333341
estilo,garbo,0.6799999999999999
ver,ver,0.0
accion,accion,0.0
sed,sede,0.04444444444444451
despues,despois,0.24761904761904763
entonces,enton,0.05333333333333323
vida,vida,0.0
casa,casa,0.0
cima,pico,0.6499999999999999
saga,saga,0.0
miedo,medo,0.033333333333333326
ano,ano,0.0
desierto,deserto,0.01904761904761898
suma,suma,0.0
abuela,avoa,0.4666666666666667
lema,lema,0.0
mas alla de,mais alo,0.25
tonto,parvo,0.6666666666666667
destino,destino,0.0
idem,idem,0.0
urgente,urxente,0.13333333333333341
creer,crer,0.033333333333333326
para el,para o,0.16666666666666663
adaptar,encaixar,0.49523809523809526
celo,celo,0.0
el vino,el veu,0.30000000000000016
pude,poderia,0.30000000000000016
todo,todos,0.033333333333333326
mas,mais,0.04444444444444451
malo,malo,0.0
area,area,0.0
amar,amor,0.2333333333333334
brusco,groseiro,0.48888888888888893
aburrido,coxo,0.7
cuota,cota,0.033333333333333326
para,para,0.0
sonido,son,0.08888888888888902
tierra,terra,0.026666666666666727
sera,sera,0.0
fase,fase,0.0
ser,sendo,0.3555555555555556
ser,propio,0.6666666666666667
detras,detras,0.0
dulce,doce,0.25
moda,moda,0.0
pronto,en breve,0.7333333333333334
donde,onde,0.033333333333333326
escarcha,rime,0.7
dios,deus,0.43333333333333335
para el,para o,0.16666666666666663
antes,antes,0.0
temprano,cedo,0.5333333333333334
yugo,xugo,0.2333333333333334
bastante,bastante,0.0
arte,art,0.04444444444444451
alma,alma,0.0
meta,obxectivo,0.5666666666666667
cuyo,cuxo,0.2333333333333334
sillin,sela,0.5
trae,trae,0.0
en,en,0.0
celula,celula,0.0
contenido,contido,0.028571428571428692
estado,estivo,0.288888888888889
noya,noia,0.2333333333333334
rostro,cara,0.6833333333333333
asco,noxo,0.6333333333333333
asco,noxo,0.6333333333333333
objetivo,obxectivo,0.1333333333333333
enfocar,foco,0.30000000000000016
eso,iso,0.3111111111111112
pose,pose,0.0
salir,sair,0.033333333333333326
base,base,0.0
de acuerdo,ok,0.7333333333333334
odiar,odio,0.25
acto,act,0.04444444444444451
el tuvo,tina,0.7
alto,alto,0.0
todo,todos,0.033333333333333326
ocio,lecer,0.6833333333333333
rito,rito,0.0
dios mio,caramba,0.7333333333333334
voluntad,vontade,0.1428571428571429
nuevo,novo,0.25
agil,axil,0.2333333333333334
amanecer,amencer,0.1428571428571429
tesis,tese,0.25
alto,alto,0.0
bulto,bulto,0.0
nexo,nexo,0.0
costa,costa,0.0
sagaz,sagaz,0.0
centro,nucleo,0.43333333333333335
negro,negro,0.0
termino,termo,0.04000000000000015
exito,exito,0.0
mezclar,mesturar,0.37142857142857144
noble,nobre,0.18666666666666676
sentido,sentido,0.0
afecto,carino,0.5666666666666667
verdugo,verdugo,0.0
etica,etica,0.0
lleno,cheo,0.4666666666666667
mutual,mutuo,0.19999999999999996
tenue,tenue,0.0
hacer,facer,0.18666666666666676
asi,como isto,0.7333333333333334
sutil,sutil,0.0
fuerza,forza,0.19999999999999996
aqui,aqui,0.0
sin embargo,con todo,0.5583333333333333
seccion,seccion,0.0
eran,foron,0.4833333333333334
sanar,curar,0.5066666666666666
fuerza,poder,0.5333333333333333
atrevido,atrevido,0.0
idea,idea,0.0
centro,nucleo,0.43333333333333335
innato,innato,0.0
moral,moral,0.0
acerca de,sobre,0.5733333333333333
desde,xa que,0.6799999999999999
muy,moi,0.5777777777777777
justo,xusto,0.18666666666666676
honor,honra,0.18666666666666676
tal vez,quizais,0.7142857142857143
torpe,torpe,0.0
sueno,sono,0.25
razon,razon,0.0
futil,inutil,0.19999999999999996
etnicidad,etnia,0.08000000000000007
icono,icona,0.18666666666666676
adjunto,anexo,0.3866666666666667
amigo,amigo,0.0
egida,exido,0.3733333333333334
tange,tanxe,0.18666666666666676
lapso,lapso,0.0
haber,ser,0.3555555555555556
exponer,exponer,0.0
mutual,mutuo,0.19999999999999996
dengo,dengo,0.0
tiempo,tempo,0.026666666666666727
pareja,parella,0.16666666666666663
entonces,enton,0.05333333333333323
habil,habil,0.0
cosecha,colleita,0.39047619047619053
bocal,bocal,0.0
ardid,artimana,0.41333333333333344
en vivo,en directo,0.2952380952380954
pesar,a peso,0.3733333333333334
saber,saber,0.0
causa,causa,0.0
gracia,graza,0.19999999999999996
decir,dicir,0.18666666666666676
genero,xenero,0.15555555555555556
obstaculo,obstaculo,0.0
posesion,posesion,0.0
coser,coser,0.0
paria,paria,0.0
deber,deber,0.0
gritar,berrar,0.43333333333333335
tenaz,tenaz,0.0
descendencia,descendencia,0.0
tamiz,peneira,0.7066666666666667
ser,sendo,0.3555555555555556
buho,curuxa,0.7
comun,comun,0.0
miedo,medo,0.033333333333333326
sostiene,aguanta,0.7333333333333334
todavia,ainda,0.3866666666666667
alegria,animo,0.56
apendice,apex,0.30000000000000016
afan,afan,0.0
ceda el paso,deixa o paso,0.28888888888888886
ser,ser,0.0
valioso,digno,0.56
cronograma,horario,0.5333333333333334
bonito,fermosa,0.7111111111111111
xibiu,xibiu,0.0
culto,culto,0.0
mundo,mundo,0.0
atroz,atroz,0.0
fugaz,fugaz,0.0
censo,censo,0.0
tierra,terra,0.026666666666666727
fuerte,forte,0.19999999999999996
adiccion,adiccion,0.0
alias,tamen conecido como,0.7333333333333334
hornear,cocer,0.41333333333333333
valer,vale,0.033333333333333326
denso,densa,0.18666666666666676
excepto,excepto,0.0
cinico,cinico,0.0
adecuado,axeitado,0.33333333333333337
alcance,ambito,0.7
not(c)miembro,non e membro,0.28888888888888886
naturaleza,natureza,0.025000000000000022
senor,senor,0.0
camino,camino,0.0
apogeo,apoxeo,0.15555555555555556
inofensivo,inocuo,0.3333333333333335
trajes,traxes,0.15555555555555556
utopia,utopia,0.0
sadico,sadico,0.0
