fr,ro,Alignment Score
convergence,convergenta,0.15757575757575748
exposer,expune,0.3111111111111112
cause,cauza,0.3466666666666668
rime,bruma,0.5
succomber,sucomba,0.16190476190476188
preoccupations,preocupari,0.1333333333333333
vicissitudes,vicisitudine,0.1499999999999999
je l'ai fait,am facut,0.375
pejoratif,peiorativ,0.20740740740740748
pretention,pretensionare,0.11999999999999988
ratifier,ratifica,0.21666666666666667
excellence,excelenta,0.20740740740740748
perturbateur,perturbatoare,0.1499999999999999
paradoxe,paradox,0.01904761904761898
tacite,tacit,0.026666666666666727
paire,pereche,0.3866666666666667
ruse,viclean,0.7
belligerant,beligerant,0.013333333333333308
en outre,in plus,0.5238095238095238
roi,rege,0.6000000000000001
polyvalence,versatilitate,0.5515151515151515
surestimer,supraestima,0.19333333333333336
tient,tine,0.25
affable,afabil,0.1777777777777778
ethique,etica,0.3866666666666667
grossier,nepoliticos,0.6499999999999999
consonne,consoana,0.22499999999999998
exacerbe,exacerbata,0.1333333333333333
desir,dorinta,0.5466666666666666
intransigeant,fara compromisuri,0.6051282051282052
subterfuge,subterfugiu,0.09999999999999987
congruence,congruenta,0.17333333333333334
extraverti,extrovertit,0.10666666666666669
prudence,prudenta,0.21666666666666667
icone,pictograma,0.44000000000000006
culture,cultura,0.13333333333333341
lien,legatura,0.5166666666666668
session,sesiune,0.2666666666666667
volonte,voi,0.4
aussi,de asemenea,0.6133333333333333
affection,afectiune,0.20740740740740748
plausibilite,plauzibilitatea,0.10555555555555551
droit,drept,0.34666666666666657
au hasard,la intamplare,0.4444444444444444
arrogant,arogant,0.01904761904761898
precedent,precedent,0.0
rectification,rectificare,0.16969696969696957
inactif,inactiv,0.13333333333333341
elan,impuls,0.7
supplementaire,aditional,0.6888888888888889
banal,banal,0.0
contemporain,contemporan,0.012121212121212088
a feuilles persistantes,vesnic verde,0.5055555555555556
circonstance,circumstanta,0.28888888888888886
intransigeance,intransigenta,0.1384615384615382
posterieurement,posterior,0.15555555555555545
quintessence,chintesenta,0.32727272727272716
premature,intempestiv,0.5851851851851853
heterogene,eterogen,0.033333333333333326
inference,deducere,0.5333333333333334
lire,a citi,0.6833333333333333
tenace,tenace,0.0
ici,aici,0.04444444444444451
resistance,rezistenta,0.34666666666666657
donc,asa de,0.6833333333333333
preliminaire,preliminar,0.026666666666666616
cordialite,cordialitate,0.019999999999999907
desagrement,incomoda,0.6499999999999999
utile,util,0.033333333333333326
persistance,persistenta,0.23030303030303023
origine,origine,0.0
vertu,virtute,0.2266666666666668
gratitude,recunostinta,0.5111111111111111
demande,cerere,0.5888888888888889
imprevisible,imprevizibile,0.08888888888888902
se vanter,lauda,0.7333333333333334
socio-environnemental,socio-mediu,0.29696969696969666
luxure,pofta,0.8400000000000001
rive,tarm,0.6499999999999999
plenitude,plenitudine,0.022222222222222254
alors,apoi,0.4833333333333334
multiforme,cu mai multe fatete,0.41333333333333344
voir,vedea,0.6499999999999999
fait,fapt,0.2333333333333334
degouter,dezgust,0.2761904761904762
via,prin intermediul,0.9111111111111111
de racheter,a rascumpara,0.4787878787878789
susciter,instiga,0.6190476190476191
concession,concesiune,0.18666666666666676
haleine,suflare,0.6095238095238096
honneur,onora,0.4
commun,uzual,0.6933333333333334
deguise,deghizat,0.39047619047619064
avant,inainte de,0.44000000000000006
monde,lume,0.45000000000000007
coudre,a coase,0.4444444444444444
urgent,urgent,0.0
epiphanie,epifanie,0.125
hostile,ostil,0.053333333333333344
anxieux,nerabdator,0.638095238095238
refroidissement,racire,0.5444444444444445
aspect,aspect,0.0
mourir d'envie,a pofti,0.6857142857142857
indulgence,indulgenta,0.17333333333333334
possession,detinere,0.5666666666666667
lien,legatura,0.5166666666666668
perseverance,perseverenta,0.21111111111111092
comprehension,intelegere,0.6799999999999999
sans,fara,0.6500000000000001
ethere,eteric,0.30000000000000016
beni,binecuvantat,0.4
il consiste,consta,0.2333333333333334
heterosexuel,heterosexual,0.07777777777777772
superstitieux,superstitios,0.1499999999999999
luxure,pofta,0.8400000000000001
credibilite,credibilitate,0.018181818181817966
synthetiser,sintetiza,0.31851851851851853
definir,defini,0.022222222222222143
voir,iata,0.6499999999999999
