fr,ro,Alignment Score
paix,pace,0.43333333333333335
non,nu,0.5
fiel,fiere,0.25
ciel,cer,0.3555555555555556
etre,a fi,0.8333333333333334
vil,ticalos,0.4444444444444444
sous,sub,0.3555555555555556
mauvais,rau,0.4222222222222223
voir,pentru a vedea,0.8166666666666667
mere,mama,0.6333333333333333
avoir,a avea,0.5333333333333333
ego,ego-ul,0.08888888888888902
bien,bun,0.33333333333333337
mais,dar,0.6444444444444445
soleil,soare,0.3733333333333334
bien,bun,0.33333333333333337
venir,vin la tine,0.4666666666666667
aller,merge,0.52
ils sont,sunt,0.31666666666666676
donner,a da,0.6833333333333333
maintenant,acum,0.7333333333333334
quoi,ce,0.9333333333333333
c'etait,era,0.4444444444444444
lien,legatura,0.5166666666666668
lumiere,usoara,0.6000000000000001
nous,s.u.a,0.6499999999999999
defendeur,parat,0.7333333333333334
avec,cu,0.5333333333333334
ton,ta,0.5
tel,astfel de,0.20000000000000007
il etait,el a fost,0.45000000000000007
role,rol,0.04444444444444451
moi,pe mine,0.4222222222222223
un,unu,0.06666666666666676
lune,luna,0.2333333333333334
jusqu'a,pana cand,0.7333333333333334
hmm,hmm,0.0
par,pe,0.5
vis,vis,0.0
fin,sfarsit,0.4444444444444444
poste,post,0.033333333333333326
douleur,durere,0.33333333333333337
acte,act,0.04444444444444451
soleil,soare,0.3733333333333334
sans,fara,0.6500000000000001
pere,tata,0.8333333333333334
tourner,intoarce,0.4095238095238096
jour,zi,0.9333333333333333
je donne,eu dau,0.4666666666666668
volonte,voi,0.4
pro,pro,0.0
voir,iata,0.6499999999999999
route,drum,0.4833333333333334
complexion,complexitate,0.18666666666666665
lire,a citi,0.6833333333333333
ode,oda,0.3111111111111111
donc,asa de,0.6833333333333333
ni,nici,0.09999999999999998
je l'ai fait,am facut,0.375
acte,act,0.04444444444444451
voix,voce,0.43333333333333335
gay,gay,0.0
mon,ale mele,0.7111111111111111
loi,lege,0.6000000000000001
vol,zbor,0.6444444444444445
mauvais,rau,0.4222222222222223
main,mana,0.2333333333333334
sur une,pe unu,0.4555555555555556
donner,da,0.6000000000000001
agitation,agitatie,0.125
paire,pereche,0.3866666666666667
pour,pentru,0.4833333333333334
riviere,rau,0.6666666666666667
ainsi,prin urmare,0.6133333333333333
bonjour,buna ziua,0.5333333333333333
cia,cia,0.0
jus,jus,0.0
maison,acasa,0.56
ton,ta,0.5
il a fait,el a facut,0.2148148148148148
volonte,voi,0.4
via,prin intermediul,0.9111111111111111
son,sunet,0.37777777777777777
bateau,nava,0.5166666666666666
oui,da,0.9
j'aime,iubesc,0.5777777777777777
roi,rege,0.6000000000000001
il a,el are,0.28333333333333355
bien,bun,0.33333333333333337
mais,dar,0.6444444444444445
utiliser,utilizare,0.2333333333333334
mois,luna,0.8333333333333334
disparu,plecat,0.5888888888888889
mensonges,minciuni,0.5583333333333333
aile,aripa,0.4666666666666667
quelques,niste,0.72
lui,-l,0.5
echo,ecou,0.2333333333333334
copain,prietene,0.47777777777777775
clan,clan,0.0
amour,dragoste,0.5866666666666667
fait,fapt,0.2333333333333334
mythe,mit,0.37777777777777777
biais,partinire,0.6000000000000001
toi,tu,0.5
comme,la fel de,0.72
chaos,haos,0.033333333333333326
au hasard,la intamplare,0.4444444444444444
panache,pompon,0.5777777777777777
voir,vedea,0.6499999999999999
action,actiune,0.1777777777777778
la soif,sete,0.7
apres,dupa,0.6499999999999999
alors,apoi,0.4833333333333334
vie,viata,0.3555555555555556
maison,casa,0.5166666666666666
culminer,varf,0.7166666666666668
saga,saga,0.0
peur,frica,0.6666666666666667
anus,anus,0.0
region sauvage,pustie,0.6555555555555556
somme,suma,0.4833333333333333
grand-mere,bunica,0.7444444444444445
devise,motto,0.8400000000000001
au-dela,dincolo,0.6190476190476191
idiot,prost,0.52
destin,soarta,0.5777777777777777
idem,idem,0.0
urgent,urgent,0.0
croire,crede,0.36
pour le,pentru,0.5666666666666667
ajuster,potrivi,0.6095238095238096
zele,zel,0.04444444444444451
il est venu,el a venit,0.3666666666666667
je pourrais,am putut,0.5666666666666667
tous,toate,0.45000000000000007
plus,mai mult,0.7333333333333334
mauvais,rau,0.4222222222222223
zone,zona,0.2333333333333334
amour,dragoste,0.5866666666666667
grossier,nepoliticos,0.6499999999999999
boiteux,schiop,0.7222222222222222
quota,cota,0.25
pour,pentru,0.4833333333333334
son,sunet,0.37777777777777777
atterrir,teren,0.4
ce sera,va fi,0.7066666666666667
phase,faza,0.6666666666666667
etre,fiind,0.85
soi,de sine,0.4222222222222223
derriere,in spate,0.625
doux,dulce,0.4666666666666667
vogue,voga,0.25
bientot,curand,0.7222222222222222
ou,unde,0.5333333333333334
rime,bruma,0.5
dieu,dumnezeu,0.29999999999999993
pour le,pentru,0.5666666666666667
avant,inainte de,0.44000000000000006
tot,din timp,0.7111111111111111
joug,jug,0.04444444444444451
assez,destul de,0.5866666666666667
art,arta,0.04444444444444451
ame,suflet,0.6666666666666667
but,poarta,0.6666666666666667
dont,a caror,0.7166666666666668
selle,sa,0.5666666666666667
apporte,aduce,0.5333333333333333
dans,in,0.5666666666666667
cellule,celula,0.1777777777777778
contenu,continut,0.1523809523809525
a ete,fost,0.6666666666666667
noia,noia,0.0
affronter,fata,0.55
degouter,dezgust,0.2761904761904762
degouter,dezgust,0.2761904761904762
cible,tinta,0.6933333333333334
se concentrer,se concentreze,0.07692307692307687
que,acea,0.6222222222222222
pose,poza,0.43333333333333335
sortir,a iesi afara,0.5111111111111111
base,baza,0.43333333333333335
d'accord,bine,0.9
detester,ura,0.711111111111111
acte,act,0.04444444444444451
il avait,el a avut,0.3500000000000001
haut,inalt,0.4833333333333334
tous,toate,0.45000000000000007
loisirs,agrement,0.7333333333333334
rite,rit,0.04444444444444451
ouais,naiba,0.5333333333333333
volonte,voi,0.4
nouveau,nou,0.11111111111111116
agile,agil,0.033333333333333326
aube,zorii,0.85
these,teza,0.45000000000000007
haut,inalt,0.4833333333333334
renflement,umflatura,0.5777777777777778
lien,legatura,0.5166666666666668
rive,tarm,0.6499999999999999
sagace,sagace,0.0
coeur,miez,0.6833333333333333
noir,negru,0.4666666666666667
terme,termen,0.026666666666666727
succes,succes,0.0
melanger,a amesteca,0.55
noble,nobil,0.18666666666666676
sens,sens,0.0
affection,afectiune,0.20740740740740748
bourreau,calau,0.5466666666666666
ethique,etica,0.3866666666666667
complet,deplin,0.5888888888888889
mutuel,reciproc,0.7333333333333334
tenu,tenue,0.033333333333333326
faire,a face,0.3733333333333333
comme ca,ca aceasta,0.45000000000000007
subtil,subtil,0.0
forcer,forta,0.3600000000000001
ici,aici,0.04444444444444451
cependant,in orice caz,0.5925925925925926
section,sectiune,0.1523809523809525
etaient,au fost,0.6
guerir,vindeca,0.7222222222222222
pouvoir,putere,0.4555555555555556
audacieux,indraznet,0.5851851851851853
idee,idee,0.0
coeur,miez,0.6833333333333333
inne,innascut,0.30000000000000016
morale,morala,0.15555555555555556
a propos,despre,0.6000000000000001
depuis,de cand,0.5666666666666667
tres,foarte,0.4833333333333334
equitable,corect,0.6111111111111112
honneur,onora,0.4
peut-etre,poate,0.41333333333333333
maladroit,neindemanatic,0.5111111111111111
reve,vis,0.6222222222222222
raison,motiv,0.7066666666666668
futile,zadarnic,0.7333333333333334
appartenance ethnique,etnie,0.2533333333333334
icone,pictograma,0.44000000000000006
piece jointe,atasament,0.5851851851851853
ami,prieten,0.6888888888888889
egide,egida,0.18666666666666676
tanger,tange,0.026666666666666727
laps,interval,0.7
etre,fi,0.9333333333333333
exposer,expune,0.3111111111111112
mutuel,reciproc,0.7333333333333334
dengo,dengo,0.0
temps,timp,0.2666666666666667
couple,cuplu,0.21333333333333337
alors,apoi,0.4833333333333334
habile,abil,0.06666666666666676
recolte,recolta,0.13333333333333341
bocal,bocal,0.0
ruse,siretlic,0.5166666666666666
en direct,trai,0.7166666666666667
peser,a cantari,0.7333333333333334
savoir,a sti,0.5466666666666666
cause,cauza,0.3466666666666668
la grace,gratie,0.3222222222222223
dire,a zice,0.5
genre,gen,0.06666666666666687
obstacle,obstacol,0.1166666666666667
possession,detinere,0.5666666666666667
coudre,a coase,0.4444444444444444
paria,paria,0.0
devoir,datorie,0.4555555555555555
crier,strigat,0.56
tenace,tenace,0.0
progeniture,descendenti,0.6060606060606061
tamis,sita,0.45000000000000007
etre,fiind,0.85
hibou,bufnita,0.5466666666666666
commun,uzual,0.6933333333333334
peur,frica,0.6666666666666667
tient,tine,0.25
encore,inca,0.5
acclamation,ridica moralul,0.5696969696969697
sommet,apex,0.7
ardeur,nerabdare,0.4666666666666667
laisser passer,ceda,0.6500000000000001
etre,fi,0.9333333333333333
digne,vrednic,0.56
calendrier,programa,0.6583333333333334
joli,frumos,0.7
xibiu,xibiu,0.0
culte,cult,0.033333333333333326
monde,lume,0.45000000000000007
atroce,atroce,0.0
fugace,trecatoare,0.6111111111111112
recensement,recensamant,0.1696969696969698
atterrir,teren,0.4
fort,puternic,0.7166666666666668
dependance,dependenta,0.2533333333333333
alias,aka,0.37777777777777777
cuire,coace,0.5066666666666666
