it,ro,Alignment Score
pace,pace,0.0
no,nu,0.4666666666666667
fiele,fiere,0.18666666666666676
cielo,cer,0.37777777777777777
essere,a fi,0.8666666666666667
vile,ticalos,0.5333333333333334
sotto,sub,0.6222222222222222
cattivo,rau,0.7111111111111111
da vedere,pentru a vedea,0.33333333333333337
madre,mama,0.45000000000000007
avere,a avea,0.3733333333333334
ego,ego-ul,0.08888888888888902
bene,bun,0.3555555555555556
ma,dar,0.5333333333333334
sole,soare,0.25
bene,bun,0.3555555555555556
venire,vin la tine,0.37777777777777777
andare,merge,0.5333333333333333
sono,sunt,0.4666666666666667
dare,a da,0.43333333333333335
ora,acum,0.6000000000000001
che cosa,ce,0.26666666666666694
era,era,0.0
collegamento,legatura,0.3666666666666668
leggero,usoara,0.711111111111111
noi,s.u.a,0.8888888888888888
imputato,parat,0.41333333333333344
con,cu,0.5
tuo,ta,0.5
come,astfel de,0.7166666666666668
e stato,el a fost,0.39047619047619053
ruolo,rol,0.08888888888888902
me,pe mine,0.2333333333333334
uno,unu,0.3111111111111111
luna,luna,0.0
fino a,pana cand,0.5
hmm,hmm,0.0
per,pe,0.06666666666666676
vis,vis,0.0
fine,sfarsit,0.5166666666666666
inviare,post,0.8833333333333334
dolore,durere,0.42222222222222217
atto,act,0.33333333333333337
sole,soare,0.25
senza,fara,0.6499999999999999
padre,tata,0.6666666666666667
giro,intoarce,0.5333333333333334
giorno,zi,0.6333333333333333
io do,eu dau,0.5466666666666666
volere,voi,0.37777777777777777
pro,pro,0.0
ecco,iata,0.8333333333333334
strada,drum,0.6833333333333333
carnagione,complexitate,0.5933333333333334
leggere,a citi,0.8333333333333334
ode,oda,0.3111111111111111
cosi,asa de,0.7
ne,nici,0.5333333333333334
l'ho fatto,am facut,0.45000000000000007
atto,act,0.33333333333333337
voce,voce,0.0
gay,gay,0.0
mio,ale mele,0.7111111111111111
legge,lege,0.033333333333333326
volo,zbor,0.6499999999999999
cattivo,rau,0.7111111111111111
mano,mana,0.2333333333333334
nessuno,pe unu,0.47777777777777786
dare,da,0.09999999999999998
attivita febbrile,agitatie,0.31666666666666676
paio,pereche,0.6833333333333333
per,pentru,0.11111111111111116
fiume,rau,0.6444444444444445
quindi,prin urmare,0.6333333333333333
ciao,buna ziua,0.55
cia,cia,0.0
giusto,jus,0.3999999999999999
casa,acasa,0.033333333333333326
tuo,ta,0.5
egli fece,el a facut,0.41481481481481497
volere,voi,0.37777777777777777
attraverso,prin intermediul,0.6333333333333333
suono,sunet,0.3600000000000001
nave,nava,0.2333333333333334
si,da,0.8666666666666667
io amo,iubesc,0.6888888888888889
re,rege,0.09999999999999998
lui ha,el are,0.4444444444444444
bene,bun,0.3555555555555556
ma,dar,0.5333333333333334
utilizzo,utilizare,0.22499999999999998
mese,luna,0.8333333333333334
andato,plecat,0.5666666666666667
bugie,minciuni,0.5866666666666667
ala,aripa,0.3555555555555556
alcuni,niste,0.52
lui,-l,0.5
eco,ecou,0.04444444444444451
amico,prietene,0.7333333333333334
clan,clan,0.0
amore,dragoste,0.42666666666666664
fatto,fapt,0.25
mito,mit,0.04444444444444451
pregiudizio,partinire,0.5111111111111111
voi,tu,0.9
come,la fel de,0.7166666666666668
caos,haos,0.2333333333333334
a casaccio,la intamplare,0.5466666666666667
brio,pompon,0.6833333333333333
vedere,vedea,0.19999999999999996
azione,actiune,0.3222222222222223
sete,sete,0.0
dopo,dupa,0.4666666666666667
poi,apoi,0.04444444444444451
vita,viata,0.033333333333333326
casa,casa,0.0
picco,varf,0.85
saga,saga,0.0
paura,frica,0.52
ano,anus,0.33333333333333337
natura selvaggia,pustie,0.5666666666666667
somma,suma,0.25
nonna,bunica,0.5333333333333333
motto,motto,0.0
al di la,dincolo,0.5142857142857143
scemo,prost,0.6799999999999999
destino,soarta,0.5777777777777777
idem,idem,0.0
urgente,urgent,0.022222222222222143
credere,crede,0.039999999999999925
per il,pentru,0.43333333333333335
adatto,potrivi,0.7111111111111111
zelo,zel,0.04444444444444451
lui venne,el a venit,0.4
potrei,am putut,0.6000000000000001
tutto,toate,0.5066666666666666
di piu,mai mult,0.47777777777777775
cattivo,rau,0.7111111111111111
la zona,zona,0.06666666666666676
amore,dragoste,0.42666666666666664
maleducato,nepoliticos,0.6066666666666667
zoppo,schiop,0.5333333333333333
quota,cota,0.25
per,pentru,0.11111111111111116
suono,sunet,0.3600000000000001
terra,teren,0.3466666666666668
sara,va fi,0.6666666666666667
fase,faza,0.43333333333333335
essendo,fiind,0.5466666666666666
