es,it,Alignment Score
en vivo,vivere,0.4444444444444444
regalo,regalo,0.0
bien,bene,0.2333333333333334
relativizar,relativizzare,0.024242424242424176
apurarse,fretta,0.6000000000000001
paradigma,paradigma,0.0
contradictorio,contraddittorio,0.07619047619047625
privilegio,privilegio,0.0
sanar,guarire,0.5466666666666666
pose,posa,0.2333333333333334
clan,clan,0.0
concepto,concetto,0.1166666666666667
fue,era,0.5777777777777777
alguien mas,qualcun altro,0.4181818181818182
fraternidad,fraternita,0.10666666666666669
intercurrencia,intercorrenza,0.14871794871794863
diseno,progetto,0.6000000000000001
ininterrumpido,ininterrotto,0.222222222222222
evaluar,valutare,0.1523809523809525
cinismo,cinismo,0.0
comportamiento,comportamento,0.01025641025641022
fuerza,forza,0.19999999999999996
termino,termine,0.13333333333333341
reubicacion,trasferimento,0.5575757575757576
mentiras,bugie,0.72
citado,suddetto,0.5888888888888888
dar,dare,0.04444444444444451
resplandeciente,splendente,0.14
valioso,degno,0.6933333333333334
plausible,plausibile,0.014814814814814725
amo,io amo,0.08888888888888902
morbido,morboso,0.24761904761904763
relevancia,pertinenza,0.5133333333333334
pronto,presto,0.28888888888888886
cia,cia,0.0
autenticidad,autenticita,0.09696969696969682
reflejar,riflettere,0.3583333333333334
anatema,anatema,0.0
presuntuoso,presuntuoso,0.0
ocio,tempo libero,0.4
descendencia,prole,0.7733333333333333
sueno,sogno,0.34666666666666657
actual,attuale,0.1777777777777778
libertinaje,licenziosita,0.4727272727272728
demagogo,demagogo,0.0
saga,saga,0.0
descripcion,descrizione,0.16363636363636358
peculiaridad,peculiarita,0.09696969696969682
compasivo,compassionevole,0.06666666666666654
misogino,misogino,0.0
tambien,pure,0.7
inferencia,inferenza,0.11111111111111116
sencillez,semplicita,0.4814814814814815
afirmar,reclamo,0.6095238095238096
destino,destino,0.0
cima,picco,0.6666666666666667
erudito,erudito,0.0
flematico,flemmatico,0.014814814814814725
procedimiento,procedura,0.3111111111111109
ni,ne,0.4666666666666667
impresion,stampa,0.6111111111111112
circunspecto,circospetto,0.17575757575757578
compania,azienda,0.5047619047619049
desarrollar,sviluppare,0.52
determinacion,determinazione,0.08205128205128198
como,come,0.2333333333333334
diligente,diligente,0.0
jugueton,giocoso,0.6190476190476191
deber,dovere,0.3733333333333334
resolucion,risoluzione,0.19999999999999996
doblar,giro,0.6833333333333333
labaro,labaro,0.0
constancia,costanza,0.1416666666666666
tesis,tesi,0.033333333333333326
mito,mito,0.0
ser,essere,0.11111111111111116
incidente,incidente,0.0
caracterizar,caratterizzare,0.09999999999999987
camino,strada,0.7
genero,genere,0.15555555555555556
responsable,responsabile,0.012121212121212088
imputar,imputare,0.01904761904761898
epistemologico,epistemologico,0.0
felicidad,felicita,0.13333333333333341
tarea,compito,0.7066666666666667
excelente,grande,0.6111111111111112
not(c)miembro,non(c)membro,0.08888888888888902
astuto,astuzia,0.30000000000000016
elucubracion,elucubrazione,0.08888888888888902
alcance,scopo,0.72
ser,se stesso,0.44444444444444453
mas alla de,al di la,0.45000000000000007
inconsecuente,irrilevante,0.4666666666666667
contexto,contesto,0.1166666666666667
humildad,umilta,0.20000000000000007
imparcial,imparziale,0.11851851851851858
pro,pro,0.0
hipocresia,ipocrisia,0.11851851851851858
significado,senso,0.45333333333333337
a pesar de,sebbene,0.6285714285714286
desapego,distacco,0.44166666666666676
cuota,quota,0.18666666666666676
racismo,razzismo,0.1428571428571429
autonomia,autonomia,0.0
limpieza,pulizia,0.38095238095238093
indispensable,indispensabile,0.01025641025641022
restante,residuo,0.4857142857142859
desear,desiderio,0.19999999999999996
dar,dare,0.04444444444444451
sintetico,sintetico,0.0
hasta,fino a,0.6799999999999999
prominente,prominente,0.0
consentir,consenso,0.22499999999999998
sobre,riguardante,0.5866666666666667
implementacion,implementazione,0.07619047619047614
prolijo,prolisso,0.1428571428571429
consonancia,consonanza,0.09999999999999998
disculpa,scuse,0.4
primordial,primordiale,0.013333333333333308
