pt,en,es,fr,it,gl,ro
juridico,legal,legal,legal,legale,legal,legale
incredulidade,unbelief,incredulidad,incredulite,incredulita,incredulidade,necredinta
concomitante,concomitant,concomitante,concomitant,concomitante,concomitante,concomitent
restricao,restriction,restriccion,restriction,restrizione,restricion,restrictie
onus,anus,ano,anus,ano,ano,anus
tez,complexion,tez,complexion,carnagione,tez,complexitate
doce,sweet,dulce,doux,dolce,doce,dulce
embuste,scam,estafa,arnaque,truffa,estafa,inselatorie
questionamento,questioning,interrogatorio,interrogatoire,interrogatorio,cuestionando,chestionare
senso,sense,sentido,sens,senso,sentido,sens
transfiguracao,transfiguration,transfiguracion,transfiguration,trasfigurazione,transfiguracion,transfigurare
fidedigno,trustworthy,confiable,digne de confiance,affidabile,de confianza,demn de incredere
representacao,representation,representacion,representation,rappresentazione,representacion,reprezentare
justo,fair,justo,equitable,giusto,xusto,corect
ver,to see,para ver,voir,da vedere,ver,pentru a vedea
cedo,early,temprano,tot,presto,cedo,din timp
hum,hmm,mmm,hmm,hmm,hmm,hmm
litigio,litigation,litigio,litige,contenzioso,litixio,litigii
nostalgia,nostalgia,nostalgia,nostalgie,nostalgia,nostalxia,nostalgie
habil,skillful,habil,habile,abile,habil,abil
ambito,scope,alcance,portee,scopo,ambito,domeniul de aplicare
determinado,determined,determinado,determine,determinato,determinado,determinat
sensibilidade,sensitivity,sensibilidad,sensibilite,sensibilita,sensibilidade,sensibilitate
comprimento,length,longitud,longueur,lunghezza,lonxitude,lungime
suscitar,arouse,despertar,susciter,suscitare,espertar,trezi
altruista,altruistic,altruista,altruiste,altruistico,altruista,altruist
ressignificar,resignify,resignificar,resignifier,risignificare,resignificar,resemnifica
circunscricao,circumscription,circunscripcion,circonscription,circoscrizione,circunscricion,circumscriptie
transcendente,transcendent,trascendente,transcendant,trascendente,transcendente,transcendent
dizer,to say,decir,dire,dire,dicir,a zice
presuncao,presumption,presuncion,presomption,presunzione,presuncion,prezumtie
cozer,bake,hornear,cuire,cottura al forno,cocer,coace
familia,family,familia,famille,famiglia,familia,familie
tras,behind,detras,derriere,dietro,detras,in spate
extemporaneo,extemporaneous,extemporaneo,improvise,estemporaneo,extemporaneo,extemporaneu
fomento,promotion,promocion,promotion,promozione,promocion,promovare
mediocridade,mediocrity,mediocridad,mediocrite,mediocrita,mediocridade,mediocritate
proficiencia,proficiency,competencia,competence,competenza,competencia,experienta
desprovido,devoid,vacio,depourvu,privo,carente,lipsit
inusitado,unusual,inusual,inhabituel,insolito,rara,neobisnuit
implicitamente,implicitly,implicitamente,implicitement,implicitamente,implicitamente,implicit
infraestrutura,infrastructure,infraestructura,infrastructure,infrastruttura,infraestrutura,infrastructura
alicerce,foundation,base,fondation,fondazione,fundacion,fundatie
resignado,resigned,renunciar,resigne,rassegnato,dimitido,demisionat
inverossimil,unbelievable,increible,incroyable,incredibile,incrible,necrezut
sistematizar,systematize,sistematizar,systematiser,sistematizzare,sistematizar,sistematiza
padecer,suffer,sufrir,souffrir,soffrire,sufrir,suferi
transcender,transcend,trascender,transcender,trascendere,transcender,transcende
referencia,reference,referencia,reference,riferimento,referencia,referinta
convalescente,convalescent,convaleciente,convalescent,convalescente,convalecente,convalescent
fase,phase,fase,phase,fase,fase,faza
sera,it will be,sera,ce sera,sara,sera,va fi
recenseamento,census,censo,recensement,censimento,censo,recensamant
parcialmente,partially,parcialmente,partiellement,parzialmente,parcialmente,partial
limiar,threshold,limite,seuil,soglia,limite,prag
conjuge,spouse,conyuge,conjoint,sposa,conxuxe,sotie
prescindivel,dispensable,dispensable,dispensable,superfluo,prescindible,dispensabil
coexistencia,coexistence,coexistencia,coexistence,coesistenza,convivencia,coexistenta
empreendimento,enterprise,empresa,entreprise,impresa,empresa,afacere
dissensao,dissension,disension,dissension,dissenso,disension,disensiuni
designacao,designation,designacion,designation,designazione,designacion,desemnare
gloria,glory,gloria,gloire,gloria,gloria,glorie
austero,austere,austero,austere,austero,austero,auster
gentil,gentle,amable,doux,gentile,manso,bland
alto,high,alto,haut,alto,alto,inalt
mote,motto,lema,devise,motto,lema,motto
imprescindivel,essential,basico,essentiel,essenziale,esencial,esential
dicotomia,dichotomy,dicotomia,dichotomie,dicotomia,dicotomia,dihotomie
para,for,para,pour,per,para,pentru
contemplar,contemplate,contemplar,contempler,contemplare,contemplar,contempla
abundantemente,abundantly,abundantemente,abondamment,abbondantemente,abundantemente,abundent
discrepancia,discrepancy,discrepancia,divergence,discrepanza,discrepancia,discrepanta
circuncidado,circumcised,circunciso,circoncis,circonciso,circuncidado,circumcis
bojo,bulge,bulto,renflement,rigonfiamento,bulto,umflatura
intelectual,intellectual,intelectual,intellectuel,intellettuale,intelectual,intelectual
animo,cheer,alegria,acclamation,allegria,animo,ridica moralul
gleba,land,tierra,atterrir,terra,terra,teren
predisposicao,predisposition,predisposicion,predisposition,predisposizione,predisposicion,predispozitie
empatia,empathy,empatia,empathie,empatia,empatia,empatie
vovo,grandma,abuela,grand-mere,nonna,avoa,bunica
negro,black,negro,noir,nero,negro,negru
antagonismo,antagonism,antagonismo,antagonisme,antagonismo,antagonismo,antagonism
haver,be,haber,etre,essere,ser,fi
reconhecimento,recognition,reconocimiento,reconnaissance,riconoscimento,reconecemento,recunoastere
cortes,courteous,cortes,courtois,cortese,cortes,politicos
austeridade,austerity,austeridad,austerite,austerita,austeridade,austeritate
porem,however,sin embargo,cependant,tuttavia,con todo,in orice caz
eminencia,eminence,eminencia,eminence,eminenza,eminencia,eminenta
nao,no,no,non,no,non,nu
apos,after,despues,apres,dopo,despois,dupa
conviccao,conviction,conviccion,conviction,convinzione,conviccion,condamnare
estabilidade,stability,estabilidad,la stabilite,stabilita,estabilidade,stabilitate
consentimento,consent,consentir,consentement,consenso,consentimento,consimtamant
sucesso,success,exito,succes,successo,exito,succes
taciturno,taciturn,taciturno,taciturne,taciturno,taciturno,taciturn
imperceptivel,imperceptible,imperceptible,imperceptible,impercettibile,imperceptible,imperceptibil
merito,merit,merito,merite,merito,merito,merit
ordinario,ordinary,comun,ordinaire,ordinario,ordinario,comun
parcimonia,parsimony,parsimonia,parcimonie,parsimonia,parsimonia,parcimonie
consistencia,consistency,consistencia,coherence,consistenza,consistencia,consistenta
promiscuo,promiscuous,promiscuo,promiscuite,promiscuo,promiscuo,promiscuu
indelevel,indelible,indeleble,indelebile,indelebile,indeleble,de nesters
biodiversidade,biodiversity,biodiversidad,biodiversite,biodiversita,biodiversidade,biodiversitate
idiossincrasia,idiosyncrasy,idiosincrasia,particularite,idiosincrasia,idiosincrasia,idiosincrasie
retumbante,resounding,rotundo,retentissant,clamoroso,rotundo,rasunator
discricao,discretion,discrecion,discretion,riservatezza,discrecion,discretie
epistemologia,epistemology,epistemologia,epistemologie,epistemologia,epistemoloxia,epistemologie
rechacar,reject,rechazar,rejeter,rifiutare,rexeitar,respinge
instancia,instance,instancia,exemple,esempio,instancia,instanta
comunhao,communion,comunion,communion,comunione,comunon,comuniune
ascensao,rise,elevar,augmenter,salita,subir,crestere
personalidade,personality,personalidad,personnalite,personalita,personalidade,personalitate
inospito,inhospitable,inhospito,inhospitalier,inospitale,inhospito,neospitalier
democracia,democracy,democracia,democratie,democrazia,democracia,democratie
extraordinario,extraordinary,extraordinario,extraordinaire,straordinario,extraordinario,extraordinar
notorio,notorious,notorio,celebre,famigerato,notorio,notoriu
uns,some,alguno,quelques,alcuni,algunhas,niste
estereotipado,stereotyped,esteriotipado,stereotype,stereotipato,estereotipado,stereotipat
notivago,notivago,notivago,notivago,notivago,nonivago,nuivago
