it,gl,Alignment Score
legale,legal,0.026666666666666727
incredulita,incredulidade,0.10303030303030292
concomitante,concomitante,0.0
restrizione,restricion,0.10666666666666669
ano,ano,0.0
carnagione,tez,0.7555555555555555
dolce,doce,0.033333333333333326
truffa,estafa,0.43333333333333335
interrogatorio,cuestionando,0.5722222222222222
senso,sentido,0.21333333333333337
trasfigurazione,transfiguracion,0.12444444444444436
affidabile,de confianza,0.6066666666666667
rappresentazione,representacion,0.14761904761904754
giusto,xusto,0.19999999999999996
da vedere,ver,0.20000000000000007
presto,cedo,0.5
hmm,hmm,0.0
contenzioso,litixio,0.5428571428571429
nostalgia,nostalxia,0.10370370370370374
abile,habil,0.18666666666666676
scopo,ambito,0.6799999999999999
determinato,determinado,0.08484848484848473
sensibilita,sensibilidade,0.10303030303030292
lunghezza,lonxitude,0.562962962962963
suscitare,espertar,0.44166666666666676
altruistico,altruista,0.11851851851851847
risignificare,resignificar,0.08888888888888902
circoscrizione,circunscricion,0.19523809523809532
trascendente,transcendente,0.011111111111111072
dire,dicir,0.25
presunzione,presuncion,0.10666666666666669
cottura al forno,cocer,0.5066666666666666
famiglia,familia,0.01904761904761898
dietro,detras,0.30000000000000016
estemporaneo,extemporaneo,0.07777777777777772
promozione,promocion,0.11851851851851858
mediocrita,mediocridade,0.11333333333333329
competenza,competencia,0.09999999999999998
privo,carente,0.72
insolito,rara,0.9
implicitamente,implicitamente,0.0
infrastruttura,infraestrutura,0.06666666666666665
fondazione,fundacion,0.2222222222222222
rassegnato,dimitido,0.6416666666666666
incredibile,incrible,0.04166666666666663
sistematizzare,sistematizar,0.022222222222222143
soffrire,sufrir,0.18888888888888888
trascendere,transcender,0.08484848484848473
riferimento,referencia,0.36
convalescente,convalecente,0.011111111111111072
fase,fase,0.0
sara,sera,0.2333333333333334
censimento,censo,0.08000000000000007
parzialmente,parcialmente,0.07777777777777772
soglia,limite,0.5666666666666667
sposa,conxuxe,0.72
superfluo,prescindible,0.6
coesistenza,convivencia,0.40000000000000013
impresa,empresa,0.13333333333333341
dissenso,disension,0.13333333333333341
designazione,designacion,0.09696969696969693
gloria,gloria,0.0
austero,austero,0.0
gentile,manso,0.72
alto,alto,0.0
motto,lema,0.6666666666666667
essenziale,esencial,0.15000000000000002
dicotomia,dicotomia,0.0
per,para,0.3555555555555556
contemplare,contemplar,0.013333333333333308
abbondantemente,abundantemente,0.0714285714285714
discrepanza,discrepancia,0.09090909090909083
circonciso,circuncidado,0.19999999999999996
rigonfiamento,bulto,0.6133333333333333
intellettuale,intelectual,0.10909090909090913
allegria,animo,0.5733333333333334
terra,terra,0.0
predisposizione,predisposicion,0.07619047619047614
empatia,empatia,0.0
nonna,avoa,0.4666666666666667
nero,negro,0.033333333333333326
antagonismo,antagonismo,0.0
essere,ser,0.11111111111111116
riconoscimento,reconecemento,0.2205128205128205
cortese,cortes,0.022222222222222143
austerita,austeridade,0.12592592592592589
tuttavia,con todo,0.7250000000000001
eminenza,eminencia,0.125
no,non,0.06666666666666676
dopo,despois,0.30000000000000016
convinzione,conviccion,0.18666666666666676
stabilita,estabilidade,0.14074074074074072
consenso,consentimento,0.15833333333333321
successo,exito,0.56
taciturno,taciturno,0.0
impercettibile,imperceptible,0.08205128205128209
merito,merito,0.0
ordinario,ordinario,0.0
parsimonia,parsimonia,0.0
consistenza,consistencia,0.09090909090909083
promiscuo,promiscuo,0.0
indelebile,indeleble,0.014814814814814725
biodiversita,biodiversidade,0.09444444444444422
idiosincrasia,idiosincrasia,0.0
clamoroso,rotundo,0.5047619047619047
riservatezza,discrecion,0.54
epistemologia,epistemoloxia,0.07179487179487176
rifiutare,rexeitar,0.33333333333333337
esempio,instancia,0.6476190476190476
comunione,comunon,0.03809523809523818
salita,subir,0.5466666666666666
personalita,personalidade,0.10303030303030292
inospitale,inhospito,0.20740740740740748
democrazia,democracia,0.09333333333333338
straordinario,extraordinario,0.07692307692307687
famigerato,notorio,0.6285714285714286
alcuni,algunhas,0.33333333333333337
stereotipato,estereotipado,0.0888888888888888
notivago,nonivago,0.1166666666666667
