pt,gl,Alignment Score
paz,paz,0.0
nao,non,0.3111111111111112
fel,fel,0.0
ceu,ceo,0.3111111111111111
ser,ser,0.0
vil,vil,0.0
sob,baixo,0.6222222222222222
mal,malo,0.04444444444444451
ver,ver,0.0
mae,nai,0.6222222222222222
ter,ter,0.0
ego,ego,0.0
bem,bo,0.5
mas,pero,0.8666666666666667
dom,sol,0.6222222222222222
bom,bo,0.06666666666666676
vir,ven,0.5777777777777777
vao,vai,0.3111111111111111
sao,eles son,0.4444444444444444
dar,dar,0.0
ora,agora,0.06666666666666665
que,que,0.0
era,foi,0.8444444444444444
elo,ligazon,0.4222222222222223
luz,luz,0.0
nos,nos,0.0
reu,imputado,0.7111111111111111
com,con,0.3111111111111111
seu,teu,0.3111111111111112
tal,tal,0.0
foi,foi,0.0
rol,papel,0.6222222222222222
mim,eu,0.9
uma,un,0.5
lua,lua,0.0
ate,ata que,0.11111111111111116
hum,hmm,0.3111111111111112
por,por,0.0
vis,vis,0.0
fim,fin,0.3111111111111111
pos,publicacion,0.5111111111111111
dor,dor,0.0
ato,actuar,0.4
sol,sol,0.0
sem,sen,0.3111111111111111
pai,pai,0.0
vez,quenda,0.6888888888888889
dia,dia,0.0
dou,eu dou,0.08888888888888902
ira,vontade,0.6888888888888889
pro,pro,0.0
eis,velai,0.37777777777777777
rua,estrada,0.4222222222222223
tez,tez,0.0
ler,ler,0.0
ode,oda,0.3111111111111111
tao,asi,0.6000000000000001
nem,nin tampouco,0.5333333333333333
fiz,fixen,0.3555555555555556
ajo,actuar,0.6444444444444444
voz,voz,0.0
gay,gai,0.3111111111111111
meu,meu,0.0
lei,lei,0.0
voo,voo,0.0
mau,malo,0.33333333333333337
mao,man,0.3111111111111111
num,nun,0.3111111111111111
des,dar,0.5777777777777777
afa,axitacion,0.4666666666666667
por,par,0.3111111111111112
for,para,0.6222222222222222
rio,rio,0.0
dai,polo tanto,0.7777777777777778
ola,ola,0.0
cia,cia,0.0
jus,xus,0.3111111111111112
lar,casa,0.6222222222222222
sua,teu,0.6000000000000001
fez,fixo,0.6000000000000001
ira,vontade,0.6888888888888889
via,via,0.0
som,son,0.3111111111111111
nau,barco,0.6666666666666667
sim,si,0.06666666666666676
amo,encantame,0.4666666666666667
rei,rei,0.0
tem,el ten,0.3999999999999999
boa,bo,0.06666666666666676
mas,pero,0.8666666666666667
uso,usar,0.33333333333333337
mes,mes,0.0
ido,ido,0.0
jaz,mentiras,0.7333333333333334
asa,a,0.20000000000000007
uns,algunhas,0.15555555555555556
lhe,el,0.5
eco,eco,0.0
pal,amigo,0.6444444444444445
cla,clan,0.04444444444444451
amor,amor,0.0
fato,feito,0.25
mito,mito,0.0
vies,prexuizo,0.7333333333333334
voce,ti,0.9333333333333333
como,como,0.0
caos,caos,0.0
esmo,ao azar,0.7
brio,garbo,0.45000000000000007
vide,ver,0.33333333333333337
acao,accion,0.2833333333333333
sede,sede,0.0
