en,gl,Alignment Score
peace,paz,0.37777777777777777
no,non,0.06666666666666676
gall,fel,0.6000000000000001
sky,ceo,0.8444444444444444
to be,ser,0.6444444444444445
vile,vil,0.04444444444444451
under,baixo,0.8266666666666667
bad,malo,0.6444444444444445
to see,ver,0.6666666666666667
mother,nai,0.9111111111111111
to have,ter,0.3999999999999999
ego,ego,0.0
good,bo,0.5666666666666667
but,pero,0.8666666666666667
sun,sol,0.5777777777777777
good,bo,0.5666666666666667
come over,ven,0.4666666666666667
go,vai,0.9
they are,eles son,0.6333333333333333
to give,dar,0.9333333333333333
now,agora,0.6666666666666667
what,que,0.8666666666666667
it was,foi,0.6444444444444445
link,ligazon,0.2833333333333333
light,luz,0.6222222222222222
us,nos,0.5
defendant,imputado,0.7333333333333334
with,con,0.8666666666666667
your,teu,0.6222222222222222
such,tal,0.8666666666666667
he was,foi,0.9111111111111111
role,papel,0.6666666666666667
me,eu,0.4666666666666667
one,un,0.5333333333333334
moon,lua,0.8666666666666667
until,ata que,0.7066666666666667
hmm,hmm,0.0
per,por,0.3111111111111112
vis,vis,0.0
end,fin,0.6000000000000001
post,publicacion,0.5666666666666667
pain,dor,0.8666666666666667
act,actuar,0.08888888888888902
sun,sol,0.5777777777777777
without,sen,0.9333333333333333
father,pai,0.6888888888888889
turn,quenda,0.5166666666666668
day,dia,0.3111111111111112
i give,eu dou,0.6888888888888889
will,vontade,0.8833333333333334
pro,pro,0.0
behold,velai,0.56
road,estrada,0.30000000000000016
complexion,tez,0.7777777777777778
to read,ler,0.6888888888888889
ode,oda,0.3111111111111111
so,asi,0.5333333333333334
nor,nin tampouco,0.5111111111111111
i did,fixen,0.6799999999999999
act,actuar,0.08888888888888902
voice,voz,0.3555555555555556
gay,gai,0.3111111111111111
my,meu,0.5
law,lei,0.5777777777777777
flight,voo,0.9111111111111111
bad,malo,0.6444444444444445
hand,man,0.3555555555555556
on one,nun,0.4222222222222223
give,dar,0.8666666666666667
hustle,axitacion,0.7444444444444445
pair,par,0.04444444444444451
for,para,0.6222222222222222
river,rio,0.3555555555555556
hence,polo tanto,0.76
hello,ola,0.6222222222222222
cia,cia,0.0
jus,xus,0.3111111111111112
home,casa,0.8333333333333334
your,teu,0.6222222222222222
he did,fixo,0.7
will,vontade,0.8833333333333334
via,via,0.0
sound,son,0.08888888888888902
ship,barco,0.85
yes,si,0.5
i love,encantame,0.7222222222222222
king,rei,0.6222222222222222
he has,el ten,0.5777777777777777
good,bo,0.5666666666666667
but,pero,0.8666666666666667
use,usar,0.33333333333333337
month,mes,0.6222222222222222
