fr,gl,Alignment Score
legal,legal,0.0
incredulite,incredulidade,0.09696969696969682
concomitant,concomitante,0.012121212121212088
restriction,restricion,0.013333333333333308
anus,ano,0.33333333333333337
complexion,tez,0.7777777777777778
doux,doce,0.43333333333333335
arnaque,estafa,0.5888888888888889
interrogatoire,cuestionando,0.5777777777777777
sens,sentido,0.28333333333333355
transfiguration,transfiguracion,0.06222222222222218
digne de confiance,de confianza,0.18333333333333313
representation,representacion,0.06666666666666665
equitable,xusto,0.6133333333333333
voir,ver,0.33333333333333337
tot,cedo,0.6222222222222222
hmm,hmm,0.0
litige,litixio,0.30000000000000016
nostalgie,nostalxia,0.20740740740740748
habile,habil,0.026666666666666727
portee,ambito,0.7
determine,determinado,0.11851851851851847
sensibilite,sensibilidade,0.09696969696969682
longueur,lonxitude,0.3416666666666668
susciter,espertar,0.5333333333333334
altruiste,altruista,0.10370370370370374
resignifier,resignificar,0.09090909090909083
circonscription,circunscricion,0.13809523809523805
transcendant,transcendente,0.0888888888888888
dire,dicir,0.25
presomption,presuncion,0.26
cuire,cocer,0.52
famille,familia,0.24761904761904763
derriere,detras,0.4555555555555556
improvise,extemporaneo,0.5037037037037038
promotion,promocion,0.10370370370370374
mediocrite,mediocridade,0.10666666666666669
competence,competencia,0.09999999999999987
depourvu,carente,0.7238095238095238
inhabituel,rara,0.75
implicitement,implicitamente,0.08205128205128209
infrastructure,infraestrutura,0.1333333333333332
fondation,fundacion,0.20740740740740748
resigne,dimitido,0.7333333333333334
incroyable,incrible,0.13333333333333341
systematiser,sistematizar,0.2222222222222222
souffrir,sufrir,0.04444444444444451
transcender,transcender,0.0
reference,referencia,0.11111111111111116
convalescent,convalecente,0.07777777777777772
phase,fase,0.25
ce sera,sera,0.06666666666666676
recensement,censo,0.28
partiellement,parcialmente,0.23888888888888893
seuil,limite,0.6799999999999999
conjoint,conxuxe,0.4857142857142859
dispensable,prescindible,0.4
coexistence,convivencia,0.40000000000000013
entreprise,empresa,0.4095238095238096
dissension,disension,0.014814814814814725
designation,designacion,0.08484848484848484
gloire,gloria,0.30000000000000016
austere,austero,0.13333333333333341
doux,manso,0.6666666666666667
haut,alto,0.4666666666666667
devise,lema,0.6833333333333333
essentiel,esencial,0.25
dichotomie,dicotomia,0.11851851851851858
pour,para,0.45000000000000007
contempler,contemplar,0.09333333333333338
abondamment,abundantemente,0.19393939393939386
divergence,discrepancia,0.3733333333333334
circoncis,circuncidado,0.22962962962962963
renflement,bulto,0.6
intellectuel,intelectual,0.09696969696969682
acclamation,animo,0.45333333333333337
atterrir,terra,0.2400000000000001
predisposition,predisposicion,0.06666666666666665
empathie,empatia,0.1523809523809525
grand-mere,avoa,0.75
noir,negro,0.45000000000000007
antagonisme,antagonismo,0.08484848484848473
etre,ser,0.3555555555555556
reconnaissance,reconecemento,0.3897435897435896
courtois,cortes,0.188888888888889
austerite,austeridade,0.11851851851851847
cependant,con todo,0.5416666666666667
eminence,eminencia,0.125
non,non,0.0
apres,despois,0.5466666666666666
conviction,conviccion,0.09333333333333338
la stabilite,estabilidade,0.28888888888888886
consentement,consentimento,0.08888888888888902
succes,exito,0.6933333333333334
taciturne,taciturno,0.10370370370370374
imperceptible,imperceptible,0.0
merite,merito,0.15555555555555556
ordinaire,ordinario,0.19999999999999996
parcimonie,parsimonia,0.18666666666666676
coherence,consistencia,0.40740740740740744
promiscuite,promiscuo,0.11851851851851847
indelebile,indeleble,0.014814814814814725
biodiversite,biodiversidade,0.0888888888888888
particularite,idiosincrasia,0.5846153846153846
retentissant,rotundo,0.5619047619047619
discretion,discrecion,0.09333333333333338
epistemologie,epistemoloxia,0.1435897435897434
rejeter,rexeitar,0.2857142857142857
exemple,instancia,0.8380952380952381
communion,comunon,0.03809523809523818
augmenter,subir,0.5866666666666667
personnalite,personalidade,0.15555555555555545
inhospitalier,inhospito,0.1333333333333333
democratie,democracia,0.18666666666666676
extraordinaire,extraordinario,0.12857142857142834
celebre,notorio,0.7238095238095238
quelques,algunhas,0.55
stereotype,estereotipado,0.21333333333333326
notivago,nonivago,0.1166666666666667
