en,ro,Alignment Score
peace,pace,0.033333333333333326
no,nu,0.4666666666666667
gall,fiere,0.85
sky,cer,0.8444444444444444
to be,a fi,0.6833333333333333
vile,ticalos,0.5333333333333334
under,sub,0.6444444444444445
bad,rau,0.6222222222222222
to see,pentru a vedea,0.43333333333333335
mother,mama,0.6666666666666667
to have,a avea,0.3222222222222223
ego,ego-ul,0.08888888888888902
good,bun,0.8666666666666667
but,dar,0.8444444444444444
sun,soare,0.6222222222222222
good,bun,0.8666666666666667
come over,vin la tine,0.6592592592592592
go,merge,0.6000000000000001
they are,sunt,0.7
to give,a da,0.7166666666666668
now,acum,0.8666666666666667
what,ce,0.9333333333333333
it was,era,0.6666666666666667
link,legatura,0.7
light,usoara,0.8400000000000001
us,s.u.a,0.5666666666666667
defendant,parat,0.5733333333333334
with,cu,0.9333333333333333
your,ta,0.9333333333333333
such,astfel de,0.7333333333333334
he was,el a fost,0.3555555555555556
role,rol,0.04444444444444451
me,pe mine,0.2333333333333334
one,unu,0.6222222222222222
moon,luna,0.6499999999999999
until,pana cand,0.7466666666666667
hmm,hmm,0.0
per,pe,0.06666666666666676
vis,vis,0.0
end,sfarsit,0.9333333333333333
post,post,0.0
pain,durere,0.8666666666666667
act,act,0.0
sun,soare,0.6222222222222222
without,fara,0.8833333333333334
father,tata,0.5
turn,intoarce,0.55
day,zi,0.9
i give,eu dau,0.6888888888888889
will,voi,0.6222222222222222
pro,pro,0.0
behold,iata,0.8666666666666667
road,drum,0.6333333333333333
complexion,complexitate,0.18666666666666665
to read,a citi,0.711111111111111
ode,oda,0.3111111111111111
so,asa de,0.6333333333333333
nor,nici,0.6000000000000001
i did,am facut,0.7333333333333334
act,act,0.0
voice,voce,0.033333333333333326
gay,gay,0.0
my,ale mele,0.7000000000000001
law,lege,0.6000000000000001
flight,zbor,0.8666666666666667
bad,rau,0.6222222222222222
hand,mana,0.4666666666666667
on one,pe unu,0.6000000000000001
give,da,0.9333333333333333
hustle,agitatie,0.6000000000000001
pair,pereche,0.5
for,pentru,0.6666666666666667
river,rau,0.6222222222222222
hence,prin urmare,0.6133333333333333
hello,buna ziua,0.88
cia,cia,0.0
jus,jus,0.0
home,acasa,0.85
your,ta,0.9333333333333333
he did,el a facut,0.6222222222222222
will,voi,0.6222222222222222
via,prin intermediul,0.9111111111111111
sound,sunet,0.3600000000000001
ship,nava,0.8333333333333334
yes,da,0.9
i love,iubesc,0.5666666666666667
king,rege,0.6499999999999999
he has,el are,0.4555555555555556
good,bun,0.8666666666666667
but,dar,0.8444444444444444
use,utilizare,0.4444444444444444
month,luna,0.6833333333333333
gone,plecat,0.6833333333333333
lies,minciuni,0.7166666666666667
wing,aripa,0.6833333333333333
some,niste,0.4666666666666667
him,-l,0.9
echo,ecou,0.2333333333333334
pal,prietene,0.6888888888888889
clan,clan,0.0
love,dragoste,0.5333333333333334
fact,fapt,0.2333333333333334
myth,mit,0.3555555555555556
bias,partinire,0.75
you,tu,0.5
as,la fel de,0.7333333333333334
chaos,haos,0.033333333333333326
haphazardly,la intamplare,0.5636363636363637
panache,pompon,0.5777777777777777
see,vedea,0.3999999999999999
action,actiune,0.1777777777777778
thirst,sete,0.4833333333333334
after,dupa,0.6499999999999999
then,apoi,0.8333333333333334
life,viata,0.6833333333333333
house,casa,0.6833333333333333
peak,varf,0.6666666666666667
saga,saga,0.0
fear,frica,0.45000000000000007
anus,anus,0.0
wilderness,pustie,0.6222222222222222
sum,suma,0.04444444444444451
grandma,bunica,0.5888888888888889
motto,motto,0.0
beyond,dincolo,0.7
fool,prost,0.6833333333333333
fate,soarta,0.5166666666666666
idem,idem,0.0
urgent,urgent,0.0
believe,crede,0.56
for the,pentru,0.711111111111111
fit,potrivi,0.6888888888888889
zeal,zel,0.04444444444444451
he came,el a venit,0.4285714285714286
i could,am putut,0.638095238095238
all,toate,0.6444444444444445
more,mai mult,0.7
bad,rau,0.6222222222222222
area,zona,0.6333333333333333
love,dragoste,0.5333333333333334
rude,nepoliticos,0.7666666666666667
lame,schiop,0.8666666666666667
quota,cota,0.25
for,pentru,0.6666666666666667
sound,sunet,0.3600000000000001
land,teren,0.6666666666666667
it will be,va fi,0.6133333333333333
phase,faza,0.6666666666666667
being,fiind,0.5333333333333333
self,de sine,0.5
behind,in spate,0.5888888888888888
sweet,dulce,0.6799999999999999
vogue,voga,0.25
soon,curand,0.6833333333333333
where,unde,0.6499999999999999
rime,bruma,0.5
god,dumnezeu,0.6888888888888889
for the,pentru,0.711111111111111
before,inainte de,0.6222222222222222
early,din timp,0.8666666666666667
yoke,jug,0.8666666666666667
quite,destul de,0.5733333333333333
art,arta,0.04444444444444451
soul,suflet,0.28333333333333355
goal,poarta,0.5
whose,a caror,0.72
saddle,sa,0.16666666666666663
brings,aduce,0.8400000000000001
in,in,0.0
cell,celula,0.06666666666666676
content,continut,0.1523809523809525
been,fost,0.8333333333333334
noia,noia,0.0
face,fata,0.43333333333333335
disgust,dezgust,0.24761904761904763
disgust,dezgust,0.24761904761904763
target,tinta,0.52
focus,se concentreze,0.6666666666666667
that,acea,0.6499999999999999
pose,poza,0.43333333333333335
to go out,a iesi afara,0.6888888888888889
base,baza,0.43333333333333335
ok,bine,0.9333333333333333
hate,ura,0.6222222222222222
act,act,0.0
he had,el a avut,0.48888888888888893
high,inalt,0.6666666666666667
all,toate,0.6444444444444445
leisure,agrement,0.6095238095238096
rite,rit,0.04444444444444451
jeez,naiba,0.85
will,voi,0.6222222222222222
new,nou,0.5777777777777777
agile,agil,0.033333333333333326
dawn,zorii,0.85
thesis,teza,0.4833333333333334
high,inalt,0.6666666666666667
bulge,umflatura,0.5866666666666667
nexus,legatura,0.6000000000000001
shore,tarm,0.6833333333333333
sagacious,sagace,0.18888888888888877
core,miez,0.6499999999999999
black,negru,0.8266666666666667
term,termen,0.050000000000000155
success,succes,0.022222222222222143
to mix,a amesteca,0.6333333333333333
noble,nobil,0.18666666666666676
sense,sens,0.033333333333333326
affection,afectiune,0.20740740740740748
executioner,calau,0.6
ethics,etica,0.21333333333333337
full,deplin,0.6833333333333333
mutual,reciproc,0.8444444444444446
tenuous,tenue,0.21333333333333337
to do,a face,0.7066666666666668
like this,ca aceasta,0.6666666666666667
subtle,subtil,0.15555555555555556
force,forta,0.3466666666666668
here,aici,0.8333333333333334
however,in orice caz,0.6571428571428571
section,sectiune,0.1523809523809525
were,au fost,0.8833333333333334
heal,vindeca,0.5166666666666666
power,putere,0.3733333333333334
daring,indraznet,0.5
idea,idee,0.2333333333333334
core,miez,0.6499999999999999
innate,innascut,0.1777777777777778
moral,morala,0.026666666666666727
about,despre,0.8400000000000001
since,de cand,0.7066666666666668
very,foarte,0.6833333333333333
fair,corect,0.6833333333333333
honor,onora,0.18666666666666676
perhaps,poate,0.5333333333333333
clumsy,neindemanatic,0.7666666666666666
dream,vis,0.8888888888888888
reason,motiv,0.7066666666666668
futile,zadarnic,0.7333333333333334
ethnicity,etnie,0.2533333333333334
icon,pictograma,0.3666666666666668
attachment,atasament,0.20740740740740748
friend,prieten,0.3222222222222223
aegis,egida,0.3600000000000001
tange,tange,0.0
lapse,interval,0.7066666666666668
be,fi,0.8666666666666667
expose,expune,0.288888888888889
mutual,reciproc,0.8444444444444446
dengo,dengo,0.0
time,timp,0.2333333333333334
couple,cuplu,0.21333333333333337
then,apoi,0.8333333333333334
skillful,abil,0.5166666666666666
harvest,recolta,0.5047619047619047
bocal,bocal,0.0
ruse,siretlic,0.5166666666666666
live,trai,0.6500000000000001
to weight,a cantari,0.6518518518518519
to know,a sti,0.7066666666666668
cause,cauza,0.3466666666666668
grace,gratie,0.19999999999999996
to say,a zice,0.7
