fr,it,Alignment Score
paix,pace,0.43333333333333335
non,no,0.06666666666666676
fiel,fiele,0.033333333333333326
ciel,cielo,0.033333333333333326
etre,essere,0.2666666666666666
vil,vile,0.04444444444444451
sous,sotto,0.45000000000000007
mauvais,cattivo,0.6190476190476191
voir,da vedere,0.55
mere,madre,0.25
avoir,avere,0.36
ego,ego,0.0
bien,bene,0.2333333333333334
mais,ma,0.09999999999999998
soleil,sole,0.050000000000000155
bien,bene,0.2333333333333334
venir,venire,0.026666666666666727
aller,andare,0.5333333333333333
ils sont,sono,0.31666666666666676
donner,dare,0.4833333333333334
maintenant,ora,0.7555555555555555
quoi,che cosa,0.7333333333333334
c'etait,era,0.4444444444444444
lien,collegamento,0.4
lumiere,leggero,0.49523809523809526
nous,noi,0.33333333333333337
defendeur,imputato,0.7416666666666667
avec,con,0.6000000000000001
ton,tuo,0.3111111111111112
tel,come,0.6222222222222222
il etait,e stato,0.39047619047619053
role,ruolo,0.2666666666666667
moi,me,0.5
un,uno,0.06666666666666676
lune,luna,0.2333333333333334
jusqu'a,fino a,0.7
hmm,hmm,0.0
par,per,0.3111111111111112
vis,vis,0.0
fin,fine,0.04444444444444451
poste,inviare,0.6933333333333334
douleur,dolore,0.3111111111111112
acte,atto,0.45000000000000007
soleil,sole,0.050000000000000155
sans,senza,0.45000000000000007
pere,padre,0.25
tourner,giro,0.7
jour,giorno,0.5
je donne,io do,0.4
volonte,volere,0.30000000000000016
pro,pro,0.0
voir,ecco,0.6500000000000001
route,strada,0.6933333333333334
complexion,carnagione,0.5
lire,leggere,0.2833333333333333
ode,ode,0.0
donc,cosi,0.6333333333333333
ni,ne,0.4666666666666667
je l'ai fait,l'ho fatto,0.3666666666666667
acte,atto,0.45000000000000007
voix,voce,0.43333333333333335
gay,gay,0.0
mon,mio,0.3111111111111112
loi,legge,0.6222222222222222
vol,volo,0.04444444444444451
mauvais,cattivo,0.6190476190476191
main,mano,0.2333333333333334
sur une,nessuno,0.49523809523809526
donner,dare,0.4833333333333334
agitation,attivita febbrile,0.45925925925925937
paire,paio,0.25
pour,per,0.33333333333333337
riviere,fiume,0.56
ainsi,quindi,0.3866666666666667
bonjour,ciao,0.7
cia,cia,0.0
jus,giusto,0.3999999999999999
maison,casa,0.5166666666666666
ton,tuo,0.3111111111111112
il a fait,egli fece,0.562962962962963
volonte,volere,0.30000000000000016
via,attraverso,0.7333333333333334
son,suono,0.08888888888888902
bateau,nave,0.5166666666666668
oui,si,0.5
j'aime,io amo,0.5777777777777777
roi,re,0.5
il a,lui ha,0.2833333333333333
bien,bene,0.2333333333333334
mais,ma,0.09999999999999998
utiliser,utilizzo,0.31666666666666654
mois,mese,0.45000000000000007
disparu,andato,0.5888888888888889
mensonges,bugie,0.5866666666666667
aile,ala,0.3555555555555556
quelques,alcuni,0.6222222222222222
lui,lui,0.0
echo,eco,0.04444444444444451
copain,amico,0.52
clan,clan,0.0
amour,amore,0.18666666666666676
fait,fatto,0.25
mythe,mito,0.4833333333333334
biais,pregiudizio,0.64
toi,voi,0.3111111111111112
comme,come,0.033333333333333326
chaos,caos,0.033333333333333326
au hasard,a casaccio,0.3999999999999999
panache,brio,0.8833333333333334
voir,vedere,0.4833333333333334
action,azione,0.30000000000000004
la soif,sete,0.7
apres,dopo,0.6833333333333333
alors,poi,0.6666666666666667
vie,vita,0.33333333333333337
maison,casa,0.5166666666666666
culminer,picco,0.72
saga,saga,0.0
peur,paura,0.2666666666666667
anus,ano,0.33333333333333337
region sauvage,natura selvaggia,0.49523809523809537
somme,somma,0.18666666666666676
grand-mere,nonna,0.7466666666666667
devise,motto,0.8400000000000001
au-dela,al di la,0.3904761904761904
idiot,scemo,0.6799999999999999
destin,destino,0.022222222222222143
idem,idem,0.0
urgent,urgente,0.022222222222222143
croire,credere,0.30000000000000004
pour le,per il,0.3222222222222223
ajuster,adatto,0.5888888888888889
zele,zelo,0.2333333333333334
il est venu,lui venne,0.4
je pourrais,potrei,0.38888888888888884
tous,tutto,0.45000000000000007
plus,di piu,0.5
mauvais,cattivo,0.6190476190476191
zone,la zona,0.30000000000000016
amour,amore,0.18666666666666676
grossier,maleducato,0.7416666666666667
boiteux,zoppo,0.7066666666666668
quota,quota,0.0
pour,per,0.33333333333333337
son,suono,0.08888888888888902
atterrir,terra,0.2400000000000001
ce sera,sara,0.29999999999999993
phase,fase,0.25
etre,essendo,0.5
soi,se stesso,0.4444444444444444
derriere,dietro,0.33333333333333337
doux,dolce,0.45000000000000007
vogue,voga,0.25
bientot,presto,0.4666666666666667
ou,dove,0.5666666666666667
rime,brina,0.4666666666666667
dieu,dio,0.33333333333333337
pour le,per il,0.3222222222222223
avant,prima,0.6666666666666667
tot,presto,0.37777777777777777
joug,giogo,0.4833333333333334
assez,abbastanza,0.43999999999999995
art,arte,0.04444444444444451
ame,anima,0.37777777777777777
but,obiettivo,0.48888888888888893
dont,di chi,0.6666666666666667
selle,sella,0.18666666666666676
apporte,porta,0.22666666666666668
dans,in,0.5666666666666667
cellule,cellula,0.13333333333333341
contenu,contenuto,0.028571428571428692
a ete,stato,0.5333333333333333
noia,noia,0.0
affronter,viso,0.7333333333333334
degouter,disgusto,0.45000000000000007
degouter,disgusto,0.45000000000000007
cible,bersaglio,0.5733333333333333
se concentrer,messa a fuoco,0.5794871794871795
que,quello,0.08888888888888902
pose,posa,0.2333333333333334
sortir,uscire,0.4444444444444444
base,base,0.0
d'accord,ok,0.7
detester,odio,0.7166666666666668
acte,atto,0.45000000000000007
il avait,lui aveva,0.3416666666666668
haut,alto,0.4666666666666667
tous,tutto,0.45000000000000007
loisirs,tempo libero,0.5523809523809524
rite,rito,0.2333333333333334
ouais,cavolo,0.6799999999999999
volonte,volere,0.30000000000000016
nouveau,nuovo,0.40000000000000013
agile,agile,0.0
aube,alba,0.4666666666666667
these,tesi,0.2666666666666667
haut,alto,0.4666666666666667
renflement,rigonfiamento,0.29333333333333333
lien,nesso,0.6499999999999999
rive,costa,0.85
sagace,sagace,0.0
coeur,nucleo,0.5333333333333333
noir,nero,0.43333333333333335
terme,termine,0.04000000000000015
succes,successo,0.03333333333333344
melanger,mescolare,0.33333333333333337
noble,nobile,0.026666666666666727
sens,senso,0.033333333333333326
affection,affetto,0.17142857142857149
bourreau,boia,0.31666666666666676
ethique,etica,0.3866666666666667
complet,pieno,0.5733333333333334
mutuel,reciproco,0.7444444444444445
tenu,tenue,0.033333333333333326
faire,fare,0.033333333333333326
comme ca,come questo,0.35
subtil,impercettibile,0.5333333333333333
forcer,forza,0.3600000000000001
ici,qui,0.5777777777777777
cependant,tuttavia,0.7250000000000001
section,sezione,0.2571428571428571
etaient,erano,0.41333333333333344
guerir,guarire,0.1777777777777778
pouvoir,energia,0.7142857142857143
audacieux,audace,0.05555555555555558
idee,idea,0.2333333333333334
coeur,nucleo,0.5333333333333333
inne,innato,0.2666666666666667
morale,morale,0.0
a propos,di,1.0666666666666667
depuis,da,0.6000000000000001
tres,molto,0.6666666666666667
equitable,giusto,0.6222222222222222
honneur,onore,0.4
peut-etre,forse,0.5733333333333334
maladroit,goffo,0.7333333333333334
reve,sogno,0.85
raison,motivo,0.5888888888888889
futile,inutile,0.16666666666666663
appartenance ethnique,etnia,0.42666666666666664
icone,icona,0.18666666666666676
piece jointe,attaccamento,0.5666666666666667
ami,amico,0.06666666666666687
egide,egida,0.18666666666666676
tanger,tangente,0.1777777777777777
laps,periodo,0.7
etre,essere,0.2666666666666666
exposer,esporre,0.38095238095238104
mutuel,reciproco,0.7444444444444445
dengo,dengo,0.0
temps,tempo,0.18666666666666676
couple,coppia,0.43333333333333335
alors,poi,0.6666666666666667
habile,abile,0.026666666666666727
recolte,raccolto,0.2761904761904762
bocal,bocal,0.0
ruse,stratagemma,0.5666666666666667
en direct,vivere,0.4666666666666667
peser,pesare,0.19999999999999996
savoir,sapere,0.43333333333333335
cause,causa,0.18666666666666676
la grace,adornare,0.45000000000000007
dire,dire,0.0
genre,genere,0.026666666666666727
obstacle,ostacolo,0.2333333333333334
possession,possesso,0.033333333333333326
coudre,cucire,0.30000000000000004
paria,paria,0.0
devoir,dovere,0.43333333333333335
crier,gridare,0.4
tenace,tenace,0.0
progeniture,prole,0.26666666666666683
tamis,setaccio,0.42666666666666664
etre,essendo,0.5
hibou,gufo,0.6666666666666667
commun,comune,0.15555555555555556
