en,gl,Alignment Score
quota,cota,0.25
daring,atrevido,0.47777777777777786
freedom,liberdade,0.6285714285714286
autochthonous,autoctona,0.14814814814814814
refute,refutar,0.16666666666666663
pernostic,pernostico,0.014814814814814725
harmful,prexudicial,0.5428571428571429
constant,constante,0.016666666666666607
unnecessary,innecesario,0.24848484848484853
sun,sol,0.5777777777777777
inspiration,inspiracion,0.08484848484848484
that,iso,0.8666666666666667
randomly,aleatoriamente,0.5916666666666668
all,todos,0.8888888888888888
complex,complexo,0.01904761904761898
your,teu,0.6222222222222222
purpose,proposito,0.2857142857142857
act,act,0.0
auspicious,auspicioso,0.09333333333333327
tribulation,tribulacion,0.08484848484848484
longing,saudade,0.8190476190476191
selfless,desinteresado,0.4916666666666667
owl,curuxa,0.9111111111111111
stereotype,estereotipo,0.19999999999999996
mastery,mestria,0.39047619047619064
framework,marco,0.5866666666666667
coincidence,coincidencia,0.09090909090909083
need,necesidade,0.15000000000000002
repair,reparacion,0.19999999999999984
end,fin,0.6000000000000001
he was,foi,0.9111111111111111
friend,amigo,0.7066666666666668
originating,orixinaria,0.28666666666666674
more,mais,0.6333333333333333
acquiescence,aquiescencia,0.1499999999999999
lust,luxuria,0.4833333333333334
sky,ceo,0.8444444444444444
relationship,relacion,0.15833333333333321
parallel,paralelo,0.1166666666666667
unpretentious,sen pretensions,0.23076923076923073
intermittent,intermitente,0.07777777777777772
specification,especificacion,0.08205128205128198
monosyllabic,monosilabo,0.19999999999999996
superb,xenial,0.7111111111111111
advocate,avogado,0.40000000000000013
diligence,dilixencia,0.2148148148148148
clear,claro,0.18666666666666676
love,amor,0.6666666666666667
persuade,persuadir,0.125
piety,piedade,0.3733333333333334
excerpt,extracto,0.38095238095238104
influence,influencia,0.11111111111111116
census,censo,0.19999999999999996
diffuse,difusa,0.1777777777777778
strong,forte,0.7066666666666668
innate,innato,0.15555555555555556
skeptical,esceptico,0.3037037037037037
conference,conferencia,0.09999999999999987
trust,confiar,0.7066666666666667
colossus,coloso,0.1777777777777777
hand,man,0.3555555555555556
on one,nun,0.4222222222222223
proceed,proceder,0.1428571428571429
full,cheo,0.8333333333333334
good,bo,0.5666666666666667
science,ciencia,0.2571428571428571
coercive,coercitivo,0.1416666666666666
dense,densa,0.18666666666666676
pretentious,pretencioso,0.1696969696969698
exceptional,excepcional,0.08484848484848484
probably,probablemente,0.15833333333333321
happiness,felicidade,0.6666666666666667
asymptomatic,asintomatico,0.21666666666666656
proposition,proposicion,0.08484848484848484
thoroughly,a fondo,0.6476190476190476
preponderance,preponderancia,0.07692307692307687
stable,estable,0.022222222222222143
specificity,especificidade,0.18181818181818166
therefore,polo tanto,0.6518518518518519
iconic,iconico,0.022222222222222143
being,sendo,0.5466666666666666
search,buscar,0.4444444444444444
reason,razon,0.21333333333333326
pleasure,pracer,0.4555555555555556
gall,fel,0.6000000000000001
under,baixo,0.8266666666666667
utopia,utopia,0.0
revolutionary,revolucionario,0.14871794871794863
excellent,excelente,0.10370370370370374
wholesome,saudable,0.6333333333333333
like this,como isto,0.562962962962963
word,palabra,0.7166666666666667
with,con,0.8666666666666667
embezzler,malversador,0.49629629629629635
appreciation,aprecio,0.07619047619047625
emotional,emocional,0.10370370370370374
pecuniary,pecuniario,0.11111111111111116
refund,reembolso,0.5888888888888889
indulgent,indulxente,0.11851851851851858
relevant,relevantes,0.025000000000000022
daydream,sonar despierto,0.6083333333333334
introspective,introspectivo,0.07179487179487176
genuine,xenuino,0.2666666666666667
ruse,artimana,0.7166666666666668
fleeting,fugaz,0.56
us,nos,0.5
ecstasy,extase,0.3222222222222223
axiom,axioma,0.026666666666666727
day,dia,0.3111111111111112
allusion,alusion,0.01904761904761898
chaos,caos,0.033333333333333326
discipline,disciplina,0.09333333333333327
ode,oda,0.3111111111111111
sorority,irmandade,0.7333333333333334
tenuous,tenue,0.21333333333333337
wilderness,deserto,0.5142857142857143
primacy,primacia,0.1428571428571429
demeaning,degradante,0.4814814814814815
disgrace,deshonra,0.44166666666666676
