it,gl,Alignment Score
pace,paz,0.33333333333333337
no,non,0.06666666666666676
fiele,fel,0.08888888888888902
cielo,ceo,0.08888888888888902
essere,ser,0.11111111111111116
vile,vil,0.04444444444444451
sotto,baixo,0.6666666666666667
cattivo,malo,0.5166666666666666
da vedere,ver,0.20000000000000007
madre,nai,0.6666666666666667
avere,ter,0.37777777777777777
ego,ego,0.0
bene,bo,0.5333333333333334
ma,pero,0.9333333333333333
sole,sol,0.04444444444444451
bene,bo,0.5333333333333334
venire,ven,0.08888888888888902
andare,vai,0.6666666666666667
sono,eles son,0.30000000000000016
dare,dar,0.04444444444444451
ora,agora,0.06666666666666665
che cosa,que,0.7111111111111111
era,foi,0.8444444444444444
collegamento,ligazon,0.4476190476190476
leggero,luz,0.6666666666666667
noi,nos,0.3111111111111111
imputato,imputado,0.1166666666666667
con,con,0.0
tuo,teu,0.3111111111111112
come,tal,0.8666666666666667
e stato,foi,0.6888888888888889
ruolo,papel,0.6799999999999999
me,eu,0.4666666666666667
uno,un,0.06666666666666676
luna,lua,0.04444444444444451
fino a,ata que,0.7
hmm,hmm,0.0
per,por,0.3111111111111112
vis,vis,0.0
fine,fin,0.04444444444444451
inviare,publicacion,0.638095238095238
dolore,dor,0.11111111111111116
atto,actuar,0.4833333333333334
sole,sol,0.04444444444444451
senza,sen,0.06666666666666687
padre,pai,0.3555555555555556
giro,quenda,0.8666666666666667
giorno,dia,0.6888888888888889
io do,eu dou,0.3733333333333334
volere,vontade,0.43333333333333335
pro,pro,0.0
ecco,velai,0.6666666666666667
strada,estrada,0.022222222222222143
carnagione,tez,0.7555555555555555
leggere,ler,0.1333333333333333
ode,oda,0.3111111111111111
cosi,asi,0.33333333333333337
ne,nin tampouco,0.8
l'ho fatto,fixen,0.7466666666666667
atto,actuar,0.4833333333333334
voce,voz,0.33333333333333337
gay,gai,0.3111111111111111
mio,meu,0.5777777777777777
legge,lei,0.3555555555555555
volo,voo,0.04444444444444451
cattivo,malo,0.5166666666666666
mano,man,0.04444444444444451
nessuno,nun,0.1333333333333333
dare,dar,0.04444444444444451
attivita febbrile,axitacion,0.45925925925925937
paio,par,0.33333333333333337
per,para,0.3555555555555556
fiume,rio,0.6666666666666667
quindi,polo tanto,0.7555555555555555
ciao,ola,0.6000000000000001
cia,cia,0.0
giusto,xus,0.3999999999999999
casa,casa,0.0
tuo,teu,0.3111111111111112
egli fece,fixo,0.7333333333333334
volere,vontade,0.43333333333333335
attraverso,via,0.7333333333333334
suono,son,0.08888888888888902
nave,barco,0.6833333333333333
si,si,0.0
io amo,encantame,0.6111111111111112
re,rei,0.06666666666666676
lui ha,el ten,0.5777777777777777
bene,bo,0.5333333333333334
ma,pero,0.9333333333333333
utilizzo,usar,0.7
mese,mes,0.04444444444444451
andato,ido,0.4
bugie,mentiras,0.72
ala,a,0.20000000000000007
alcuni,algunhas,0.33333333333333337
lui,el,0.5
eco,eco,0.0
amico,amigo,0.18666666666666676
clan,clan,0.0
amore,amor,0.033333333333333326
fatto,feito,0.34666666666666657
mito,mito,0.0
pregiudizio,prexuizo,0.15833333333333355
voi,ti,0.5
come,como,0.2333333333333334
caos,caos,0.0
a casaccio,ao azar,0.4285714285714287
brio,garbo,0.45000000000000007
vedere,ver,0.11111111111111116
azione,accion,0.30000000000000004
sete,sede,0.2333333333333334
dopo,despois,0.30000000000000016
poi,enton,0.6666666666666667
vita,vida,0.2333333333333334
casa,casa,0.0
picco,pico,0.033333333333333326
saga,saga,0.0
paura,medo,0.85
ano,ano,0.0
natura selvaggia,deserto,0.6952380952380952
somma,suma,0.25
nonna,avoa,0.4666666666666667
motto,lema,0.6666666666666667
al di la,mais alo,0.44166666666666676
scemo,parvo,0.6666666666666667
destino,destino,0.0
idem,idem,0.0
urgente,urxente,0.13333333333333341
credere,crer,0.08333333333333337
per il,para o,0.4555555555555556
adatto,encaixar,0.6111111111111112
zelo,celo,0.2333333333333334
lui venne,el veu,0.34444444444444455
potrei,poderia,0.3222222222222223
tutto,todos,0.5066666666666666
di piu,mais,0.7
cattivo,malo,0.5166666666666666
la zona,area,0.5
amore,amor,0.033333333333333326
maleducato,groseiro,0.6499999999999999
zoppo,coxo,0.4833333333333334
quota,cota,0.25
per,para,0.3555555555555556
suono,son,0.08888888888888902
terra,terra,0.0
sara,sera,0.2333333333333334
fase,fase,0.0
essendo,sendo,0.039999999999999925
se stesso,propio,0.7222222222222223
dietro,detras,0.30000000000000016
dolce,doce,0.033333333333333326
voga,moda,0.4666666666666667
presto,en breve,0.6000000000000001
dove,onde,0.43333333333333335
brina,rime,0.4666666666666667
dio,deus,0.6000000000000001
per il,para o,0.4555555555555556
prima,antes,0.6666666666666667
presto,cedo,0.5
giogo,xugo,0.45000000000000007
abbastanza,bastante,0.24166666666666659
arte,art,0.04444444444444451
anima,alma,0.25
obiettivo,obxectivo,0.20740740740740748
di chi,cuxo,0.6833333333333333
sella,sela,0.033333333333333326
porta,trae,0.4666666666666667
in,en,0.4666666666666667
cellula,celula,0.022222222222222143
contenuto,contido,0.2666666666666667
stato,estivo,0.3733333333333333
noia,noia,0.0
viso,cara,0.8333333333333334
disgusto,noxo,0.7
disgusto,noxo,0.7
bersaglio,obxectivo,0.4814814814814815
messa a fuoco,foco,0.18333333333333324
quello,iso,0.6444444444444444
posa,pose,0.2333333333333334
uscire,sair,0.30000000000000016
base,base,0.0
ok,ok,0.0
odio,odio,0.0
atto,act,0.33333333333333337
lui aveva,tina,0.55
alto,alto,0.0
tutto,todos,0.5066666666666666
tempo libero,lecer,0.4666666666666667
rito,rito,0.0
cavolo,caramba,0.5666666666666667
volere,vontade,0.43333333333333335
nuovo,novo,0.033333333333333326
agile,axil,0.2666666666666667
alba,amencer,0.6833333333333333
tesi,tese,0.2333333333333334
alto,alto,0.0
rigonfiamento,bulto,0.6133333333333333
nesso,nexo,0.25
costa,costa,0.0
sagace,sagaz,0.19999999999999996
nucleo,nucleo,0.0
nero,negro,0.033333333333333326
termine,termo,0.21333333333333337
successo,exito,0.56
mescolare,mesturar,0.33333333333333337
nobile,nobre,0.19999999999999996
senso,sentido,0.21333333333333337
affetto,carino,0.5777777777777777
boia,verdugo,0.7
etica,etica,0.0
pieno,cheo,0.4666666666666667
reciproco,mutuo,0.72
tenue,tenue,0.0
fare,facer,0.25
come questo,como isto,0.2222222222222222
impercettibile,sutil,0.4933333333333334
forza,forza,0.0
qui,aqui,0.04444444444444451
tuttavia,con todo,0.7250000000000001
sezione,seccion,0.2571428571428571
erano,foron,0.5333333333333334
guarire,curar,0.4
energia,poder,0.5466666666666666
audace,atrevido,0.5888888888888888
idea,idea,0.0
nucleo,nucleo,0.0
innato,innato,0.0
morale,moral,0.026666666666666727
di,sobre,0.9666666666666667
da,xa que,0.6333333333333333
molto,moi,0.3555555555555555
giusto,xusto,0.19999999999999996
onore,honra,0.3733333333333334
forse,quizais,0.7066666666666668
goffo,torpe,0.6799999999999999
sogno,sono,0.033333333333333326
motivo,razon,0.6933333333333334
inutile,inutil,0.022222222222222143
etnia,etnia,0.0
icona,icona,0.0
attaccamento,anexo,0.45333333333333337
amico,amigo,0.18666666666666676
egida,exido,0.3733333333333334
tangente,tanxe,0.2266666666666668
periodo,lapso,0.5466666666666666
essere,ser,0.11111111111111116
esporre,exponer,0.38095238095238104
reciproco,mutuo,0.72
dengo,dengo,0.0
tempo,tempo,0.0
coppia,parella,0.5777777777777777
poi,enton,0.6666666666666667
abile,habil,0.18666666666666676
raccolto,colleita,0.43333333333333346
bocal,bocal,0.0
stratagemma,artimana,0.4666666666666667
vivere,en directo,0.47777777777777786
pesare,a peso,0.43333333333333335
sapere,saber,0.21333333333333326
causa,causa,0.0
adornare,graza,0.5733333333333334
dire,dicir,0.25
genere,xenero,0.3111111111111112
ostacolo,obstaculo,0.13333333333333341
possesso,posesion,0.2333333333333334
cucire,coser,0.5333333333333333
paria,paria,0.0
dovere,deber,0.3733333333333334
gridare,berrar,0.4555555555555556
tenace,tenaz,0.19999999999999996
prole,descendencia,0.7733333333333333
setaccio,peneira,0.6285714285714286
essendo,sendo,0.039999999999999925
gufo,curuxa,0.7
comune,comun,0.026666666666666727
paura,medo,0.85
tiene,aguanta,0.7066666666666667
ancora,ainda,0.3733333333333334
allegria,animo,0.5733333333333334
apice,apex,0.25
entusiasmo,afan,0.75
far passare,deixa o paso,0.47878787878787876
essere,ser,0.11111111111111116
degno,digno,0.18666666666666676
programma,horario,0.5238095238095238
bello,fermosa,0.5733333333333334
xibiu,xibiu,0.0
culto,culto,0.0
mondo,mundo,0.18666666666666676
atroce,atroz,0.19999999999999996
fugace,fugaz,0.19999999999999996
censimento,censo,0.08000000000000007
terra,terra,0.0
forte,forte,0.0
dipendenza,adiccion,0.55
ovvero,tamen conecido como,0.6000000000000001
cottura al forno,cocer,0.5066666666666666
di valore,vale,0.1166666666666667
denso,densa,0.18666666666666676
tranne,excepto,0.7
cinico,cinico,0.0
adatto,axeitado,0.4444444444444444
scopo,ambito,0.6799999999999999
non(c)membro,non e membro,0.21111111111111114
natura,natureza,0.03333333333333344
signore,senor,0.22666666666666668
sentiero,camino,0.5888888888888888
periodo d'oro,apoxeo,0.5111111111111111
innocuo,inocuo,0.022222222222222143
abiti,traxes,0.6933333333333334
utopia,utopia,0.0
sadico,sadico,0.0
scopo,ambito,0.6799999999999999
enfasi,enfase,0.15555555555555556
idiota,idiota,0.0
casuale,casual,0.022222222222222143
merito,merito,0.0
allusione,alusion,0.03809523809523818
ostile,hostis,0.30000000000000016
desiderio,desexo,0.20000000000000007
scettico,esceptico,0.13333333333333341
eredita,legado,0.5888888888888889
dritto,recto,0.3733333333333334
fretta,presa,0.3866666666666667
gentile,manso,0.72
alieno,alleo,0.21333333333333326
dannoso,prexudicial,0.6476190476190475
infame,infame,0.0
cliche,cliche,0.0
passione,paixon,0.18888888888888888
eccellente,excelente,0.11851851851851858
affabile,afable,0.04444444444444451
definire,definir,0.01904761904761898
ornamento,adorno,0.3222222222222223
regalo,agasallo,0.3222222222222223
estasi,extase,0.3111111111111112
sobrio,sobrio,0.0
appartenenza,adhesion,0.5666666666666667
munchies,empanadas,0.55
valutare,avaliar,0.2761904761904763
astuzia,astucia,0.13333333333333341
pure,tamen,0.6666666666666667
ventosa,ventosa,0.0
sessione,sesion,0.04444444444444451
soglia,limite,0.5666666666666667
solenne,solemne,0.13333333333333341
giudicare,para xulgar,0.5703703703703704
gloria,gloria,0.0
labaro,labaro,0.0
formale,formais,0.24761904761904763
abitudine,habito,0.3333333333333335
apprezzamento,aprecio,0.3142857142857144
sebbene,ainda que,0.6190476190476191
opportunita,oportunidade,0.17575757575757578
quantita di moto,impulso,0.5809523809523809
qualcun altro,alguen mais,0.4181818181818181
efficace,eficaz,0.18888888888888888
oziare,ocioso,0.5777777777777777
giubilo,xubilo,0.16666666666666663
smaltire,dispor,0.6000000000000001
diffondere,difusa,0.4666666666666668
respiro,alento,0.5888888888888889
sempreverde,perenne,0.4190476190476191
sfumatura,matiz,0.41333333333333344
fazione,faccion,0.2571428571428571
scusa,escusa,0.026666666666666727
