fr,gl,Alignment Score
paix,paz,0.33333333333333337
non,non,0.0
fiel,fel,0.04444444444444451
ciel,ceo,0.3555555555555556
etre,ser,0.3555555555555556
vil,vil,0.0
sous,baixo,0.6666666666666667
mauvais,malo,0.4833333333333334
voir,ver,0.33333333333333337
mere,nai,0.8666666666666667
avoir,ter,0.6222222222222222
ego,ego,0.0
bien,bo,0.5333333333333334
mais,pero,0.8333333333333334
soleil,sol,0.08888888888888902
bien,bo,0.5333333333333334
venir,ven,0.06666666666666687
aller,vai,0.6444444444444445
ils sont,eles son,0.2333333333333334
donner,dar,0.37777777777777777
maintenant,agora,0.6
quoi,que,0.33333333333333337
c'etait,foi,0.6888888888888889
lien,ligazon,0.2833333333333333
lumiere,luz,0.4
nous,nos,0.04444444444444451
defendeur,imputado,0.7333333333333334
avec,con,0.6000000000000001
ton,teu,0.5777777777777777
tel,tal,0.3111111111111112
il etait,foi,0.6888888888888889
role,papel,0.6666666666666667
moi,eu,0.9
un,un,0.0
lune,lua,0.33333333333333337
jusqu'a,ata que,0.6095238095238096
hmm,hmm,0.0
par,por,0.3111111111111112
vis,vis,0.0
fin,fin,0.0
poste,publicacion,0.6
douleur,dor,0.11111111111111116
acte,actuar,0.2666666666666667
soleil,sol,0.08888888888888902
sans,sen,0.3555555555555556
pere,pai,0.6000000000000001
tourner,quenda,0.6000000000000001
jour,dia,0.8666666666666667
je donne,eu dou,0.3333333333333335
volonte,vontade,0.24761904761904763
pro,pro,0.0
voir,velai,0.4666666666666667
route,estrada,0.6933333333333334
complexion,tez,0.7777777777777778
lire,ler,0.33333333333333337
ode,oda,0.3111111111111111
donc,asi,0.8666666666666667
ni,nin tampouco,0.3666666666666668
je l'ai fait,fixen,0.6266666666666667
acte,actuar,0.2666666666666667
voix,voz,0.33333333333333337
gay,gai,0.3111111111111111
mon,meu,0.5777777777777777
loi,lei,0.3111111111111112
vol,voo,0.3111111111111111
mauvais,malo,0.4833333333333334
main,man,0.04444444444444451
sur une,nun,0.4222222222222223
donner,dar,0.37777777777777777
agitation,axitacion,0.20740740740740748
paire,par,0.08888888888888902
pour,para,0.45000000000000007
riviere,rio,0.4
ainsi,polo tanto,0.6
bonjour,ola,0.6888888888888889
cia,cia,0.0
jus,xus,0.3111111111111112
maison,casa,0.5166666666666666
ton,teu,0.5777777777777777
il a fait,fixo,0.55
volonte,vontade,0.24761904761904763
via,via,0.0
son,son,0.0
bateau,barco,0.52
oui,si,0.5
j'aime,encantame,0.4666666666666667
roi,rei,0.3111111111111112
il a,el ten,0.5
bien,bo,0.5333333333333334
mais,pero,0.8333333333333334
utiliser,usar,0.31666666666666676
mois,mes,0.33333333333333337
disparu,ido,0.6888888888888889
mensonges,mentiras,0.42500000000000016
aile,a,0.2666666666666666
quelques,algunhas,0.55
lui,el,0.5
echo,eco,0.04444444444444451
copain,amigo,0.5466666666666666
clan,clan,0.0
amour,amor,0.033333333333333326
fait,feito,0.2666666666666667
mythe,mito,0.4833333333333334
biais,prexuizo,0.7333333333333334
toi,ti,0.06666666666666676
comme,como,0.25
chaos,caos,0.033333333333333326
au hasard,ao azar,0.3047619047619048
panache,garbo,0.72
voir,ver,0.33333333333333337
action,accion,0.15555555555555556
la soif,sede,0.7
apres,despois,0.5466666666666666
alors,enton,0.6933333333333334
vie,vida,0.33333333333333337
maison,casa,0.5166666666666666
culminer,pico,0.7166666666666668
saga,saga,0.0
peur,medo,0.6666666666666667
anus,ano,0.33333333333333337
region sauvage,deserto,0.5714285714285714
somme,suma,0.4833333333333333
grand-mere,avoa,0.75
devise,lema,0.6833333333333333
au-dela,mais alo,0.6190476190476191
idiot,parvo,0.6799999999999999
destin,destino,0.022222222222222143
idem,idem,0.0
urgent,urxente,0.1777777777777778
croire,crer,0.2666666666666666
pour le,para o,0.4666666666666667
ajuster,encaixar,0.6
zele,celo,0.4666666666666667
il est venu,el veu,0.2333333333333334
je pourrais,poderia,0.4285714285714286
tous,todos,0.25
plus,mais,0.6333333333333333
mauvais,malo,0.4833333333333334
zone,area,0.6499999999999999
amour,amor,0.033333333333333326
grossier,groseiro,0.2250000000000001
boiteux,coxo,0.5166666666666666
quota,cota,0.25
pour,para,0.45000000000000007
son,son,0.0
atterrir,terra,0.2400000000000001
ce sera,sera,0.06666666666666676
phase,fase,0.25
etre,sendo,0.6666666666666667
soi,propio,0.4222222222222223
derriere,detras,0.4555555555555556
doux,doce,0.43333333333333335
vogue,moda,0.6833333333333333
bientot,en breve,0.6095238095238096
ou,onde,0.5333333333333334
rime,rime,0.0
dieu,deus,0.2333333333333334
pour le,para o,0.4666666666666667
avant,antes,0.34666666666666657
tot,cedo,0.6222222222222222
joug,xugo,0.45000000000000007
assez,bastante,0.41333333333333344
art,art,0.0
ame,alma,0.3555555555555556
but,obxectivo,0.48888888888888893
dont,cuxo,0.6500000000000001
selle,sela,0.25
apporte,trae,0.4833333333333333
dans,en,0.5666666666666667
cellule,celula,0.1777777777777778
contenu,contido,0.36190476190476195
a ete,estivo,0.5466666666666666
noia,noia,0.0
affronter,cara,0.5333333333333334
degouter,noxo,0.7166666666666667
degouter,noxo,0.7166666666666667
cible,obxectivo,0.5866666666666667
se concentrer,foco,0.6000000000000001
que,iso,0.8444444444444444
pose,pose,0.0
sortir,sair,0.2666666666666666
base,base,0.0
d'accord,ok,0.7
detester,odio,0.7166666666666668
acte,act,0.04444444444444451
il avait,tina,0.5333333333333334
haut,alto,0.4666666666666667
tous,todos,0.25
loisirs,lecer,0.5466666666666666
rite,rito,0.2333333333333334
ouais,caramba,0.7066666666666667
volonte,vontade,0.24761904761904763
nouveau,novo,0.30000000000000016
agile,axil,0.2666666666666667
aube,amencer,0.5
these,tese,0.033333333333333326
haut,alto,0.4666666666666667
renflement,bulto,0.6
lien,nexo,0.6333333333333333
rive,costa,0.85
sagace,sagaz,0.19999999999999996
coeur,nucleo,0.5333333333333333
noir,negro,0.45000000000000007
terme,termo,0.18666666666666676
succes,exito,0.6933333333333334
melanger,mesturar,0.42500000000000004
noble,nobre,0.18666666666666676
sens,sentido,0.28333333333333355
affection,carino,0.48888888888888893
bourreau,verdugo,0.6285714285714286
ethique,etica,0.3866666666666667
complet,cheo,0.4833333333333334
mutuel,mutuo,0.19999999999999996
tenu,tenue,0.033333333333333326
faire,facer,0.36
comme ca,como isto,0.44166666666666676
subtil,sutil,0.026666666666666727
forcer,forza,0.3600000000000001
ici,aqui,0.6000000000000001
cependant,con todo,0.5416666666666667
section,seccion,0.13333333333333341
etaient,foron,0.7066666666666668
guerir,curar,0.4
pouvoir,poder,0.3733333333333334
audacieux,atrevido,0.6416666666666666
idee,idea,0.2333333333333334
coeur,nucleo,0.5333333333333333
inne,innato,0.2666666666666667
morale,moral,0.026666666666666727
a propos,sobre,0.7066666666666668
depuis,xa que,0.7
tres,moi,0.8666666666666667
equitable,xusto,0.6133333333333333
honneur,honra,0.21333333333333337
peut-etre,quizais,0.7428571428571429
maladroit,torpe,0.72
reve,sono,0.8333333333333334
raison,razon,0.19999999999999996
futile,inutil,0.30000000000000004
appartenance ethnique,etnia,0.42666666666666664
icone,icona,0.18666666666666676
piece jointe,anexo,0.6266666666666667
ami,amigo,0.06666666666666687
egide,exido,0.3733333333333334
tanger,tanxe,0.21333333333333337
laps,lapso,0.033333333333333326
etre,ser,0.3555555555555556
exposer,exponer,0.13333333333333341
mutuel,mutuo,0.19999999999999996
dengo,dengo,0.0
temps,tempo,0.18666666666666676
couple,parella,0.5888888888888889
alors,enton,0.6933333333333334
habile,habil,0.026666666666666727
recolte,colleita,0.39047619047619053
bocal,bocal,0.0
ruse,artimana,0.7166666666666668
en direct,en directo,0.014814814814814725
peser,a peso,0.3733333333333334
savoir,saber,0.36
cause,causa,0.18666666666666676
la grace,graza,0.4
dire,dicir,0.25
genre,xenero,0.3866666666666667
obstacle,obstaculo,0.13333333333333341
possession,posesion,0.033333333333333326
coudre,coser,0.3733333333333334
paria,paria,0.0
devoir,deber,0.36
crier,berrar,0.5333333333333333
tenace,tenaz,0.19999999999999996
progeniture,descendencia,0.6181818181818182
tamis,peneira,0.7066666666666667
etre,sendo,0.6666666666666667
hibou,curuxa,0.6933333333333334
commun,comun,0.026666666666666727
peur,medo,0.6666666666666667
tient,aguanta,0.5466666666666666
encore,ainda,0.7066666666666668
acclamation,animo,0.45333333333333337
sommet,apex,0.7
ardeur,afan,0.6666666666666667
laisser passer,deixa o paso,0.5111111111111112
etre,ser,0.3555555555555556
digne,digno,0.18666666666666676
calendrier,horario,0.5333333333333333
joli,fermosa,0.7166666666666668
xibiu,xibiu,0.0
culte,culto,0.18666666666666676
monde,mundo,0.3733333333333334
atroce,atroz,0.19999999999999996
fugace,fugaz,0.19999999999999996
recensement,censo,0.28
atterrir,terra,0.2400000000000001
fort,forte,0.033333333333333326
dependance,adiccion,0.6416666666666666
alias,tamen conecido como,0.7333333333333334
cuire,cocer,0.52
valeur,vale,0.050000000000000155
dense,densa,0.18666666666666676
sauf,excepto,0.8833333333333334
cynique,cinico,0.4555555555555556
approprie,axeitado,0.6333333333333333
portee,ambito,0.7
pas(c)membre,non e membro,0.48888888888888893
nature,natureza,0.03333333333333344
monsieur,senor,0.41333333333333333
chemin,camino,0.30000000000000004
apogee,apoxeo,0.30000000000000016
inoffensif,inocuo,0.4666666666666668
costumes,traxes,0.4555555555555555
utopie,utopia,0.15555555555555556
