gl,ro,Alignment Score
paz,pace,0.33333333333333337
non,nu,0.5
fel,fiere,0.3555555555555555
ceo,cer,0.3111111111111111
ser,a fi,0.8666666666666667
vil,ticalos,0.4444444444444444
baixo,sub,0.6222222222222222
malo,rau,0.6444444444444445
ver,pentru a vedea,0.5777777777777777
nai,mama,0.6222222222222222
ter,a avea,0.6888888888888889
ego,ego-ul,0.08888888888888902
bo,bun,0.5
pero,dar,0.6222222222222222
sol,soare,0.3555555555555556
bo,bun,0.5
ven,vin la tine,0.48888888888888893
vai,merge,0.8888888888888888
eles son,sunt,0.5333333333333334
dar,a da,0.33333333333333337
agora,acum,0.6499999999999999
que,ce,0.5
foi,era,0.8444444444444444
ligazon,legatura,0.5047619047619049
luz,usoara,0.6666666666666667
nos,s.u.a,0.6222222222222222
imputado,parat,0.5733333333333334
con,cu,0.5
teu,ta,0.5
tal,astfel de,0.4666666666666667
foi,el a fost,0.4666666666666667
papel,rol,0.6222222222222222
eu,pe mine,0.6333333333333333
un,unu,0.06666666666666676
lua,luna,0.04444444444444451
ata que,pana cand,0.523809523809524
hmm,hmm,0.0
por,pe,0.5
vis,vis,0.0
fin,sfarsit,0.4444444444444444
publicacion,post,0.5666666666666667
dor,durere,0.3999999999999999
actuar,act,0.08888888888888902
sol,soare,0.3555555555555556
sen,fara,0.8666666666666667
pai,tata,0.6222222222222222
quenda,intoarce,0.6111111111111112
dia,zi,0.5333333333333334
eu dou,eu dau,0.15555555555555556
vontade,voi,0.4
pro,pro,0.0
velai,iata,0.6500000000000001
estrada,drum,0.7
tez,complexitate,0.5111111111111111
ler,a citi,0.9111111111111111
oda,oda,0.0
asi,asa de,0.37777777777777777
nin tampouco,nici,0.3833333333333334
fixen,am facut,0.72
actuar,act,0.08888888888888902
voz,voce,0.33333333333333337
gai,gay,0.3111111111111111
meu,ale mele,0.4444444444444444
lei,lege,0.33333333333333337
voo,zbor,0.6222222222222222
malo,rau,0.6444444444444445
man,mana,0.04444444444444451
nun,pe unu,0.37777777777777777
dar,da,0.06666666666666676
axitacion,agitatie,0.3583333333333334
par,pereche,0.4222222222222223
para,pentru,0.5
rio,rau,0.5777777777777777
polo tanto,prin urmare,0.6066666666666667
