pt,es,Alignment Score
paz,paz,0.0
nao,no,0.06666666666666676
fel,hiel,0.33333333333333337
ceu,cielo,0.37777777777777777
ser,ser,0.0
vil,vil,0.0
sob,bajo,0.6000000000000001
mal,malo,0.04444444444444451
ver,para ver,0.1333333333333333
mae,madre,0.06666666666666665
ter,tener,0.06666666666666665
ego,ego,0.0
bem,bien,0.3555555555555556
mas,pero,0.8666666666666667
dom,sol,0.6222222222222222
bom,bien,0.6000000000000001
vir,venir,0.06666666666666665
vao,ir,0.9
sao,ellos son,0.4666666666666667
dar,dar,0.0
ora,ahora,0.06666666666666665
que,que,0.0
era,fue,0.5777777777777777
elo,enlace,0.4
luz,luz,0.0
nos,a nosotros,0.20000000000000007
reu,acusado,0.6888888888888889
com,con,0.3111111111111111
seu,su,0.06666666666666676
tal,semejante,0.7333333333333334
foi,el era,0.9111111111111111
rol,role,0.04444444444444451
mim,a mi,0.33333333333333337
uma,uno,0.5777777777777777
lua,luna,0.04444444444444451
ate,hasta,0.3999999999999999
hum,mmm,0.5777777777777777
por,por,0.0
vis,vis,0.0
fim,fin,0.3111111111111111
pos,correo,0.6666666666666667
dor,dolor,0.06666666666666665
ato,acto,0.04444444444444451
sol,sol,0.0
sem,sin,0.5777777777777777
pai,padre,0.3555555555555556
vez,doblar,0.9111111111111111
dia,dia,0.0
dou,doy,0.3111111111111111
ira,voluntad,0.711111111111111
pro,pro,0.0
eis,mirad,0.6666666666666667
rua,camino,0.6666666666666667
tez,tez,0.0
ler,leer,0.04444444444444451
ode,oda,0.3111111111111111
tao,entonces,0.4444444444444444
nem,ni,0.5
fiz,hice,0.6444444444444445
ajo,acto,0.33333333333333337
voz,voz,0.0
gay,homosexuales,0.8222222222222223
meu,mi,0.5
lei,ley,0.3111111111111111
voo,vuelo,0.3555555555555555
mau,malo,0.33333333333333337
mao,mano,0.04444444444444451
num,en uno,0.4222222222222223
des,dar,0.5777777777777777
afa,ajetreo,0.6666666666666667
por,par,0.3111111111111112
for,para,0.6222222222222222
rio,rio,0.0
dai,por eso,0.9333333333333333
ola,hola,0.04444444444444451
cia,cia,0.0
jus,jus,0.0
lar,hogar,0.3555555555555556
sua,su,0.06666666666666676
fez,el hizo,0.4222222222222223
ira,voluntad,0.711111111111111
via,a traves de,0.7555555555555555
som,sonido,0.37777777777777777
nau,barco,0.6666666666666667
sim,si,0.06666666666666676
amo,amo,0.0
rei,rey,0.3111111111111111
tem,el tiene,0.4444444444444444
boa,bien,0.6000000000000001
mas,pero,0.8666666666666667
uso,usar,0.33333333333333337
mes,mes,0.0
ido,desaparecido,0.2222222222222222
jaz,mentiras,0.7333333333333334
asa,ala,0.3111111111111112
uns,alguno,0.3999999999999999
lhe,a el,0.6000000000000001
eco,eco,0.0
pal,camarada,0.711111111111111
cla,clan,0.04444444444444451
amor,amar,0.2333333333333334
fato,hecho,0.6499999999999999
mito,mito,0.0
vies,inclinacion,0.7666666666666667
voce,tu,0.9333333333333333
como,como,0.0
caos,caos,0.0
esmo,al azar,0.8833333333333334
brio,estilo,0.4833333333333334
vide,ver,0.33333333333333337
acao,accion,0.2833333333333333
sede,sed,0.04444444444444451
apos,despues,0.5166666666666666
pois,entonces,0.5333333333333334
vida,vida,0.0
casa,casa,0.0
auge,cima,0.6333333333333333
saga,saga,0.0
