pt,ro,Alignment Score
convergencia,convergenta,0.09090909090909083
expor,expune,0.3600000000000001
causa,cauza,0.18666666666666676
rima,bruma,0.2666666666666666
sucumbir,sucomba,0.2761904761904762
concerne,preocupari,0.575
vicissitude,vicisitudine,0.09090909090909083
fiz,am facut,0.7111111111111111
pejorativo,peiorativ,0.11851851851851858
pretensao,pretensionare,0.1407407407407406
ratificar,ratifica,0.016666666666666607
excelencia,excelenta,0.11111111111111116
disruptivo,perturbatoare,0.5466666666666666
paradoxo,paradox,0.01904761904761898
tacito,tacit,0.026666666666666727
por,pereche,0.4222222222222223
ardiloso,viclean,0.6285714285714286
beligerante,beligerant,0.013333333333333308
ademais,in plus,0.5904761904761905
rei,rege,0.33333333333333337
versatilidade,versatilitate,0.1435897435897434
superestimar,supraestima,0.09696969696969693
detem,tine,0.4666666666666667
afavel,afabil,0.288888888888889
etica,etica,0.0
rude,nepoliticos,0.7666666666666667
consoante,consoana,0.125
exacerbado,exacerbata,0.17333333333333334
desejo,dorinta,0.5666666666666667
intransigente,fara compromisuri,0.6051282051282052
subterfugio,subterfugiu,0.08484848484848473
congruencia,congruenta,0.09999999999999998
extrovertido,extrovertit,0.09090909090909083
prudencia,prudenta,0.125
icone,pictograma,0.44000000000000006
cultura,cultura,0.0
elo,legatura,0.7111111111111111
sessao,sesiune,0.43333333333333335
ira,voi,0.5777777777777777
tambem,de asemenea,0.5111111111111112
afeto,afectiune,0.2533333333333334
plausibilidade,plauzibilitatea,0.20952380952380945
hetero,drept,0.5466666666666666
esmo,la intamplare,0.7833333333333333
arrogante,arogant,0.03809523809523818
precedente,precedent,0.014814814814814725
retificacao,rectificare,0.23636363636363633
ocioso,inactiv,0.6000000000000001
impeto,impuls,0.4222222222222223
complementar,aditional,0.6000000000000001
trivial,banal,0.5333333333333333
contemporaneo,contemporan,0.018181818181817966
perene,vesnic verde,0.5111111111111111
circunstancia,circumstanta,0.16111111111111098
intransigencia,intransigenta,0.07692307692307687
posteriormente,posterior,0.04444444444444429
quintessencia,chintesenta,0.2606060606060606
intempestivo,intempestiv,0.012121212121212088
heterogeneo,eterogen,0.04166666666666663
ilacao,deducere,0.7333333333333334
ler,a citi,0.9111111111111111
tenaz,tenace,0.19999999999999996
aquem,aici,0.6499999999999999
resistencia,rezistenta,0.19333333333333336
tao,asa de,0.6666666666666667
preliminar,preliminar,0.0
cordialidade,cordialitate,0.15555555555555545
inconveniencia,incomoda,0.3666666666666668
solicito,util,0.7166666666666668
persistencia,persistenta,0.09090909090909083
procedencia,origine,0.6476190476190476
virtude,virtute,0.13333333333333341
gratidao,recunostinta,0.4833333333333334
demanda,cerere,0.7111111111111111
imprevisivel,imprevizibile,0.22777777777777763
jactancia,lauda,0.5866666666666667
socioambiental,socio-mediu,0.33939393939393925
concupiscencia,pofta,0.6399999999999999
orla,tarm,0.6500000000000001
plenitude,plenitudine,0.022222222222222254
pois,apoi,0.2333333333333334
multifacetado,cu mai multe fatete,0.37435897435897436
vide,vedea,0.2666666666666667
fato,fapt,0.2333333333333334
asco,dezgust,0.7166666666666668
via,prin intermediul,0.9111111111111111
redimir,a rascumpara,0.5619047619047619
instigar,instiga,0.01904761904761898
concessao,concesiune,0.28888888888888875
alento,suflare,0.5888888888888889
honra,onora,0.18666666666666676
comum,uzual,0.6799999999999999
dissimulado,deghizat,0.5666666666666667
ante,inainte de,0.15000000000000002
mundo,lume,0.6666666666666667
coser,a coase,0.22666666666666668
urge,urgent,0.050000000000000155
epifania,epifanie,0.1166666666666667
hostil,ostil,0.026666666666666727
ansioso,nerabdator,0.638095238095238
arrefecimento,racire,0.4
aspecto,aspect,0.022222222222222143
almejar,a pofti,0.7047619047619047
indulgencia,indulgenta,0.09999999999999998
posse,detinere,0.7066666666666668
nexo,legatura,0.7333333333333334
perseveranca,perseverenta,0.15555555555555545
entendimento,intelegere,0.5266666666666667
sem,fara,0.8666666666666667
etereo,eteric,0.288888888888889
bem-aventurado,binecuvantat,0.44999999999999996
consiste,consta,0.188888888888889
heterossexual,heterosexual,0.011111111111111072
supersticioso,superstitios,0.08888888888888902
luxuria,pofta,0.6933333333333334
credibilidade,credibilitate,0.1435897435897434
sintetizar,sintetiza,0.014814814814814725
defina,defini,0.15555555555555556
eis,iata,0.6222222222222222
