pt,fr,Alignment Score
indescritivel,indescriptible,0.14871794871794863
conservador,conservateur,0.16363636363636358
vis,vis,0.0
nojo,degouter,0.7166666666666667
lapso,laps,0.033333333333333326
expectativa,attente,0.638095238095238
transcendental,transcendantal,0.06666666666666665
resplandecer,briller,0.4285714285714286
divergente,divergent,0.014814814814814725
multiplicidade,multiplicite,0.0888888888888888
hibrido,hybride,0.2666666666666667
onde,ou,0.5333333333333334
regozijar,rejouir,0.2952380952380953
supressao,suppression,0.13333333333333341
xibiu,xibiu,0.0
aleatorio,aleatoire,0.19999999999999996
entretenimento,divertissement,0.37142857142857144
iminencia,imminence,0.19999999999999996
tergiversar,ergoter,0.3047619047619049
desfecho,resultat,0.6333333333333333
inconsistencia,incoherence,0.33333333333333337
disposicao,disposition,0.18666666666666676
esporadico,sporadique,0.2599999999999999
vao,aller,0.6444444444444445
idem,idem,0.0
legado,heritage,0.6111111111111112
bocal,bocal,0.0
receptividade,receptivite,0.09696969696969682
internalizacao,internalisation,0.195238095238095
eita,ouais,0.6666666666666667
casa,maison,0.5166666666666666
jurisprudencia,jurisprudence,0.07692307692307687
admoestacao,admonition,0.3600000000000001
retificar,rectifier,0.19999999999999996
sair,sortir,0.2666666666666666
cinico,cynique,0.4555555555555556
sentido,sens,0.28333333333333355
contrapartida,homologue,0.7703703703703704
subjetividade,subjectivite,0.15555555555555545
destinatario,destinataire,0.1499999999999999
retrogrado,retrograde,0.09333333333333327
conformidade,conformite,0.10666666666666669
abstrato,abstrait,0.1166666666666667
alcada,juridiction,0.7666666666666666
pai,pere,0.6000000000000001
parcial,partiel,0.2666666666666667
pelo,pour le,0.4833333333333334
contentamento,contentement,0.08888888888888902
sido,a ete,0.85
vir,venir,0.06666666666666665
essencia,essence,0.1428571428571429
dou,je donne,0.4444444444444444
irao,volonte,0.7
inefavel,ineffable,0.2416666666666667
alienado,aliene,0.1777777777777777
proeminencia,importance,0.5333333333333333
convencional,conventionnel,0.16111111111111098
benignidade,gentillesse,0.5393939393939394
escarnecedor,moqueur,0.6476190476190475
conciso,concis,0.022222222222222143
paulatinamente,progressivement,0.48571428571428565
estar,etre,0.2666666666666667
ressentimento,ressentiment,0.011111111111111072
fornicacao,fornication,0.18666666666666676
subsistencia,subsistance,0.17575757575757567
ideia,idee,0.25
reu,defendeur,0.4666666666666667
ceder,laisser passer,0.4933333333333334
funcionalidade,fonctionnalite,0.2571428571428571
sintese,la synthese,0.19047619047619047
exequibilidade,faisabilite,0.4121212121212121
nuance,nuancer,0.022222222222222143
sobre,a propos,0.7066666666666668
por,par,0.3111111111111112
execravel,execrable,0.19999999999999996
infortunio,malheur,0.7428571428571429
credenciamento,accreditation,0.3435897435897436
acesso,acceder,0.44444444444444453
excesso,exces,0.039999999999999925
subordinado,subalterne,0.44000000000000006
papibaquigrafo,papibaquigraphe,0.12857142857142834
pressagio,presage,0.16190476190476188
mim,moi,0.3111111111111112
atenciosamente,cordialement,0.37222222222222223
subserviencia,asservissement,0.33846153846153837
alva,aube,0.6333333333333333
condescendente,condescendant,0.08205128205128198
consubstanciar,justifier,0.4370370370370371
displicencia,negligence,0.45333333333333337
denegrir,denigrer,0.2333333333333334
contingencia,contingence,0.09090909090909083
promiscuidade,la promiscuite,0.20512820512820507
constantemente,en permanence,0.4717948717948719
incandescente,incandescent,0.011111111111111072
perspectiva,perspective,0.08484848484848473
objetivo,but,0.4666666666666667
jugo,joug,0.2333333333333334
eloquente,eloquent,0.016666666666666607
relacionamento,relation,0.17499999999999982
arte,art,0.04444444444444451
intensidade,intensite,0.11851851851851847
corroborar,corroborer,0.09333333333333338
incolumidade,securite,0.4916666666666667
sistematico,systematique,0.24848484848484842
autoritario,autoritaire,0.16363636363636347
compartilhar,partager,0.2583333333333334
sobrecarregado,surcharge,0.3555555555555556
voga,vogue,0.25
introvertido,introverti,0.019999999999999907
depreciativo,desobligeant,0.4944444444444446
pandemia,pandemie,0.1166666666666667
sede,la soif,0.7
cerne,coeur,0.3600000000000001
estigmatizar,stigmatiser,0.1696969696969698
divergencia,divergence,0.09999999999999987
vies,biais,0.4666666666666667
astucia,ruse,0.7166666666666668
acepcao,signification,0.5523809523809524
hermetico,hermetique,0.19999999999999996
