en,fr,Alignment Score
legal,legal,0.0
unbelief,incredulite,0.3833333333333334
concomitant,concomitant,0.0
restriction,restriction,0.0
anus,anus,0.0
complexion,complexion,0.0
sweet,doux,0.85
scam,arnaque,0.7
questioning,interrogatoire,0.5757575757575757
sense,sens,0.033333333333333326
transfiguration,transfiguration,0.0
trustworthy,digne de confiance,0.793939393939394
representation,representation,0.0
fair,equitable,0.75
to see,voir,0.7
early,tot,0.8888888888888888
hmm,hmm,0.0
litigation,litige,0.19999999999999984
nostalgia,nostalgie,0.10370370370370374
skillful,habile,0.6000000000000001
scope,portee,0.52
determined,determine,0.014814814814814725
sensitivity,sensibilite,0.25454545454545463
length,longueur,0.4666666666666668
arouse,susciter,0.4666666666666667
altruistic,altruiste,0.11111111111111116
resignify,resignifier,0.11851851851851847
circumscription,circonscription,0.11555555555555563
transcendent,transcendant,0.07777777777777772
to say,dire,0.8666666666666667
presumption,presomption,0.08484848484848484
bake,cuire,0.6499999999999999
family,famille,0.16666666666666663
behind,derriere,0.6222222222222222
extemporaneous,improvise,0.44444444444444453
promotion,promotion,0.0
mediocrity,mediocrite,0.09333333333333327
proficiency,competence,0.52
devoid,depourvu,0.4555555555555556
unusual,inhabituel,0.5333333333333333
implicitly,implicitement,0.19333333333333325
infrastructure,infrastructure,0.0
foundation,fondation,0.014814814814814725
resigned,resigne,0.01904761904761898
unbelievable,incroyable,0.43333333333333335
systematize,systematiser,0.09696969696969682
suffer,souffrir,0.18888888888888888
transcend,transcender,0.022222222222222143
reference,reference,0.0
convalescent,convalescent,0.0
phase,phase,0.0
it will be,ce sera,0.6476190476190476
census,recensement,0.3555555555555556
partially,partiellement,0.23703703703703694
threshold,seuil,0.5866666666666667
spouse,conjoint,0.7333333333333334
dispensable,dispensable,0.0
coexistence,coexistence,0.0
enterprise,entreprise,0.09333333333333338
dissension,dissension,0.0
designation,designation,0.0
glory,gloire,0.21333333333333337
austere,austere,0.0
gentle,doux,0.8666666666666667
high,haut,0.6333333333333333
motto,devise,0.8400000000000001
essential,essentiel,0.10370370370370374
dichotomy,dichotomie,0.11111111111111116
for,pour,0.3555555555555556
contemplate,contempler,0.09999999999999998
abundantly,abondamment,0.2733333333333333
discrepancy,divergence,0.3666666666666667
circumcised,circoncis,0.2148148148148148
bulge,renflement,0.6
intellectual,intellectuel,0.07777777777777772
cheer,acclamation,0.76
land,atterrir,0.7166666666666668
predisposition,predisposition,0.0
empathy,empathie,0.1428571428571429
grandma,grand-mere,0.17142857142857149
black,noir,0.85
antagonism,antagonisme,0.013333333333333308
be,etre,0.5333333333333334
recognition,reconnaissance,0.33939393939393925
courteous,courtois,0.13333333333333341
austerity,austerite,0.10370370370370374
however,cependant,0.6476190476190476
eminence,eminence,0.0
no,non,0.06666666666666676
after,apres,0.52
conviction,conviction,0.0
stability,la stabilite,0.13333333333333341
consent,consentement,0.05714285714285694
success,succes,0.022222222222222143
taciturn,taciturne,0.016666666666666607
imperceptible,imperceptible,0.0
merit,merite,0.026666666666666727
ordinary,ordinaire,0.13333333333333341
parsimony,parcimonie,0.2148148148148148
consistency,coherence,0.4
promiscuous,promiscuite,0.23030303030303023
indelible,indelebile,0.11111111111111116
biodiversity,biodiversite,0.07777777777777772
idiosyncrasy,particularite,0.6333333333333333
resounding,retentissant,0.4600000000000002
discretion,discretion,0.0
epistemology,epistemologie,0.08333333333333337
reject,rejeter,0.16666666666666663
instance,exemple,0.7142857142857143
communion,communion,0.0
rise,augmenter,0.7166666666666667
personality,personnalite,0.09696969696969682
inhospitable,inhospitalier,0.0888888888888888
democracy,democratie,0.19999999999999996
extraordinary,extraordinaire,0.08205128205128198
notorious,celebre,0.7428571428571429
some,quelques,0.7
stereotyped,stereotype,0.013333333333333308
notivago,notivago,0.0
