it,ro,Alignment Score
legale,legale,0.0
incredulita,necredinta,0.19333333333333336
concomitante,concomitent,0.09696969696969693
restrizione,restrictie,0.18666666666666676
ano,anus,0.33333333333333337
carnagione,complexitate,0.5933333333333334
dolce,dulce,0.18666666666666676
truffa,inselatorie,0.6333333333333333
interrogatorio,chestionare,0.5636363636363636
senso,sens,0.033333333333333326
trasfigurazione,transfigurare,0.14871794871794863
affidabile,demn de incredere,0.64
rappresentazione,reprezentare,0.25555555555555554
giusto,corect,0.7
da vedere,pentru a vedea,0.33333333333333337
presto,din timp,0.7111111111111111
hmm,hmm,0.0
contenzioso,litigii,0.6571428571428573
nostalgia,nostalgie,0.10370370370370374
abile,abil,0.033333333333333326
scopo,domeniul de aplicare,0.7466666666666667
determinato,determinat,0.013333333333333308
sensibilita,sensibilitate,0.018181818181817966
lunghezza,lungime,0.2761904761904761
suscitare,trezi,0.41333333333333333
altruistico,altruist,0.033333333333333215
risignificare,resemnifica,0.2606060606060606
circoscrizione,circumscriptie,0.2523809523809524
trascendente,transcendent,0.07777777777777772
dire,a zice,0.5
presunzione,prezumtie,0.3037037037037038
cottura al forno,coace,0.5066666666666668
famiglia,familie,0.1523809523809525
dietro,in spate,0.5888888888888889
estemporaneo,extemporaneu,0.15555555555555545
promozione,promovare,0.28888888888888875
mediocrita,mediocritate,0.019999999999999907
competenza,experienta,0.44000000000000006
privo,lipsit,0.56
insolito,neobisnuit,0.45833333333333337
implicitamente,implicit,0.05833333333333324
infrastruttura,infrastructura,0.06666666666666665
fondazione,fundatie,0.2583333333333334
rassegnato,demisionat,0.5133333333333334
incredibile,necrezut,0.4583333333333335
sistematizzare,sistematiza,0.030303030303030276
soffrire,suferi,0.33333333333333337
trascendere,transcende,0.09999999999999987
riferimento,referinta,0.22962962962962974
convalescente,convalescent,0.011111111111111072
fase,faza,0.43333333333333335
sara,va fi,0.6666666666666667
censimento,recensamant,0.28666666666666674
parzialmente,partial,0.19047619047619047
soglia,prag,0.6833333333333333
sposa,sotie,0.52
superfluo,dispensabil,0.49629629629629635
coesistenza,coexistenta,0.1696969696969698
impresa,afacere,0.6
dissenso,disensiuni,0.24166666666666659
designazione,desemnare,0.31851851851851853
gloria,glorie,0.15555555555555556
austero,auster,0.022222222222222143
gentile,bland,0.72
alto,inalt,0.25
motto,motto,0.0
essenziale,esential,0.15000000000000002
dicotomia,dihotomie,0.20740740740740748
per,pentru,0.11111111111111116
contemplare,contempla,0.022222222222222143
abbondantemente,abundent,0.19166666666666676
discrepanza,discrepanta,0.08484848484848473
circonciso,circumcis,0.20740740740740748
rigonfiamento,umflatura,0.6148148148148148
intellettuale,intelectual,0.10909090909090913
allegria,ridica moralul,0.575
terra,teren,0.3466666666666668
predisposizione,predispozitie,0.14871794871794863
empatia,empatie,0.13333333333333341
nonna,bunica,0.5333333333333333
nero,negru,0.2666666666666667
antagonismo,antagonism,0.013333333333333308
essere,fi,1.0
riconoscimento,recunoastere,0.4555555555555556
cortese,politicos,0.5047619047619047
austerita,austeritate,0.022222222222222143
tuttavia,in orice caz,0.6583333333333334
eminenza,eminenta,0.1166666666666667
no,nu,0.4666666666666667
dopo,dupa,0.4666666666666667
convinzione,condamnare,0.42666666666666686
stabilita,stabilitate,0.022222222222222143
consenso,consimtamant,0.3666666666666667
successo,succes,0.03333333333333344
taciturno,taciturn,0.016666666666666607
impercettibile,imperceptibil,0.08205128205128209
merito,merit,0.026666666666666727
ordinario,comun,0.5866666666666667
parsimonia,parcimonie,0.18666666666666676
consistenza,consistenta,0.08484848484848473
promiscuo,promiscuu,0.10370370370370374
indelebile,de nesters,0.52
biodiversita,biodiversitate,0.016666666666666496
idiosincrasia,idiosincrasie,0.07179487179487176
clamoroso,rasunator,0.5703703703703704
riservatezza,discretie,0.4222222222222223
epistemologia,epistemologie,0.07179487179487176
rifiutare,respinge,0.5333333333333334
esempio,instanta,0.7238095238095238
comunione,comuniune,0.10370370370370374
salita,crestere,0.6000000000000001
personalita,personalitate,0.018181818181817966
inospitale,neospitalier,0.12
democrazia,democratie,0.18666666666666676
straordinario,extraordinar,0.15555555555555545
famigerato,notoriu,0.6285714285714286
alcuni,niste,0.52
stereotipato,stereotipat,0.012121212121212088
notivago,nuivago,0.1428571428571429
