gl,ro,Alignment Score
en directo,trai,0.75
agasallo,cadou,0.5733333333333334
bo,bun,0.5
relativizar,relativiza,0.013333333333333308
presa,graba,0.5333333333333333
paradigma,paradigma,0.0
contraditorio,contradictoriu,0.08205128205128198
privilexio,privilegiu,0.18666666666666676
curar,vindeca,0.5466666666666666
pose,poza,0.43333333333333335
clan,clan,0.0
concepto,concept,0.01904761904761898
foi,era,0.8444444444444444
alguen mais,altcineva,0.49629629629629635
fraternidade,fraternitate,0.15555555555555545
intercorrencia,intercurente,0.23333333333333317
deseno,proiecta,0.7222222222222222
ininterrompido,neintrerupta,0.3833333333333333
avaliar,evalua,0.3333333333333335
cinismo,cinism,0.022222222222222143
comportamento,comportament,0.011111111111111072
forza,forta,0.18666666666666676
termo,termen,0.19999999999999996
traslado,relocare,0.5416666666666667
mentiras,minciuni,0.5333333333333334
mencionado anteriormente,mentionate mai sus,0.40370370370370356
dar,da,0.06666666666666676
resplandeciente,splendid,0.30833333333333324
digno,vrednic,0.56
plausible,plauzibil,0.20740740740740748
encantame,iubesc,0.6111111111111112
morboso,morbid,0.30000000000000016
relevancia,relevanta,0.11111111111111116
en breve,curand,0.7333333333333334
cia,cia,0.0
autenticidade,autenticitate,0.1435897435897434
reflexo,reflectati,0.2761904761904761
anatema,anatema,0.0
presuntuoso,prezumtios,0.29333333333333345
lecer,agrement,0.6000000000000001
descendencia,descendenti,0.09696969696969682
sono,vis,0.6000000000000001
actual,actual,0.0
libertinaxe,imoralitate,0.4666666666666667
demagogo,demagog,0.01904761904761898
saga,saga,0.0
descricion,descriere,0.28888888888888875
peculiaridade,particularitate,0.2923076923076924
compasivo,milos,0.43999999999999995
misoxina,misogin,0.1523809523809525
tamen,de asemenea,0.29333333333333345
conclusion,deducere,0.7416666666666667
sinxeleza,simplitate,0.4814814814814815
reclamacion,revendicare,0.5333333333333334
destino,soarta,0.5777777777777777
pico,varf,0.8333333333333334
erudito,erudit,0.022222222222222143
flematico,flegmatic,0.10370370370370374
procedemento,procedura,0.3037037037037036
nin tampouco,nici,0.3833333333333334
impresion,imprimare,0.37037037037037035
circunspecto,circumspect,0.09696969696969693
empresa,companie,0.5047619047619049
desenvolver,a dezvolta,0.44000000000000006
determinacion,determinare,0.16969696969696957
como,la fel de,0.9166666666666667
dilixente,harnic,0.7444444444444445
xogueton,jucaus,0.7333333333333334
deber,datorie,0.5333333333333333
resolucion,rezolutie,0.31851851851851853
quenda,intoarce,0.6111111111111112
labaro,labaro,0.0
constancia,constanta,0.11111111111111116
tese,teza,0.43333333333333335
mito,mit,0.04444444444444451
ser,a fi,0.8666666666666667
incidente,incident,0.016666666666666607
caracterizar,caracteriza,0.012121212121212088
estrada,drum,0.7
xenero,gen,0.4
responsable,responsabil,0.08484848484848473
imputar,imputa,0.022222222222222143
epistemoloxico,epistemologica,0.1333333333333332
felicidade,fericire,0.25
tarefa,sarcina,0.4555555555555555
xenial,grozav,0.7111111111111111
non e membro,nu(c)membre,0.3939393939393939
astucia,viclean,0.6095238095238096
elucubracion,elucubratia,0.17575757575757567
ambito,domeniul de aplicare,0.7444444444444445
propio,de sine,0.7222222222222223
mais alo,dincolo,0.5047619047619049
intranscendente,neinsemnata,0.4303030303030304
contexto,context,0.01904761904761898
humildade,umilinta,0.3416666666666668
imparcial,impartial,0.10370370370370374
pro,pro,0.0
hipocrisia,ipocrizie,0.2222222222222222
significado,sens,0.5833333333333333
ainda que,cu toate ca,0.6666666666666667
desprendemento,detasare,0.3833333333333334
cota,cota,0.0
racismo,rasism,0.1777777777777778
autonomia,autonomie,0.10370370370370374
limpeza,curatenie,0.6285714285714286
indispensable,indispensabil,0.07179487179487176
restante,ramas,0.56
desexo,dori,0.4666666666666667
dar,a da,0.33333333333333337
sintetica,sintetic,0.016666666666666607
ata que,pana cand,0.523809523809524
destacado,proeminent,0.6666666666666667
consentimento,consimtamant,0.2944444444444445
referente,cu privire la,0.6
implementacion,implementare,0.15555555555555545
longo vento,prelungit,0.5037037037037038
consonancia,consonanta,0.09999999999999998
desculpas,scuze,0.41333333333333344
primordial,primordial,0.0
