es,gl,Alignment Score
legal,legal,0.0
incredulidad,incredulidade,0.011111111111111072
concomitante,concomitante,0.0
restriccion,restricion,0.013333333333333308
ano,ano,0.0
tez,tez,0.0
dulce,doce,0.25
estafa,estafa,0.0
interrogatorio,cuestionando,0.5722222222222222
sentido,sentido,0.0
transfiguracion,transfiguracion,0.0
confiable,de confianza,0.311111111111111
representacion,representacion,0.0
justo,xusto,0.18666666666666676
para ver,ver,0.1333333333333333
temprano,cedo,0.5333333333333334
mmm,hmm,0.3111111111111112
litigio,litixio,0.13333333333333341
nostalgia,nostalxia,0.10370370370370374
habil,habil,0.0
alcance,ambito,0.7
determinado,determinado,0.0
sensibilidad,sensibilidade,0.011111111111111072
longitud,lonxitude,0.13333333333333341
despertar,espertar,0.016666666666666607
altruista,altruista,0.0
resignificar,resignificar,0.0
circunscripcion,circunscricion,0.00952380952380949
trascendente,transcendente,0.011111111111111072
decir,dicir,0.18666666666666676
presuncion,presuncion,0.0
hornear,cocer,0.41333333333333333
familia,familia,0.0
detras,detras,0.0
extemporaneo,extemporaneo,0.0
promocion,promocion,0.0
mediocridad,mediocridade,0.012121212121212088
competencia,competencia,0.0
vacio,carente,0.7066666666666668
inusual,rara,0.7
implicitamente,implicitamente,0.0
infraestructura,infraestrutura,0.00952380952380949
base,fundacion,0.75
renunciar,dimitido,0.7416666666666667
increible,incrible,0.016666666666666607
sistematizar,sistematizar,0.0
sufrir,sufrir,0.0
trascender,transcender,0.013333333333333308
referencia,referencia,0.0
convaleciente,convalecente,0.011111111111111072
fase,fase,0.0
sera,sera,0.0
censo,censo,0.0
parcialmente,parcialmente,0.0
limite,limite,0.0
conyuge,conxuxe,0.2666666666666667
dispensable,prescindible,0.4
coexistencia,convivencia,0.24848484848484853
empresa,empresa,0.0
disension,disension,0.0
designacion,designacion,0.0
gloria,gloria,0.0
austero,austero,0.0
amable,manso,0.5333333333333334
alto,alto,0.0
lema,lema,0.0
basico,esencial,0.6111111111111112
dicotomia,dicotomia,0.0
para,para,0.0
contemplar,contemplar,0.0
abundantemente,abundantemente,0.0
discrepancia,discrepancia,0.0
circunciso,circuncidado,0.10666666666666669
bulto,bulto,0.0
intelectual,intelectual,0.0
alegria,animo,0.56
tierra,terra,0.026666666666666727
predisposicion,predisposicion,0.0
empatia,empatia,0.0
abuela,avoa,0.4666666666666667
negro,negro,0.0
antagonismo,antagonismo,0.0
haber,ser,0.3555555555555556
reconocimiento,reconecemento,0.15384615384615385
cortes,cortes,0.0
austeridad,austeridade,0.013333333333333308
sin embargo,con todo,0.5583333333333333
eminencia,eminencia,0.0
no,non,0.06666666666666676
despues,despois,0.24761904761904763
conviccion,conviccion,0.0
estabilidad,estabilidade,0.012121212121212088
consentir,consentimento,0.1333333333333333
exito,exito,0.0
taciturno,taciturno,0.0
imperceptible,imperceptible,0.0
merito,merito,0.0
comun,ordinario,0.5866666666666667
parsimonia,parsimonia,0.0
consistencia,consistencia,0.0
promiscuo,promiscuo,0.0
indeleble,indeleble,0.0
biodiversidad,biodiversidade,0.01025641025641022
idiosincrasia,idiosincrasia,0.0
rotundo,rotundo,0.0
discrecion,discrecion,0.0
epistemologia,epistemoloxia,0.07179487179487176
rechazar,rexeitar,0.41666666666666663
instancia,instancia,0.0
comunion,comunon,0.01904761904761898
elevar,subir,0.6799999999999999
personalidad,personalidade,0.011111111111111072
inhospito,inhospito,0.0
democracia,democracia,0.0
extraordinario,extraordinario,0.0
notorio,notorio,0.0
alguno,algunhas,0.1777777777777777
esteriotipado,estereotipado,0.07179487179487176
notivago,nonivago,0.1166666666666667
