pt,en,es,fr,it,gl,ro
ser,to be,ser,etre,essere,ser,a fi
dizer,to say,decir,dire,dire,dicir,a zice
ter,to have,tener,avoir,avere,ter,a avea
ir,go,ir,aller,andare,vai,merge
estar,be,ser,etre,essere,ser,fi
fazer,to do,hacer,faire,fare,facer,a face
haver,be,haber,etre,essere,ser,fi
poder,power,fuerza,pouvoir,energia,poder,putere
ver,to see,para ver,voir,da vedere,ver,pentru a vedea
dar,to give,dar,donner,dare,dar,a da
saber,to know,saber,savoir,sapere,saber,a sti
vir,come over,venir,venir,venire,ven,vin la tine
querer,to want,querer,vouloir,volere,querer,a vrea
parecer,seem,parecer,sembler,sembrare,parecer,pare
falar,to speak,hablar,parler,parlare,falar,a vorbi
ficar,to stay,quedarse,rester,stare,quedar,a sta
ouvir,to hear,escuchar,entendre,ascoltare,oir,a auzi
achar,to think,pensar,penser,pensare,pensar,a gandi
deixar,to leave,dejar,partir,lasciare,deixar,a pleca
sair,to go out,salir,sortir,uscire,sair,a iesi afara
chegar,to arrive,llegar,arriver,arrivare,chegar,a ajunge
passar,to spend,gastar,depenser,spendere,gastar,a cheltui
pedir,ask,preguntar,demander,chiedere,preguntar,cere
ler,to read,leer,lire,leggere,ler,a citi
acabar,to finish,para terminar,pour finir,finire,rematar,a termina
coisa,thing,cosa,chose,cosa,cousa,lucru
casa,house,casa,maison,casa,casa,casa
tempo,time,tiempo,temps,tempo,tempo,timp
vez,turn,doblar,tourner,giro,quenda,intoarce
olho,eye,ojo,oeil,occhio,ollo,ochi
dia,day,dia,jour,giorno,dia,zi
homem,man,hombre,homme,uomo,home,om
moco,young man,hombre joven,un jeune homme,giovanotto,mozo,tanar
moca,girl,chica,fille,ragazza,rapaza,fata
senhor,sir,senor,monsieur,signore,senor,domnule
senhora,madam,senora,madame,signora,senora,doamna
ano,year,ano,annee,anno,ano,an
mao,hand,mano,main,mano,man,mana
palavra,word,palabra,mot,parola,palabra,cuvant
filho,son,hijo,fils,figlio,fillo,fiul
filha,daughter,hija,fille,figlia,filla,fiica
noite,night,noche,nuit,notte,noite,noapte
carta,letter,carta,lettre,lettera,carta,scrisoare
amigo,friend,amigo,ami,amico,amigo,prieten
bem,good,bien,bien,bene,bo,bun
rua,road,camino,route,strada,estrada,drum
vida,life,vida,vie,vita,vida,viata
hora,hour,hora,heure,ora,hora,ora
coracao,heart,corazon,coeur,cuore,corazon,inima
pai,father,padre,pere,padre,pai,tata
pessoa,person,persona,personne,persona,persoa,persoana
mulher,woman,mujer,femme,donna,muller,femeie
amor,love,amar,amour,amore,amor,dragoste
ideia,idea,idea,idee,idea,idea,idee
maPSe,mother,madre,mere,madre,nai,mama
marido,husband,marido,mari,marito,marido,sotul
espirito,spirit,espiritu,esprit,spirito,espirito,spirit
viuvo,widower,viudo,veuf,vedovo,viuvo,vaduv
viuva,widow,viuda,veuve,vedova,viuva,vaduva
alma,soul,alma,ame,anima,alma,suflet
fim,end,fin,fin,fine,fin,sfarsit
cabeca,head,cabeza,tete,testa,cabeza,cap
nome,name,nombre,nom,nome,nome,nume
porta,door,puerta,porte,porta,porta,usa
pe,foot,pie,pied,piede,pe,picior
razao,reason,razon,raison,motivo,razon,motiv
parte,part,parte,partie,parte,parte,parte
modo,mode,modo,mode,modalita,modo,modul
bom,good,bien,bien,bene,bo,bun
grande,big,grande,grand,grande,grande,mare
melhor,better,mejor,mieux,meglio,mellor,mai bine
proprio,own,propio,propre,proprio,propio,proprii
velho,old,viejo,vieux,vecchio,vello,vechi
certo,right,bien,droite,giusto,certo,dreapta
ultimo,last,ultimo,dernier,scorso,ultimo,ultimul
longo,far away,lejos,loin,lontano,lonxe,departe
novo,new,nuevo,nouveau,nuovo,novo,nou
unico,unique,unico,unique,unico,unico,unic
antigo,old,viejo,vieux,vecchio,vello,vechi
belo,beautiful,hermoso,beau,bellissimo,fermosa,frumoasa
seguinte,following,siguiente,suivant,seguente,seguindo,ca urmare a
preciso,necessary,necesario,necessaire,necessario,necesario,necesar
meio,quite,bastante,assez,abbastanza,bastante,destul de
natural,natural,natural,naturel,naturale,natural,natural
maior,bigger,mas grande,plus gros,piu grande,mais grande,mai mare
triste,sad,triste,triste,triste,triste,trist
bonito,beautiful,hermoso,beau,bellissimo,fermosa,frumoasa
so,just,justo,juste,appena,so,doar
simples,simple,simple,simple,semplice,sinxelo,simplu
mau,bad,malo,mauvais,cattivo,malo,rau
verdadeiro,true,verdadero,vrai,vero,verdadeiro,adevarat
alegre,happy,feliz,heureux,contento,feliz,fericit
politico,politician,politico,politicien,politico,politico,politician
alto,high,alto,haut,alto,alto,inalt
publico,public,publico,publique,pubblico,publico,public
grave,serious,grave,serieux,serio,grave,serios
vivo,alive,vivo,vivant,vivo,vivo,in viata
cheio,full,lleno,complet,pieno,cheo,deplin
feliz,happy,feliz,heureux,contento,feliz,fericit
possivel,possible,posible,possible,possibile,posible,posibil
raro,rare,extrano,rare,raro,raro,rar
claro,of course,por supuesto,bien sur,ovviamente,por suposto,desigur
necessario,necessary,necesario,necessaire,necessario,necesario,necesar
pequeno,small,pequeno,petit,piccolo,pequena,mic
igual,equal,igual,egal,pari,iguais,egal
fino,thin,delgado,mince,magro,delgado,subtire
impossivel,impossible,imposible,impossible,impossibile,imposible,imposibil
pobre,poor,pobre,pauvre,povero,pobre,sarac
