pt,it,Alignment Score
paz,pace,0.33333333333333337
nao,no,0.06666666666666676
fel,fiele,0.08888888888888902
ceu,cielo,0.37777777777777777
ser,essere,0.11111111111111116
vil,vile,0.04444444444444451
sob,sotto,0.3555555555555555
mal,cattivo,0.7111111111111111
ver,da vedere,0.20000000000000007
mae,madre,0.06666666666666665
ter,avere,0.37777777777777777
ego,ego,0.0
bem,bene,0.33333333333333337
mas,ma,0.06666666666666676
dom,sole,0.6444444444444445
bom,bene,0.6000000000000001
vir,venire,0.11111111111111116
vao,andare,0.6666666666666667
sao,sono,0.33333333333333337
dar,dare,0.04444444444444451
ora,ora,0.0
que,che cosa,0.7111111111111111
era,era,0.0
elo,collegamento,0.5333333333333334
luz,leggero,0.6666666666666667
nos,noi,0.3111111111111111
reu,imputato,0.7111111111111111
com,con,0.3111111111111111
seu,tuo,0.6000000000000001
tal,come,0.8666666666666667
foi,e stato,0.6888888888888889
rol,ruolo,0.08888888888888902
mim,me,0.5
uma,uno,0.5777777777777777
lua,luna,0.04444444444444451
ate,fino a,0.6444444444444444
hum,hmm,0.3111111111111112
por,per,0.3111111111111112
vis,vis,0.0
fim,fine,0.33333333333333337
pos,inviare,0.9333333333333333
dor,dolore,0.11111111111111116
ato,atto,0.04444444444444451
sol,sole,0.04444444444444451
sem,senza,0.3555555555555556
pai,padre,0.3555555555555556
vez,giro,0.8666666666666667
dia,giorno,0.6888888888888889
dou,io do,0.3555555555555555
ira,volere,0.6888888888888889
pro,pro,0.0
eis,ecco,0.6000000000000001
rua,strada,0.3999999999999999
tez,carnagione,0.7555555555555555
ler,leggere,0.1333333333333333
ode,ode,0.0
tao,cosi,0.6222222222222222
nem,ne,0.06666666666666676
fiz,l'ho fatto,0.7555555555555555
ajo,atto,0.33333333333333337
voz,voce,0.33333333333333337
gay,gay,0.0
meu,mio,0.5777777777777777
lei,legge,0.3555555555555555
voo,volo,0.04444444444444451
mau,cattivo,0.7111111111111111
mao,mano,0.04444444444444451
num,nessuno,0.42222222222222217
des,dare,0.33333333333333337
afa,attivita febbrile,0.6444444444444444
por,paio,0.33333333333333337
for,per,0.5777777777777777
rio,fiume,0.6666666666666667
dai,quindi,0.37777777777777777
ola,ciao,0.6000000000000001
cia,cia,0.0
jus,giusto,0.3999999999999999
lar,casa,0.6222222222222222
sua,tuo,0.6222222222222222
fez,egli fece,0.4666666666666667
ira,volere,0.6888888888888889
via,attraverso,0.7333333333333334
som,suono,0.3555555555555555
nau,nave,0.33333333333333337
sim,si,0.06666666666666676
amo,io amo,0.08888888888888902
rei,re,0.06666666666666676
tem,lui ha,0.9111111111111111
boa,bene,0.6000000000000001
mas,ma,0.06666666666666676
uso,utilizzo,0.42222222222222217
mes,mese,0.04444444444444451
ido,andato,0.4
jaz,bugie,0.8888888888888888
asa,ala,0.3111111111111112
uns,alcuni,0.3999999999999999
lhe,lui,0.5777777777777777
eco,eco,0.0
pal,amico,0.6444444444444445
cla,clan,0.04444444444444451
