es,it,Alignment Score
paz,pace,0.33333333333333337
no,no,0.0
hiel,fiele,0.2666666666666667
cielo,cielo,0.0
ser,essere,0.11111111111111116
vil,vile,0.04444444444444451
bajo,sotto,0.6499999999999999
malo,cattivo,0.5166666666666666
para ver,da vedere,0.3416666666666667
madre,madre,0.0
tener,avere,0.52
ego,ego,0.0
bien,bene,0.2333333333333334
pero,ma,0.9333333333333333
sol,sole,0.04444444444444451
bien,bene,0.2333333333333334
venir,venire,0.026666666666666727
ir,andare,0.6333333333333333
ellos son,sono,0.31666666666666676
dar,dare,0.04444444444444451
ahora,ora,0.06666666666666665
que,che cosa,0.7111111111111111
fue,era,0.5777777777777777
enlace,collegamento,0.5333333333333334
luz,leggero,0.6666666666666667
a nosotros,noi,0.48888888888888893
acusado,imputato,0.5238095238095238
con,con,0.0
su,tuo,0.5333333333333334
semejante,come,0.5333333333333334
el era,e stato,0.4555555555555556
role,ruolo,0.2666666666666667
a mi,me,0.5666666666666667
uno,uno,0.0
luna,luna,0.0
hasta,fino a,0.6799999999999999
mmm,hmm,0.3111111111111112
por,per,0.3111111111111112
vis,vis,0.0
fin,fine,0.04444444444444451
correo,inviare,0.5777777777777777
dolor,dolore,0.026666666666666727
acto,atto,0.2333333333333334
sol,sole,0.04444444444444451
sin,senza,0.37777777777777777
padre,padre,0.0
doblar,giro,0.6833333333333333
dia,giorno,0.6888888888888889
doy,io do,0.3555555555555555
voluntad,volere,0.44444444444444453
pro,pro,0.0
mirad,ecco,0.85
camino,strada,0.7
tez,carnagione,0.7555555555555555
leer,leggere,0.08333333333333337
oda,ode,0.3111111111111111
entonces,cosi,0.5333333333333334
ni,ne,0.4666666666666667
hice,l'ho fatto,0.75
acto,atto,0.2333333333333334
voz,voce,0.33333333333333337
homosexuales,gay,0.8222222222222223
mi,mio,0.06666666666666676
ley,legge,0.3555555555555555
vuelo,volo,0.25
malo,cattivo,0.5166666666666666
mano,mano,0.0
en uno,nessuno,0.3111111111111111
dar,dare,0.04444444444444451
ajetreo,attivita febbrile,0.47619047619047616
par,paio,0.33333333333333337
para,per,0.3555555555555556
rio,fiume,0.6666666666666667
por eso,quindi,0.8333333333333334
hola,ciao,0.6499999999999999
cia,cia,0.0
jus,giusto,0.3999999999999999
hogar,casa,0.6666666666666667
su,tuo,0.5333333333333334
el hizo,egli fece,0.5142857142857143
voluntad,volere,0.44444444444444453
a traves de,attraverso,0.2799999999999999
sonido,suono,0.19999999999999996
barco,nave,0.6833333333333333
si,si,0.0
amo,io amo,0.08888888888888902
rey,re,0.06666666666666676
el tiene,lui ha,0.6
bien,bene,0.2333333333333334
pero,ma,0.9333333333333333
usar,utilizzo,0.7
mes,mese,0.04444444444444451
desaparecido,andato,0.5111111111111111
mentiras,bugie,0.72
ala,ala,0.0
alguno,alcuni,0.3111111111111112
a el,lui,0.6000000000000001
eco,eco,0.0
camarada,amico,0.56
clan,clan,0.0
amar,amore,0.2666666666666666
hecho,fatto,0.6666666666666667
mito,mito,0.0
inclinacion,pregiudizio,0.5454545454545454
tu,voi,0.9
como,come,0.2333333333333334
caos,caos,0.0
al azar,a casaccio,0.4285714285714287
estilo,brio,0.4833333333333334
ver,vedere,0.11111111111111116
accion,azione,0.30000000000000004
sed,sete,0.33333333333333337
despues,dopo,0.5166666666666666
entonces,poi,0.7333333333333334
vida,vita,0.2333333333333334
casa,casa,0.0
cima,picco,0.6666666666666667
saga,saga,0.0
miedo,paura,0.8266666666666667
ano,ano,0.0
desierto,natura selvaggia,0.7083333333333333
suma,somma,0.25
abuela,nonna,0.6799999999999999
lema,motto,0.6666666666666667
mas alla de,al di la,0.45000000000000007
tonto,scemo,0.6666666666666667
destino,destino,0.0
idem,idem,0.0
urgente,urgente,0.0
creer,credere,0.053333333333333344
para el,per il,0.33333333333333337
adaptar,adatto,0.3111111111111112
celo,zelo,0.2333333333333334
el vino,lui venne,0.4190476190476191
pude,potrei,0.4833333333333334
todo,tutto,0.45000000000000007
mas,di piu,0.9111111111111111
malo,cattivo,0.5166666666666666
area,la zona,0.5
amar,amore,0.2666666666666666
brusco,maleducato,0.48888888888888893
aburrido,zoppo,0.7066666666666668
cuota,quota,0.18666666666666676
para,per,0.3555555555555556
sonido,suono,0.19999999999999996
tierra,terra,0.026666666666666727
sera,sara,0.2333333333333334
fase,fase,0.0
ser,essendo,0.4222222222222223
ser,se stesso,0.44444444444444453
detras,dietro,0.30000000000000016
dulce,dolce,0.18666666666666676
moda,voga,0.4666666666666667
pronto,presto,0.28888888888888886
donde,dove,0.25
escarcha,brina,0.5733333333333334
dios,dio,0.04444444444444451
