en,it,Alignment Score
peace,pace,0.033333333333333326
no,no,0.0
gall,fiele,0.6666666666666667
sky,cielo,0.8888888888888888
to be,essere,0.6799999999999999
vile,vile,0.0
under,sotto,0.8266666666666667
bad,cattivo,0.7111111111111111
to see,da vedere,0.48888888888888893
mother,madre,0.5333333333333333
to have,avere,0.3733333333333333
ego,ego,0.0
good,bene,0.8333333333333334
but,ma,0.9
sun,sole,0.6000000000000001
good,bene,0.8333333333333334
come over,venire,0.4666666666666667
go,andare,1.0
they are,sono,0.9
to give,dare,0.6833333333333333
now,ora,0.6000000000000001
what,che cosa,0.5333333333333334
it was,era,0.6666666666666667
link,collegamento,0.6166666666666667
light,leggero,0.56
us,noi,0.9
defendant,imputato,0.6416666666666666
with,con,0.8666666666666667
your,tuo,0.6222222222222222
such,come,0.6499999999999999
he was,e stato,0.4444444444444444
role,ruolo,0.2666666666666667
me,me,0.0
one,uno,0.5777777777777777
moon,luna,0.6499999999999999
until,fino a,0.7066666666666668
hmm,hmm,0.0
per,per,0.0
vis,vis,0.0
end,fine,0.6000000000000001
post,inviare,0.8833333333333334
pain,dolore,0.8666666666666667
act,atto,0.33333333333333337
sun,sole,0.6000000000000001
without,senza,0.8533333333333334
father,padre,0.56
turn,giro,0.6666666666666667
day,giorno,0.9111111111111111
i give,io do,0.5333333333333334
will,volere,0.6833333333333333
pro,pro,0.0
behold,ecco,0.5
road,strada,0.2833333333333333
complexion,carnagione,0.5
to read,leggere,0.6
ode,ode,0.0
so,cosi,0.5666666666666667
nor,ne,0.5
i did,l'ho fatto,0.76
act,atto,0.33333333333333337
voice,voce,0.033333333333333326
gay,gay,0.0
my,mio,0.5
law,legge,0.6222222222222222
flight,volo,0.7
bad,cattivo,0.7111111111111111
hand,mano,0.4666666666666667
on one,nessuno,0.5666666666666667
give,dare,0.6333333333333333
hustle,attivita febbrile,0.5555555555555556
pair,paio,0.2333333333333334
for,per,0.5777777777777777
river,fiume,0.5466666666666666
hence,quindi,0.7066666666666668
hello,ciao,0.6499999999999999
cia,cia,0.0
jus,giusto,0.3999999999999999
home,casa,0.8333333333333334
your,tuo,0.6222222222222222
he did,egli fece,0.6111111111111112
will,volere,0.6833333333333333
via,attraverso,0.7333333333333334
sound,suono,0.3733333333333334
ship,nave,0.8333333333333334
yes,si,0.5
i love,io amo,0.4444444444444444
king,re,0.9333333333333333
he has,lui ha,0.43333333333333335
good,bene,0.8333333333333334
but,ma,0.9
use,utilizzo,0.6888888888888889
month,mese,0.6499999999999999
gone,andato,0.6833333333333333
lies,bugie,0.4666666666666667
wing,ala,0.8666666666666667
some,alcuni,0.8666666666666667
him,lui,0.6000000000000001
echo,eco,0.04444444444444451
pal,amico,0.6444444444444445
clan,clan,0.0
love,amore,0.4833333333333334
fact,fatto,0.25
myth,mito,0.4666666666666667
bias,pregiudizio,0.7833333333333333
you,voi,0.6222222222222222
as,come,0.9333333333333333
chaos,caos,0.033333333333333326
haphazardly,a casaccio,0.6133333333333333
panache,brio,0.8833333333333334
see,vedere,0.3999999999999999
action,azione,0.30000000000000004
thirst,sete,0.4833333333333334
after,dopo,0.85
then,poi,0.8666666666666667
life,vita,0.6666666666666667
house,casa,0.6833333333333333
peak,picco,0.6499999999999999
saga,saga,0.0
fear,paura,0.4833333333333334
anus,ano,0.33333333333333337
wilderness,natura selvaggia,0.7066666666666667
sum,somma,0.37777777777777777
grandma,nonna,0.5466666666666666
motto,motto,0.0
beyond,al di la,0.7222222222222222
fool,scemo,0.6666666666666667
fate,destino,0.7
idem,idem,0.0
urgent,urgente,0.022222222222222143
believe,credere,0.5142857142857143
for the,per il,0.5888888888888889
fit,adatto,0.6666666666666667
zeal,zelo,0.2333333333333334
he came,lui venne,0.6285714285714286
i could,potrei,0.7
all,tutto,0.8888888888888888
more,di piu,0.8666666666666667
bad,cattivo,0.7111111111111111
area,la zona,0.5
love,amore,0.4833333333333334
rude,maleducato,0.75
lame,zoppo,0.85
quota,quota,0.0
for,per,0.5777777777777777
sound,suono,0.3733333333333334
land,terra,0.6666666666666667
it will be,sara,0.9333333333333333
phase,fase,0.25
being,essendo,0.5733333333333334
self,se stesso,0.5166666666666668
behind,dietro,0.6888888888888889
sweet,dolce,0.6799999999999999
vogue,voga,0.25
soon,presto,0.4833333333333334
where,dove,0.6499999999999999
rime,brina,0.4666666666666667
god,dio,0.5777777777777777
for the,per il,0.5888888888888889
before,prima,0.7066666666666668
early,presto,0.6933333333333334
yoke,giogo,0.6666666666666667
quite,abbastanza,0.76
art,arte,0.04444444444444451
soul,anima,0.85
goal,obiettivo,0.7333333333333334
whose,di chi,0.7066666666666668
saddle,sella,0.52
brings,porta,0.7066666666666668
in,in,0.0
cell,cellula,0.06666666666666676
content,contenuto,0.03809523809523818
been,stato,0.85
noia,noia,0.0
face,viso,0.8333333333333334
disgust,disgusto,0.01904761904761898
disgust,disgusto,0.01904761904761898
target,bersaglio,0.6222222222222222
focus,messa a fuoco,0.48
that,quello,0.8666666666666667
pose,posa,0.2333333333333334
to go out,uscire,0.7333333333333334
base,base,0.0
ok,ok,0.0
hate,odio,0.8333333333333334
act,atto,0.33333333333333337
he had,lui aveva,0.6222222222222222
high,alto,0.8333333333333334
all,tutto,0.8888888888888888
leisure,tempo libero,0.5523809523809524
rite,rito,0.2333333333333334
jeez,cavolo,0.8666666666666667
will,volere,0.6833333333333333
new,nuovo,0.6222222222222222
agile,agile,0.0
dawn,alba,0.6500000000000001
thesis,tesi,0.06666666666666676
high,alto,0.8333333333333334
bulge,rigonfiamento,0.64
nexus,nesso,0.34666666666666657
shore,costa,0.6799999999999999
sagacious,sagace,0.18888888888888877
core,nucleo,0.4833333333333334
black,nero,0.85
term,termine,0.06666666666666676
success,successo,0.01904761904761898
to mix,mescolare,0.7333333333333334
noble,nobile,0.026666666666666727
sense,senso,0.18666666666666676
affection,affetto,0.17142857142857149
executioner,boia,0.7833333333333333
ethics,etica,0.21333333333333337
full,pieno,0.85
mutual,reciproco,0.8555555555555556
tenuous,tenue,0.21333333333333337
to do,fare,0.85
like this,come questo,0.5851851851851853
subtle,impercettibile,0.5222222222222223
force,forza,0.3466666666666668
here,qui,0.8666666666666667
however,tuttavia,0.7333333333333334
section,sezione,0.2571428571428571
were,erano,0.4666666666666667
heal,guarire,0.7
power,energia,0.5466666666666666
daring,audace,0.5666666666666667
idea,idea,0.0
core,nucleo,0.4833333333333334
innate,innato,0.15555555555555556
moral,morale,0.026666666666666727
about,di,0.9666666666666667
since,da,0.9666666666666667
very,molto,0.85
fair,giusto,0.7
honor,onore,0.18666666666666676
