pt,it,Alignment Score
avido,vivere,0.5333333333333334
dadiva,regalo,0.7
bom,bene,0.6000000000000001
relativizar,relativizzare,0.024242424242424176
pressa,fretta,0.4444444444444444
paradigma,paradigma,0.0
contraditorio,contraddittorio,0.02051282051282044
privilegio,privilegio,0.0
sanar,guarire,0.5466666666666666
pose,posa,0.2333333333333334
cla,clan,0.04444444444444451
conceito,concetto,0.1166666666666667
era,era,0.0
outrem,qualcun altro,0.5333333333333333
fraternidade,fraternita,0.11333333333333329
intercorrencia,intercorrenza,0.07692307692307687
concepcao,progetto,0.5583333333333333
ininterrupto,ininterrotto,0.14444444444444438
aferir,valutare,0.5888888888888889
cinismo,cinismo,0.0
comportamento,comportamento,0.0
vigor,forza,0.52
termo,termine,0.21333333333333337
remanejamento,trasferimento,0.3384615384615385
jaz,bugie,0.8888888888888888
supracitado,suddetto,0.44166666666666676
des,dare,0.33333333333333337
resplandecente,splendente,0.1333333333333333
digno,degno,0.18666666666666676
plausivel,plausibile,0.20740740740740748
amo,io amo,0.08888888888888902
morbido,morboso,0.24761904761904763
relevancia,pertinenza,0.5133333333333334
logo,presto,0.6666666666666667
cia,cia,0.0
autenticidade,autenticita,0.10303030303030292
refletir,riflettere,0.2583333333333334
anatema,anatema,0.0
presuncoso,presuntuoso,0.09999999999999998
ocio,tempo libero,0.4
prole,prole,0.0
sonho,sogno,0.18666666666666676
vigente,attuale,0.6
licenciosidade,licenziosita,0.17222222222222205
demagogo,demagogo,0.0
saga,saga,0.0
descricao,descrizione,0.21481481481481468
peculiaridade,peculiarita,0.10303030303030292
compassivo,compassionevole,0.04666666666666652
misogino,misogino,0.0
demasiado,pure,0.7333333333333334
inferencia,inferenza,0.11111111111111116
simplicidade,semplicita,0.20666666666666678
reivindicar,reclamo,0.4190476190476191
sina,destino,0.31666666666666676
auge,picco,0.85
erudito,erudito,0.0
fleumatico,flemmatico,0.09333333333333338
procedimento,procedura,0.3037037037037036
nem,ne,0.06666666666666676
impressao,stampa,0.47777777777777775
circunspecto,circospetto,0.17575757575757578
companhia,azienda,0.5142857142857143
desenvolver,sviluppare,0.5333333333333333
determinacao,determinazione,0.16111111111111098
como,come,0.2333333333333334
diligente,diligente,0.0
ludico,giocoso,0.4555555555555555
dever,dovere,0.21333333333333337
resolucao,risoluzione,0.31851851851851853
vez,giro,0.8666666666666667
labaro,labaro,0.0
constancia,costanza,0.1416666666666666
tese,tesi,0.2333333333333334
mito,mito,0.0
ser,essere,0.11111111111111116
incidente,incidente,0.0
caracterizar,caratterizzare,0.09999999999999987
rua,strada,0.3999999999999999
genro,genere,0.21333333333333337
irresponsavel,responsabile,0.22777777777777763
imputar,imputare,0.01904761904761898
epistemologico,epistemologico,0.0
felicidade,felicita,0.1416666666666666
incumbencia,compito,0.5619047619047619
excelente,grande,0.6111111111111112
nescio,non(c)membro,0.5
astuto,astuzia,0.30000000000000016
elucubracao,elucubrazione,0.17575757575757567
escopo,scopo,0.026666666666666727
auto,se stesso,0.5333333333333334
alem,al di la,0.5
inconsequente,irrilevante,0.4666666666666667
contexto,contesto,0.1166666666666667
humildade,umilta,0.21111111111111114
imparcial,imparziale,0.11851851851851858
pro,pro,0.0
hipocrisia,ipocrisia,0.014814814814814725
significado,senso,0.45333333333333337
embora,sebbene,0.5888888888888889
desprendimento,distacco,0.4833333333333334
cota,quota,0.25
racismo,razzismo,0.1428571428571429
autonomia,autonomia,0.0
asseio,pulizia,0.7
indispensavel,indispensabile,0.1435897435897434
remanescente,residuo,0.5333333333333334
anseio,desiderio,0.34444444444444444
dar,dare,0.04444444444444451
sintetico,sintetico,0.0
ate,fino a,0.6444444444444444
proeminente,prominente,0.013333333333333308
anuencia,consenso,0.55
concernente,riguardante,0.5272727272727273
implementacao,implementazione,0.14871794871794863
prolixo,prolisso,0.1428571428571429
consonancia,consonanza,0.09999999999999998
apologia,scuse,0.8666666666666667
primordial,primordiale,0.013333333333333308
