en,ro,Alignment Score
fit,potrivi,0.6888888888888889
except,cu exceptia,0.07777777777777772
expression,expresie,0.1416666666666666
alien,strain,0.3733333333333333
solidarity,solidaritate,0.10666666666666658
diffusion,difuziune,0.3111111111111112
mainly,in principal,0.5
complacency,complezenta,0.31515151515151507
despot,despot,0.0
membership,calitatea de membru,0.4866666666666667
persevering,perseverent,0.16969696969696968
goal,poarta,0.5
your,ta,0.9333333333333333
eminent,eminent,0.0
agile,agil,0.033333333333333326
alterity,alteritate,0.1333333333333333
cell,celula,0.06666666666666676
to establish,a stabili,0.23703703703703694
face,fata,0.43333333333333335
premise,premisa,0.13333333333333341
procrastinate,amana,0.48
beneplacito,beneplacito,0.0
intense,intens,0.022222222222222143
hence,prin urmare,0.6133333333333333
opportunity,oportunitate,0.16969696969696957
problem,problema,0.01904761904761898
perhaps,poate,0.5333333333333333
to do,a face,0.7066666666666668
controversy,controversa,0.08484848484848473
zeal,zel,0.04444444444444451
iniquity,nelegiuirea,0.4666666666666668
dissemination,diseminare,0.19999999999999996
he had,el a avut,0.48888888888888893
pain,durere,0.8666666666666667
panache,pompon,0.5777777777777777
detailed,detaliat,0.32499999999999984
amalgam,amalgam,0.0
supervening,supravenind,0.16969696969696968
literally,literalmente,0.21481481481481468
potentiality,potentialitate,0.0888888888888888
volatile,volatil,0.01904761904761898
ambition,ambitie,0.1428571428571429
light,usoara,0.8400000000000001
gorgeous,superba,0.7142857142857143
otherwise,in caz contrar,0.6074074074074074
passerby,trecator,0.6333333333333333
generosity,generozitate,0.19999999999999996
excuse,scuza,0.5466666666666666
superficial,superficial,0.0
indiscriminate,nediscriminatoriu,0.14761904761904754
woman,femeie,0.7066666666666668
through,prin,0.7166666666666668
obstacle,obstacol,0.1166666666666667
magnificence,maretie,0.4190476190476191
consolidation,consolidare,0.16969696969696957
scum,gunoi,0.6833333333333333
factual,faptice,0.48571428571428577
incidence,incidenta,0.19259259259259254
target,tinta,0.52
they are,sunt,0.7
ambitious,ambitios,0.016666666666666607
resilience,rezistenta,0.43333333333333335
tasteless,lipsit de gust,0.5333333333333333
gay,gay,0.0
sieve,sita,0.45000000000000007
ancestry,origine,0.6190476190476191
yet,inca,0.8666666666666667
honesty,onestitate,0.2857142857142856
assignment,misiune,0.4285714285714286
providence,providenta,0.17333333333333334
peremptory,peremptorie,0.09999999999999987
ambiguity,ambiguitate,0.11851851851851847
inconvenient,incomod,0.4095238095238096
resolution,rezolutie,0.2148148148148148
support,a sustine,0.5142857142857143
convenient,convenabil,0.2599999999999999
contradiction,contradictie,0.08333333333333337
frivolous,frivol,0.04444444444444429
remote,la distanta,0.7666666666666667
procrastination,procrastinare,0.1435897435897434
mercy,mila,0.6499999999999999
accent,accent,0.0
story,poveste,0.5466666666666666
hello,buna ziua,0.88
imprescriptible,imprescriptibil,0.06222222222222218
speculation,speculatie,0.09999999999999987
inherent,inerent,0.01904761904761898
pernicious,pernicios,0.014814814814814725
essential,esential,0.016666666666666607
life,viata,0.6833333333333333
apathetic,apatic,0.04444444444444451
reciprocal,reciproc,0.025000000000000022
scruple,scrupul,0.13333333333333341
but,dar,0.8444444444444444
spontaneity,spontaneitate,0.09696969696969682
profane,profan,0.022222222222222143
negligence,neglijenta,0.2666666666666667
discriminate,deosebi,0.5428571428571429
redundancy,redundanta,0.17333333333333334
ego,ego-ul,0.08888888888888902
when,cand,0.6499999999999999
unknowable,de necunoscut,0.6066666666666667
perfidy,perfidie,0.1428571428571429
act,act,0.0
brings,aduce,0.8400000000000001
infer,deduce,0.6933333333333334
eligible,eligibil,0.1166666666666667
pariah,paria,0.026666666666666727
correlate,corela,0.05555555555555558
recess,pauza,0.8400000000000001
hindrance,impiedicare,0.49629629629629635
spite,ciuda,0.6933333333333334
insurmountable,de netrecut,0.5757575757575758
obstinate,incapatanat,0.4814814814814815
irascible,irascibil,0.10370370370370374
inseparable,de nedespartit,0.49090909090909096
to make available,a pune la dispozitie,0.5529411764705883
constitution,constitutie,0.09090909090909083
conscience,constiinta,0.3533333333333334
