pt,en,Alignment Score
paz,peace,0.37777777777777777
nao,no,0.06666666666666676
fel,gall,0.6000000000000001
ceu,sky,0.8444444444444444
ser,to be,0.6444444444444445
vil,vile,0.04444444444444451
sob,under,0.8888888888888888
mal,bad,0.6222222222222222
ver,to see,0.6666666666666667
mae,mother,0.3999999999999999
ter,to have,0.3999999999999999
ego,ego,0.0
bem,good,0.8666666666666667
mas,but,0.8444444444444444
dom,sun,0.8444444444444444
bom,good,0.6444444444444445
vir,come over,0.4666666666666667
vao,go,0.5
sao,they are,0.7333333333333334
dar,to give,0.9333333333333333
ora,now,0.6000000000000001
que,what,0.8666666666666667
era,it was,0.6666666666666667
elo,link,0.6222222222222222
luz,light,0.6222222222222222
nos,us,0.5
reu,defendant,0.7555555555555555
com,with,0.8666666666666667
seu,your,0.6222222222222222
tal,such,0.8666666666666667
foi,he was,0.9111111111111111
rol,role,0.04444444444444451
mim,me,0.5
uma,one,0.8444444444444444
lua,moon,0.8666666666666667
ate,until,0.6666666666666667
hum,hmm,0.3111111111111112
por,per,0.3111111111111112
vis,vis,0.0
fim,end,0.8444444444444444
pos,post,0.04444444444444451
dor,pain,0.8666666666666667
ato,act,0.3111111111111112
sol,sun,0.5777777777777777
sem,without,0.9333333333333333
pai,father,0.6888888888888889
vez,turn,0.8666666666666667
dia,day,0.3111111111111112
dou,i give,0.9111111111111111
ira,will,0.6222222222222222
pro,pro,0.0
eis,behold,0.6666666666666667
rua,road,0.3555555555555556
tez,complexion,0.7777777777777778
ler,to read,0.6888888888888889
ode,ode,0.0
tao,so,0.5
nem,nor,0.5777777777777777
fiz,i did,0.6444444444444445
ajo,act,0.5777777777777777
voz,voice,0.3555555555555556
gay,gay,0.0
meu,my,0.5
lei,law,0.5777777777777777
voo,flight,0.9111111111111111
mau,bad,0.6222222222222222
mao,hand,0.6444444444444445
num,on one,0.6666666666666667
des,give,0.6222222222222222
afa,hustle,0.9111111111111111
por,pair,0.33333333333333337
for,for,0.0
rio,river,0.3555555555555556
dai,hence,0.8888888888888888
ola,hello,0.6222222222222222
cia,cia,0.0
jus,jus,0.0
lar,home,0.8666666666666667
sua,your,0.6444444444444445
fez,he did,0.6888888888888889
ira,will,0.6222222222222222
via,via,0.0
som,sound,0.3555555555555556
nau,ship,0.8666666666666667
sim,yes,0.5777777777777777
amo,i love,0.6666666666666667
rei,king,0.6222222222222222
tem,he has,0.6888888888888889
boa,good,0.6444444444444445
mas,but,0.8444444444444444
uso,use,0.3111111111111111
mes,month,0.6222222222222222
ido,gone,0.6222222222222222
jaz,lies,0.8666666666666667
asa,wing,0.8666666666666667
uns,some,0.6000000000000001
lhe,him,0.6000000000000001
eco,echo,0.04444444444444451
pal,pal,0.0
cla,clan,0.04444444444444451
amor,love,0.6666666666666667
fato,fact,0.2333333333333334
mito,myth,0.4666666666666667
vies,bias,0.4666666666666667
voce,you,0.6444444444444445
como,as,0.9333333333333333
caos,chaos,0.033333333333333326
esmo,haphazardly,0.9500000000000001
brio,panache,0.8833333333333334
vide,see,0.6000000000000001
acao,action,0.2833333333333333
sede,thirst,0.6833333333333333
apos,after,0.6499999999999999
pois,then,0.8333333333333334
vida,life,0.6666666666666667
casa,house,0.6833333333333333
auge,peak,0.6499999999999999
saga,saga,0.0
medo,fear,0.6666666666666667
onus,anus,0.2333333333333334
ermo,wilderness,0.55
suma,sum,0.04444444444444451
vovo,grandma,0.8833333333333334
mote,motto,0.25
alem,beyond,0.7
tolo,fool,0.45000000000000007
sina,fate,0.6500000000000001
idem,idem,0.0
urge,urgent,0.050000000000000155
crer,believe,0.7
pela,for the,0.7
apto,fit,0.6222222222222222
zelo,zeal,0.2333333333333334
veio,he came,0.7
pude,i could,0.5166666666666666
tudo,all,0.8666666666666667
mais,more,0.6333333333333333
ruim,bad,0.8666666666666667
area,area,0.0
amar,love,0.8333333333333334
rude,rude,0.0
coxo,lame,0.8333333333333334
cota,quota,0.25
para,for,0.6222222222222222
soar,sound,0.45000000000000007
ater,land,0.6500000000000001
sera,it will be,0.75
fase,phase,0.25
ente,being,0.4833333333333334
auto,self,0.8333333333333334
tras,behind,0.8666666666666667
doce,sweet,0.6666666666666667
voga,vogue,0.25
logo,soon,0.4666666666666667
onde,where,0.6499999999999999
rima,rime,0.2333333333333334
deus,god,0.6000000000000001
pelo,for the,0.7
ante,before,0.6666666666666667
cedo,early,0.6666666666666667
jugo,yoke,0.6500000000000001
meio,quite,0.6666666666666667
arte,art,0.04444444444444451
alma,soul,0.6500000000000001
meta,goal,0.6499999999999999
cujo,whose,0.6666666666666667
sela,saddle,0.4666666666666667
traz,brings,0.7
numa,in,0.5333333333333334
cela,cell,0.2333333333333334
teor,content,0.5
sido,been,0.8333333333333334
noia,noia,0.0
face,face,0.0
asco,disgust,0.7166666666666668
nojo,disgust,0.8833333333333334
alvo,target,0.6833333333333333
foco,focus,0.25
isso,that,0.8333333333333334
pose,pose,0.0
sair,to go out,0.9166666666666667
base,base,0.0
vale,ok,0.9333333333333333
odio,hate,0.8333333333333334
agir,act,0.6000000000000001
teve,he had,0.6833333333333333
alto,high,0.8333333333333334
todo,all,0.8666666666666667
ocio,leisure,0.7166666666666668
rito,rite,0.2333333333333334
eita,jeez,0.6499999999999999
irao,will,0.6500000000000001
novo,new,0.6000000000000001
agil,agile,0.033333333333333326
alva,dawn,0.6500000000000001
tese,thesis,0.2833333333333333
alta,high,0.8333333333333334
bojo,bulge,0.6499999999999999
nexo,nexus,0.25
orla,shore,0.4666666666666667
sagaz,sagacious,0.2400000000000001
amago,core,0.6666666666666667
negro,black,0.8266666666666667
termo,term,0.033333333333333326
exito,success,0.7066666666666668
mexer,to mix,0.5466666666666666
nobre,noble,0.18666666666666676
senso,sense,0.18666666666666676
afeto,affection,0.1066666666666668
algoz,executioner,0.7733333333333334
etica,ethics,0.21333333333333337
plena,full,0.6666666666666667
mutua,mutual,0.026666666666666727
tenue,tenuous,0.21333333333333337
fazer,to do,0.8266666666666667
assim,like this,0.7333333333333334
sutil,subtle,0.21333333333333337
vigor,force,0.52
aquem,here,0.6666666666666667
porem,however,0.56
secao,section,0.2266666666666668
fosse,were,0.6499999999999999
sanar,heal,0.6833333333333333
poder,power,0.18666666666666676
audaz,daring,0.5333333333333333
ideia,idea,0.033333333333333326
cerne,core,0.2666666666666666
inato,innate,0.21333333333333337
moral,moral,0.0
sobre,about,0.6933333333333334
desde,since,0.52
muito,very,0.85
justo,fair,0.85
honra,honor,0.18666666666666676
quica,perhaps,0.7066666666666668
torpe,clumsy,0.8400000000000001
sonho,dream,0.8266666666666667
razao,reason,0.3866666666666667
futil,futile,0.026666666666666727
etnia,ethnicity,0.2533333333333334
icone,icon,0.033333333333333326
anexo,attachment,0.5866666666666667
amigo,friend,0.7066666666666668
egide,aegis,0.3600000000000001
tange,tange,0.0
lapso,lapse,0.18666666666666676
haver,be,0.6000000000000001
expor,expose,0.19999999999999996
mutuo,mutual,0.19999999999999996
dengo,dengo,0.0
tempo,time,0.45000000000000007
casal,couple,0.5333333333333333
entao,then,0.45000000000000007
habil,skillful,0.56
seara,harvest,0.56
bocal,bocal,0.0
ardil,ruse,0.6666666666666667
avido,live,0.6833333333333333
pesar,to weight,0.7466666666666667
saber,to know,0.8533333333333334
causa,cause,0.18666666666666676
graca,grace,0.18666666666666676
dizer,to say,0.8400000000000001
genro,genre,0.18666666666666676
obice,obstacle,0.2400000000000001
posse,possession,0.07999999999999985
coser,sew,0.37777777777777777
paria,pariah,0.026666666666666727
dever,duty,0.6499999999999999
brado,shout,0.6799999999999999
tenaz,tenacious,0.2400000000000001
prole,offspring,0.5733333333333334
crivo,sieve,0.5466666666666666
sendo,being,0.5466666666666666
corja,owl,0.6444444444444445
comum,common,0.19999999999999996
temor,fear,0.4833333333333334
detem,holds,0.6799999999999999
ainda,yet,0.8888888888888888
animo,cheer,0.8266666666666667
apice,apex,0.25
ansia,eagerness,0.42666666666666664
ceder,give way,0.7333333333333334
estar,be,0.5666666666666667
digno,worthy,0.6933333333333334
pauta,schedule,0.7333333333333334
assaz,pretty,0.8400000000000001
xibiu,xibiu,0.0
culto,cult,0.033333333333333326
mundo,world,0.6799999999999999
atroz,atrocious,0.2400000000000001
fugaz,fleeting,0.56
censo,census,0.19999999999999996
gleba,land,0.4666666666666667
forte,strong,0.7066666666666668
vicio,addiction,0.2666666666666667
vulgo,aka,0.8888888888888888
cozer,bake,0.6666666666666667
valha,worth,0.6799999999999999
denso,dense,0.18666666666666676
exceto,except,0.15555555555555556
cinico,cynical,0.3222222222222223
idoneo,suitable,0.6000000000000001
ambito,scope,0.6933333333333334
nescio,not(c)member,0.6222222222222222
indole,nature,0.5666666666666667
mister,mister,0.0
vereda,path,0.6833333333333333
apogeu,heyday,0.7
inocuo,harmless,0.8444444444444446
convem,suits,0.8400000000000001
utopia,utopia,0.0
sadico,sadist,0.288888888888889
escopo,scope,0.21333333333333337
enfase,emphasis,0.4666666666666667
idiota,idiot,0.026666666666666727
casual,casual,0.0
merito,merit,0.026666666666666727
alusao,allusion,0.20000000000000007
hostil,hostile,0.022222222222222143
anseio,wish,0.7
cetico,skeptical,0.3555555555555556
legado,legacy,0.288888888888889
hetero,straight,0.5888888888888889
pressa,hurry,0.7066666666666668
gentil,gentle,0.15555555555555556
alheio,alien,0.3733333333333334
nocivo,harmful,0.8333333333333334
infame,infamous,0.1777777777777777
cliche,cliche,0.0
paixao,passion,0.3111111111111112
eximio,excellent,0.5888888888888889
afavel,affable,0.3222222222222223
defina,define,0.15555555555555556
adorno,adornment,0.18888888888888877
dadiva,gift,0.7
extase,ecstasy,0.3222222222222223
sobrio,sober,0.19999999999999996
adesao,membership,0.6333333333333333
larica,munchies,0.7333333333333334
aferir,assess,0.5777777777777777
astuto,cunning,0.7222222222222222
tambem,too,0.6444444444444444
otario,sucker,0.7
sessao,session,0.1777777777777778
limiar,threshold,0.7333333333333334
solene,solemn,0.15555555555555556
julgar,to judge,0.47777777777777775
gloria,glory,0.19999999999999996
labaro,labaro,0.0
formal,formal,0.0
habito,habit,0.026666666666666727
apreco,appreciation,0.09999999999999987
embora,although,0.711111111111111
ensejo,opportunity,0.7444444444444445
impeto,momentum,0.48888888888888893
outrem,someone else,0.6333333333333333
eficaz,effective,0.4666666666666667
ocioso,idle,0.6833333333333333
jubilo,jubilation,0.06666666666666665
dispor,dispose,0.16666666666666663
difuso,diffuse,0.1777777777777778
alento,breath,0.5777777777777777
perene,evergreen,0.34444444444444455
nuance,nuance,0.0
faccao,faction,0.3111111111111112
escusa,excuse,0.3111111111111112
exilio,exile,0.19999999999999996
cessao,assignment,0.6222222222222222
ludico,playful,0.5888888888888888
abster,abstain,0.30000000000000016
ilacao,inference,0.6111111111111112
alcada,jurisdiction,0.7777777777777778
objeto,object,0.15555555555555556
acesso,access,0.15555555555555556
acento,accent,0.15555555555555556
desejo,desire,0.288888888888889
axioma,axiom,0.026666666666666727
sancao,sanction,0.18888888888888888
isento,free,0.6833333333333333
tacito,tacit,0.026666666666666727
etereo,ethereal,0.18888888888888888
buscar,search,0.4444444444444444
mulher,woman,0.6933333333333334
cortes,courteous,0.05555555555555558
cobica,greed,0.8400000000000001
mazela,ailment,0.5888888888888889
sisudo,serious,0.4444444444444444
penhor,pledge,0.5555555555555556
eximir,exempt,0.4444444444444444
avidez,greed,0.6933333333333334
receio,fear,0.6666666666666667
vulgar,vulgar,0.0
remoto,remote,0.15555555555555556
prazer,pleasure,0.4555555555555556
fatico,factual,0.4444444444444444
quando,when,0.6833333333333333
sempre,ever,0.5
nomade,do not give me,0.38888888888888884
asseio,cleanliness,0.48888888888888893
empatia,empathy,0.24761904761904763
aurelio,aurelio,0.0
conjuge,spouse,0.4666666666666667
embuste,scam,0.7
excecao,exception,0.2761904761904763
carater,character,0.03809523809523818
efemero,ephemeral,0.2857142857142857
prolixo,long-winded,0.638095238095238
verbete,entry,0.56
idilico,idyllic,0.2571428571428571
analogo,analogue,0.1428571428571429
genuino,genuine,0.13333333333333341
estoria,story,0.2266666666666668
sublime,sublime,0.0
familia,family,0.16666666666666663
pesames,condolences,0.5333333333333333
inferir,infer,0.039999999999999925
apatico,apathetic,0.1523809523809525
sucinto,succinct,0.1523809523809525
acepcao,meaning,0.6190476190476191
redimir,to redeem,0.40000000000000013
astucia,cunning,0.6095238095238096
prodigo,prodigal,0.1428571428571429
cultura,culture,0.13333333333333341
audacia,audacity,0.1428571428571429
estigma,stigma,0.022222222222222143
recesso,recess,0.022222222222222143
virtude,virtue,0.022222222222222143
refutar,refute,0.16666666666666663
iconico,iconic,0.022222222222222143
soberba,superb,0.3111111111111112
cinismo,cynicism,0.2761904761904762
estavel,stable,0.3222222222222223
exortar,urge,0.6833333333333333
morbido,morbid,0.022222222222222143
trivial,trivial,0.0
mitigar,mitigate,0.1428571428571429
sintese,synthesis,0.2952380952380953
aspecto,aspect,0.022222222222222143
luxuria,lust,0.4833333333333334
cordial,friendly,0.5142857142857143
sucesso,success,0.13333333333333341
