pt,fr,Alignment Score
paz,paix,0.33333333333333337
nao,non,0.3111111111111112
fel,fiel,0.04444444444444451
ceu,ciel,0.3555555555555556
ser,etre,0.3555555555555556
vil,vil,0.0
sob,sous,0.33333333333333337
mal,mauvais,0.4
ver,voir,0.33333333333333337
mae,mere,0.33333333333333337
ter,avoir,0.6222222222222222
ego,ego,0.0
bem,bien,0.3555555555555556
mas,mais,0.04444444444444451
dom,soleil,0.6888888888888889
bom,bien,0.6000000000000001
vir,venir,0.06666666666666665
vao,aller,0.6444444444444445
sao,ils sont,0.4444444444444444
dar,donner,0.37777777777777777
ora,maintenant,0.7555555555555555
que,quoi,0.33333333333333337
era,c'etait,0.4444444444444444
elo,lien,0.6222222222222222
luz,lumiere,0.4
nos,nous,0.04444444444444451
reu,defendeur,0.4666666666666667
com,avec,0.6000000000000001
seu,ton,0.8444444444444444
tal,tel,0.3111111111111112
foi,il etait,0.6888888888888889
rol,role,0.04444444444444451
mim,moi,0.3111111111111112
uma,un,0.5
lua,lune,0.33333333333333337
ate,jusqu'a,0.6666666666666667
hum,hmm,0.3111111111111112
por,par,0.3111111111111112
vis,vis,0.0
fim,fin,0.3111111111111111
pos,poste,0.06666666666666687
dor,douleur,0.11111111111111116
ato,acte,0.3555555555555556
sol,soleil,0.08888888888888902
sem,sans,0.6000000000000001
pai,pere,0.6000000000000001
vez,tourner,0.7111111111111111
dia,jour,0.8666666666666667
dou,je donne,0.4444444444444444
ira,volonte,0.9333333333333333
pro,pro,0.0
eis,voir,0.6444444444444445
rua,route,0.37777777777777777
tez,complexion,0.7777777777777778
ler,lire,0.33333333333333337
ode,ode,0.0
tao,donc,0.6222222222222222
nem,ni,0.5
fiz,je l'ai fait,0.5555555555555556
ajo,acte,0.6000000000000001
voz,voix,0.33333333333333337
gay,gay,0.0
meu,mon,0.5777777777777777
lei,loi,0.3111111111111112
voo,vol,0.3111111111111111
mau,mauvais,0.11111111111111116
mao,main,0.33333333333333337
num,sur une,0.6888888888888889
des,donner,0.3999999999999999
afa,agitation,0.4666666666666667
por,paire,0.37777777777777777
for,pour,0.3555555555555556
rio,riviere,0.4
dai,ainsi,0.3555555555555556
ola,bonjour,0.6888888888888889
cia,cia,0.0
jus,jus,0.0
lar,maison,0.6888888888888889
sua,ton,0.8444444444444444
fez,il a fait,0.7333333333333334
ira,volonte,0.9333333333333333
via,via,0.0
som,son,0.3111111111111111
nau,bateau,0.37777777777777777
sim,oui,0.6000000000000001
amo,j'aime,0.42222222222222217
rei,roi,0.3111111111111112
tem,il a,0.8666666666666667
boa,bien,0.6000000000000001
mas,mais,0.04444444444444451
uso,utiliser,0.4444444444444444
mes,mois,0.33333333333333337
ido,disparu,0.6888888888888889
jaz,mensonges,0.9777777777777779
asa,aile,0.6000000000000001
uns,quelques,0.4444444444444444
lhe,lui,0.5777777777777777
eco,echo,0.04444444444444451
pal,copain,0.3999999999999999
cla,clan,0.04444444444444451
amor,amour,0.033333333333333326
fato,fait,0.2333333333333334
mito,mythe,0.4833333333333334
vies,biais,0.4666666666666667
voce,toi,0.6444444444444445
como,comme,0.25
caos,chaos,0.033333333333333326
esmo,au hasard,0.75
brio,panache,0.8833333333333334
vide,voir,0.45000000000000007
acao,action,0.2833333333333333
sede,la soif,0.7
apos,apres,0.25
pois,alors,0.4833333333333334
vida,vie,0.33333333333333337
casa,maison,0.5166666666666666
auge,culminer,0.55
saga,saga,0.0
medo,peur,0.6666666666666667
onus,anus,0.2333333333333334
ermo,region sauvage,0.6333333333333333
suma,somme,0.4833333333333333
vovo,grand-mere,0.9333333333333333
mote,devise,0.6666666666666667
alem,au-dela,0.5
tolo,idiot,0.6500000000000001
sina,destin,0.2833333333333333
idem,idem,0.0
urge,urgent,0.050000000000000155
crer,croire,0.2666666666666666
pela,pour le,0.4833333333333334
apto,ajuster,0.5166666666666666
zelo,zele,0.2333333333333334
veio,il est venu,0.5666666666666667
pude,je pourrais,0.5833333333333333
tudo,tous,0.43333333333333335
mais,plus,0.6333333333333333
ruim,mauvais,0.5333333333333334
area,zone,0.6499999999999999
amar,amour,0.25
rude,grossier,0.5333333333333334
coxo,boiteux,0.5166666666666666
cota,quota,0.25
para,pour,0.45000000000000007
soar,son,0.33333333333333337
ater,atterrir,0.10000000000000009
sera,ce sera,0.06666666666666676
fase,phase,0.25
ente,etre,0.2333333333333334
auto,soi,0.6222222222222222
tras,derriere,0.7333333333333334
doce,doux,0.43333333333333335
voga,vogue,0.25
logo,bientot,0.7
onde,ou,0.5333333333333334
rima,rime,0.2333333333333334
deus,dieu,0.2333333333333334
pelo,pour le,0.4833333333333334
ante,avant,0.25
cedo,tot,0.6222222222222222
jugo,joug,0.2333333333333334
meio,assez,0.6833333333333333
arte,art,0.04444444444444451
alma,ame,0.3555555555555556
meta,but,0.6222222222222222
cujo,dont,0.6500000000000001
sela,selle,0.25
traz,apporte,0.7
numa,dans,0.6499999999999999
cela,cellule,0.28333333333333355
teor,contenu,0.5
sido,a ete,0.85
noia,noia,0.0
face,affronter,0.55
asco,degouter,0.7166666666666667
nojo,degouter,0.7166666666666667
alvo,cible,0.6833333333333333
foco,se concentrer,0.6000000000000001
isso,que,0.8666666666666667
pose,pose,0.0
sair,sortir,0.2666666666666666
base,base,0.0
vale,d'accord,0.7333333333333334
odio,detester,0.7166666666666668
