pt,gl,Alignment Score
convergencia,converxencia,0.07777777777777772
expor,exponer,0.04000000000000015
causa,causa,0.0
rima,rime,0.2333333333333334
sucumbir,sucumbir,0.0
concerne,preocupacions,0.575
vicissitude,vicisitude,0.013333333333333308
fiz,fixen,0.3555555555555556
pejorativo,pexorativo,0.09333333333333338
pretensao,pretension,0.11851851851851858
ratificar,ratificar,0.0
excelencia,excelencia,0.0
disruptivo,perturbador,0.6
paradoxo,paradoxo,0.0
tacito,tacito,0.0
por,par,0.3111111111111112
ardiloso,astucia,0.6095238095238096
beligerante,belixerante,0.08484848484848484
ademais,ademais,0.0
rei,rei,0.0
versatilidade,versatilidade,0.0
superestimar,sobreestimar,0.21666666666666667
detem,aguanta,0.72
afavel,afable,0.30000000000000016
etica,etica,0.0
rude,groseiro,0.5333333333333334
consoante,consoante,0.0
exacerbado,exacerbado,0.0
desejo,desexo,0.15555555555555556
intransigente,intransixente,0.07179487179487176
subterfugio,subterfuxio,0.08484848484848484
congruencia,congruencia,0.0
extrovertido,extrovertido,0.0
prudencia,prudencia,0.0
icone,icona,0.18666666666666676
cultura,cultura,0.0
elo,ligazon,0.4222222222222223
sessao,sesion,0.30000000000000016
ira,vontade,0.6888888888888889
tambem,tamen,0.21333333333333337
afeto,carino,0.5333333333333333
plausibilidade,verosimilitude,0.4285714285714286
hetero,recto,0.3866666666666667
esmo,ao azar,0.7
arrogante,arrogante,0.0
precedente,precedente,0.0
retificacao,rectificacion,0.1090909090909089
ocioso,ocioso,0.0
impeto,impulso,0.30000000000000016
complementar,adicional,0.5111111111111111
trivial,trivial,0.0
contemporaneo,contemporaneo,0.0
perene,perenne,0.022222222222222143
circunstancia,circunstancia,0.0
intransigencia,intransixencia,0.06666666666666665
posteriormente,posteriormente,0.0
quintessencia,quintaesencia,0.07179487179487176
intempestivo,intempestivo,0.0
heterogeneo,heteroxeneo,0.08484848484848484
ilacao,conclusion,0.6111111111111112
ler,ler,0.0
tenaz,tenaz,0.0
aquem,aqui,0.25
resistencia,resistencia,0.0
tao,asi,0.6000000000000001
preliminar,preliminar,0.0
cordialidade,cordialidade,0.0
inconveniencia,inconveniente,0.1384615384615382
solicito,util,0.7166666666666668
persistencia,persistencia,0.0
procedencia,orixe,0.6133333333333333
virtude,virtude,0.0
gratidao,gratitude,0.2333333333333334
demanda,demanda,0.0
imprevisivel,impredicible,0.3055555555555556
jactancia,presumir,0.7416666666666667
socioambiental,socioambientais,0.0714285714285714
concupiscencia,luxuria,0.5619047619047619
orla,costa,0.4666666666666667
plenitude,plenitude,0.0
pois,enton,0.6833333333333333
multifacetado,polifacetico,0.29999999999999993
vide,ver,0.33333333333333337
fato,feito,0.25
asco,noxo,0.6333333333333333
via,via,0.0
redimir,para redimir,0.05714285714285716
instigar,instigar,0.0
concessao,concesion,0.19999999999999996
alento,alento,0.0
honra,honra,0.0
comum,comun,0.18666666666666676
dissimulado,disfrazado,0.3400000000000001
ante,antes,0.033333333333333326
mundo,mundo,0.0
coser,coser,0.0
urge,urxente,0.2833333333333333
epifania,epifania,0.0
hostil,hostis,0.15555555555555556
ansioso,ansioso,0.0
arrefecimento,arrefriamento,0.1384615384615384
aspecto,aspecto,0.0
almejar,anhelar,0.36190476190476184
indulgencia,indulxencia,0.08484848484848484
posse,posesion,0.2266666666666668
nexo,nexo,0.0
perseveranca,perseveranza,0.07777777777777772
entendimento,comprension,0.5454545454545454
sem,sen,0.3111111111111111
etereo,etereo,0.0
bem-aventurado,bendito,0.3238095238095239
consiste,consiste,0.0
heterossexual,heterosexual,0.011111111111111072
supersticioso,supersticioso,0.0
luxuria,luxuria,0.0
credibilidade,credibilidade,0.0
sintetizar,sintetizar,0.0
defina,definir,0.16666666666666663
eis,velai,0.37777777777777777
