fr,it,Alignment Score
riviere,fiume,0.56
resolu,risoluto,0.18888888888888888
excentrique,eccentrico,0.2733333333333333
exotique,esotico,0.39047619047619064
hermeneutiques,ermeneutica,0.18181818181818166
eschatologique,escatologico,0.16111111111111098
necessaire,necessario,0.17999999999999994
meteo,tempo atmosferico,0.3866666666666667
methodique,metodico,0.24166666666666659
sublime,sublime,0.0
vocabulaire,vocabolario,0.24848484848484853
preuve,probatorio,0.6000000000000001
consequence,conseguenza,0.24242424242424243
occasionnel,casuale,0.4190476190476191
subjectif,soggettivo,0.49629629629629635
prejuge,pregiudizio,0.4095238095238096
incommensurable,incommensurabile,0.008888888888888835
maturite,scadenza,0.6416666666666666
condoleances,condoglianze,0.2333333333333334
activiste,attivista,0.20740740740740748
voix,voce,0.43333333333333335
inexorable,inesorabile,0.1066666666666668
disparu,andato,0.5888888888888889
integrite,integrita,0.10370370370370374
sans scrupules,senza scrupoli,0.3142857142857144
habitude,abitudine,0.125
consideration,considerazione,0.08205128205128198
sommet,apice,0.6933333333333334
idyllique,idilliaco,0.3851851851851852
jubilation,giubilo,0.2952380952380953
remise,remissione,0.05555555555555558
extension,estensione,0.11851851851851858
amitie,amicizia,0.3333333333333335
naissant,nascente,0.33333333333333337
d'accord,ok,0.7
but,obiettivo,0.48888888888888893
exhorter,sollecitare,0.5666666666666667
action,azione,0.30000000000000004
abstention,astenersi,0.3037037037037037
appartenance ethnique,etnia,0.42666666666666664
reclamer,reclamo,0.1428571428571429
altruisme,altruismo,0.10370370370370374
conception,progetto,0.4833333333333334
incontinence,incontinenza,0.14444444444444438
exemption,esenzione,0.3925925925925926
la grace,adornare,0.45000000000000007
chimere,chimera,0.13333333333333341
aujourd'hui,al giorno d'oggi,0.4303030303030304
grignotines,munchies,0.4666666666666667
provisionne,fornito,0.5523809523809524
monotone,monotono,0.1166666666666667
personnification,personificazione,0.11666666666666659
detester,odio,0.7166666666666668
mauvais,cattivo,0.6190476190476191
obligeance,disponibilita,0.4600000000000002
examen minutieux,scrutinio,0.6148148148148148
adjacent,adiacente,0.13333333333333341
volonte,volere,0.30000000000000016
pragmatique,pragmatico,0.17999999999999994
interurbain,interurbano,0.08484848484848473
independant,indipendente,0.18181818181818177
tel,come,0.6222222222222222
audace,audacia,0.16666666666666663
dont,di chi,0.6666666666666667
mutuel,reciproco,0.7444444444444445
chemin,sentiero,0.6000000000000001
solennel,solenne,0.01904761904761898
ornement,ornamento,0.13333333333333341
calendrier,programma,0.6666666666666667
bienfaisance,beneficenza,0.32727272727272716
moquerie,beffa,0.72
impenetrable,imperscrutabile,0.23333333333333328
coercition,coercizione,0.10666666666666669
antagoniste,antagonista,0.08484848484848473
a travers,attraverso,0.11851851851851858
discours,discorso,0.1166666666666667
superflu,superfluo,0.016666666666666607
disseminer,diffondere,0.42666666666666664
indolence,indolenza,0.19259259259259254
cognitif,cognitivo,0.125
mauvais,cattivo,0.6190476190476191
espoir,speranza,0.4666666666666668
sensible,suscettibile,0.2666666666666666
intervention,intervento,0.026666666666666616
hasard,serendipita,0.5111111111111112
identification,identificazione,0.07619047619047614
approprie,adatto,0.6000000000000001
recolte,raccolto,0.2761904761904762
medisance,maldicenza,0.3925925925925926
toutes nos felicitations,congratulazioni,0.5022222222222222
sadique,sadico,0.30000000000000016
talarique,talarico,0.22499999999999998
etaient,erano,0.41333333333333344
gage,impegno,0.7
maladroit,goffo,0.7333333333333334
consolider,consolidare,0.09999999999999998
fomenter,fomentare,0.125
insignifiant,insignificante,0.022222222222222143
nature,natura,0.15555555555555556
trop,troppo,0.050000000000000155
gagner,guadagnare,0.21111111111111114
situation,situazione,0.11851851851851858
prerogative,prerogativa,0.08484848484848473
concessionnaire,concessionario,0.13809523809523805
dengo,dengo,0.0
accessibilite,accessibilita,0.07179487179487176
prosperite,prosperita,0.09333333333333327
pour,per,0.33333333333333337
aile,ala,0.3555555555555556
pusillanimite,pusillanimita,0.07179487179487176
un,uno,0.06666666666666676
liberer,pubblicazione,0.5523809523809524
singulier,singolare,0.3037037037037038
candeur,candore,0.24761904761904763
emerger,emergere,0.01904761904761898
savoir,sapere,0.43333333333333335
succes,successo,0.03333333333333344
petit,trascurabile,0.6266666666666667
indifference,indifferenza,0.14444444444444438
