pt,ro,Alignment Score
paz,pace,0.33333333333333337
nao,nu,0.5
fel,fiere,0.3555555555555555
ceu,cer,0.3111111111111111
ser,a fi,0.8666666666666667
vil,ticalos,0.4444444444444444
sob,sub,0.3111111111111112
mal,rau,0.6222222222222222
ver,pentru a vedea,0.5777777777777777
mae,mama,0.33333333333333337
ter,a avea,0.6888888888888889
ego,ego-ul,0.08888888888888902
bem,bun,0.5777777777777777
mas,dar,0.6222222222222222
dom,soare,0.6666666666666667
bom,bun,0.5777777777777777
vir,vin la tine,0.48888888888888893
vao,merge,0.8888888888888888
sao,sunt,0.6000000000000001
dar,a da,0.33333333333333337
ora,acum,0.6000000000000001
que,ce,0.5
era,era,0.0
elo,legatura,0.7111111111111111
luz,usoara,0.6666666666666667
nos,s.u.a,0.6222222222222222
reu,parat,0.6444444444444445
com,cu,0.5
seu,ta,0.9
tal,astfel de,0.4666666666666667
foi,el a fost,0.4666666666666667
rol,rol,0.0
mim,pe mine,0.42222222222222217
uma,unu,0.5777777777777777
lua,luna,0.04444444444444451
ate,pana cand,0.7333333333333334
hum,hmm,0.3111111111111112
por,pe,0.5
vis,vis,0.0
fim,sfarsit,0.4444444444444444
pos,post,0.04444444444444451
dor,durere,0.3999999999999999
ato,act,0.3111111111111112
sol,soare,0.3555555555555556
sem,fara,0.8666666666666667
pai,tata,0.6222222222222222
vez,intoarce,0.711111111111111
dia,zi,0.5333333333333334
dou,eu dau,0.3999999999999999
ira,voi,0.5777777777777777
pro,pro,0.0
eis,iata,0.6222222222222222
rua,drum,0.3555555555555556
tez,complexitate,0.5111111111111111
ler,a citi,0.9111111111111111
ode,oda,0.3111111111111111
tao,asa de,0.6666666666666667
nem,nici,0.6000000000000001
fiz,am facut,0.7111111111111111
ajo,act,0.5777777777777777
voz,voce,0.33333333333333337
gay,gay,0.0
meu,ale mele,0.4444444444444444
lei,lege,0.33333333333333337
voo,zbor,0.6222222222222222
mau,rau,0.3111111111111112
mao,mana,0.33333333333333337
num,pe unu,0.37777777777777777
des,da,0.5
afa,agitatie,0.4444444444444444
por,pereche,0.4222222222222223
for,pentru,0.6666666666666667
rio,rau,0.5777777777777777
dai,prin urmare,0.7777777777777778
ola,buna ziua,0.7111111111111111
cia,cia,0.0
jus,jus,0.0
lar,acasa,0.6444444444444445
sua,ta,0.5
fez,el a facut,0.7555555555555555
ira,voi,0.5777777777777777
via,prin intermediul,0.9111111111111111
som,sunet,0.6222222222222222
nau,nava,0.33333333333333337
sim,da,0.9
amo,iubesc,0.9111111111111111
rei,rege,0.33333333333333337
tem,el are,0.6666666666666667
boa,bun,0.5777777777777777
mas,dar,0.6222222222222222
uso,utilizare,0.711111111111111
mes,luna,0.8666666666666667
ido,plecat,0.9111111111111111
jaz,minciuni,0.9555555555555556
asa,aripa,0.3555555555555556
uns,niste,0.37777777777777777
lhe,-l,0.5
eco,ecou,0.04444444444444451
pal,prietene,0.6888888888888889
cla,clan,0.04444444444444451
amor,dragoste,0.55
fato,fapt,0.2333333333333334
mito,mit,0.04444444444444451
vies,partinire,0.55
voce,tu,0.9333333333333333
como,la fel de,0.9166666666666667
caos,haos,0.2333333333333334
esmo,la intamplare,0.7833333333333333
brio,pompon,0.6833333333333333
vide,vedea,0.2666666666666667
acao,actiune,0.4833333333333334
sede,sete,0.2333333333333334
apos,dupa,0.6333333333333333
pois,apoi,0.2333333333333334
vida,viata,0.25
casa,casa,0.0
auge,varf,0.6500000000000001
saga,saga,0.0
medo,frica,0.85
onus,anus,0.2333333333333334
ermo,pustie,0.6666666666666667
suma,suma,0.0
vovo,bunica,0.8666666666666667
mote,motto,0.25
alem,dincolo,0.7166666666666668
tolo,prost,0.6500000000000001
sina,soarta,0.4666666666666667
idem,idem,0.0
urge,urgent,0.050000000000000155
crer,crede,0.25
pela,pentru,0.4666666666666667
apto,potrivi,0.5
zelo,zel,0.04444444444444451
veio,el a venit,0.3666666666666667
pude,am putut,0.5166666666666666
tudo,toate,0.45000000000000007
mais,mai mult,0.30000000000000016
ruim,rau,0.33333333333333337
area,zona,0.6333333333333333
amar,dragoste,0.7166666666666668
rude,nepoliticos,0.7666666666666667
coxo,schiop,0.5
cota,cota,0.0
para,pentru,0.5
soar,sunet,0.6499999999999999
ater,teren,0.25
sera,va fi,0.6666666666666667
fase,faza,0.43333333333333335
ente,fiind,0.6833333333333333
auto,de sine,0.8833333333333334
tras,in spate,0.7166666666666667
doce,dulce,0.25
voga,voga,0.0
logo,curand,0.8666666666666667
onde,unde,0.2333333333333334
rima,bruma,0.2666666666666666
deus,dumnezeu,0.30000000000000016
