en,es,Alignment Score
peace,paz,0.37777777777777777
no,no,0.0
gall,hiel,0.6333333333333333
sky,cielo,0.8888888888888888
to be,ser,0.6444444444444445
vile,vil,0.04444444444444451
under,bajo,0.85
bad,malo,0.6444444444444445
to see,para ver,0.6111111111111112
mother,madre,0.5333333333333333
to have,tener,0.5333333333333333
ego,ego,0.0
good,bien,0.8333333333333334
but,pero,0.8666666666666667
sun,sol,0.5777777777777777
good,bien,0.8333333333333334
come over,venir,0.4
go,ir,0.8666666666666667
they are,ellos son,0.6499999999999999
to give,dar,0.9333333333333333
now,ahora,0.6666666666666667
what,que,0.8666666666666667
it was,fue,0.9111111111111111
link,enlace,0.6833333333333333
light,luz,0.6222222222222222
us,a nosotros,0.7333333333333334
defendant,acusado,0.7333333333333334
with,con,0.8666666666666667
your,su,0.5666666666666667
such,semejante,0.7166666666666667
he was,el era,0.4555555555555556
role,role,0.0
me,a mi,0.5666666666666667
one,uno,0.5777777777777777
moon,luna,0.6499999999999999
until,hasta,0.6933333333333334
hmm,mmm,0.3111111111111112
per,por,0.3111111111111112
vis,vis,0.0
end,fin,0.6000000000000001
post,correo,0.6833333333333333
pain,dolor,0.85
act,acto,0.04444444444444451
sun,sol,0.5777777777777777
without,sin,0.7111111111111111
father,padre,0.56
turn,doblar,0.6833333333333333
day,dia,0.3111111111111112
i give,doy,0.9111111111111111
will,voluntad,0.7166666666666668
pro,pro,0.0
behold,mirad,0.6799999999999999
road,camino,0.6833333333333333
complexion,tez,0.7777777777777778
to read,leer,0.7
ode,oda,0.3111111111111111
so,entonces,0.6666666666666667
nor,ni,0.5
i did,hice,0.6666666666666667
act,acto,0.04444444444444451
voice,voz,0.3555555555555556
gay,homosexuales,0.8222222222222223
my,mi,0.4666666666666667
law,ley,0.5777777777777777
flight,vuelo,0.7066666666666668
bad,malo,0.6444444444444445
hand,mano,0.4666666666666667
on one,en uno,0.4444444444444444
give,dar,0.8666666666666667
