pt,es,Alignment Score
indescritivel,indescriptible,0.14871794871794863
conservador,conservador,0.0
vis,vis,0.0
nojo,asco,0.6333333333333333
lapso,lapso,0.0
expectativa,expectativa,0.0
transcendental,trascendental,0.01025641025641022
resplandecer,brillar,0.4285714285714286
divergente,divergente,0.0
multiplicidade,multiplicidad,0.01025641025641022
hibrido,hibrido,0.0
onde,donde,0.033333333333333326
regozijar,alegrarse,0.4814814814814815
supressao,supresion,0.19999999999999996
xibiu,xibiu,0.0
aleatorio,aleatorio,0.0
entretenimento,entretenimiento,0.00952380952380949
iminencia,inminencia,0.014814814814814725
tergiversar,sutileza,0.4833333333333334
desfecho,resultado,0.5416666666666667
inconsistencia,inconsecuencia,0.18095238095238086
disposicao,disposicion,0.10666666666666669
esporadico,esporadico,0.0
vao,ir,0.9
idem,idem,0.0
legado,legado,0.0
bocal,bocal,0.0
receptividade,receptividad,0.011111111111111072
internalizacao,internalizacion,0.07619047619047614
eita,dios mio,0.7333333333333334
casa,casa,0.0
jurisprudencia,jurisprudencia,0.0
admoestacao,amonestacion,0.18181818181818177
retificar,rectificar,0.014814814814814725
sair,salir,0.033333333333333326
cinico,cinico,0.0
sentido,sentido,0.0
contrapartida,contrapartida,0.0
subjetividade,subjetividad,0.011111111111111072
destinatario,recipiente,0.5466666666666666
retrogrado,retrogrado,0.0
conformidade,conformidad,0.012121212121212088
abstrato,abstracto,0.016666666666666607
alcada,jurisdiccion,0.7777777777777778
pai,padre,0.3555555555555556
parcial,parcial,0.0
pelo,para el,0.2833333333333333
contentamento,contentamiento,0.01025641025641022
sido,estado,0.2833333333333333
vir,venir,0.06666666666666665
essencia,esencia,0.01904761904761898
dou,doy,0.3111111111111111
irao,voluntad,0.7166666666666668
inefavel,inefable,0.22499999999999998
alienado,alienado,0.0
proeminencia,prominencia,0.012121212121212088
convencional,convencional,0.0
benignidade,amabilidad,0.36
escarnecedor,burlador,0.45833333333333337
conciso,conciso,0.0
paulatinamente,gradualmente,0.3055555555555556
estar,ser,0.3555555555555556
ressentimento,resentimiento,0.07179487179487176
fornicacao,fornicacion,0.10666666666666669
subsistencia,subsistencia,0.0
ideia,idea,0.033333333333333326
reu,acusado,0.6888888888888889
ceder,ceda el paso,0.29333333333333345
funcionalidade,funcionalidad,0.01025641025641022
sintese,sintesis,0.1428571428571429
exequibilidade,factibilidad,0.2944444444444445
nuance,matiz,0.7066666666666668
sobre,acerca de,0.5733333333333333
por,por,0.0
execravel,execrable,0.19999999999999996
infortunio,desgracia,0.674074074074074
credenciamento,acreditacion,0.37222222222222223
acesso,acceso,0.15555555555555556
excesso,exceso,0.022222222222222143
subordinado,subordinar,0.09999999999999987
papibaquigrafo,papibaquigrafo,0.0
pressagio,presagio,0.016666666666666607
mim,a mi,0.33333333333333337
atenciosamente,tuyo sinceramente,0.3238095238095239
subserviencia,subordinacion,0.3487179487179487
alva,amanecer,0.5166666666666666
condescendente,condescendiente,0.00952380952380949
consubstanciar,justificar,0.3800000000000001
displicencia,descuido,0.4833333333333334
denegrir,denigrar,0.2333333333333334
contingencia,contingencia,0.0
promiscuidade,promiscuidad,0.011111111111111072
constantemente,constantemente,0.0
incandescente,incandescente,0.0
perspectiva,perspectiva,0.0
objetivo,meta,0.5333333333333334
jugo,yugo,0.2333333333333334
eloquente,elocuente,0.10370370370370374
relacionamento,relacion,0.05833333333333324
arte,arte,0.0
intensidade,intensidad,0.013333333333333308
corroborar,corroborar,0.0
incolumidade,seguridad,0.41481481481481486
sistematico,sistematico,0.0
autoritario,autoritario,0.0
compartilhar,para compartir,0.2222222222222222
sobrecarregado,sobrecargado,0.01666666666666672
voga,moda,0.4666666666666667
introvertido,introvertido,0.0
depreciativo,despectivo,0.11333333333333329
pandemia,pandemia,0.0
sede,sed,0.04444444444444451
cerne,centro,0.3733333333333334
estigmatizar,estigmatizar,0.0
divergencia,divergencia,0.0
vies,inclinacion,0.7666666666666667
astucia,astuto,0.30000000000000016
acepcao,significado,0.5238095238095238
hermetico,hermetico,0.0
