en,it,Alignment Score
indescribable,indescrivibile,0.1435897435897434
conservative,conservatore,0.14444444444444438
vis,vis,0.0
disgust,disgusto,0.01904761904761898
lapse,periodo,0.5466666666666666
expectation,aspettativa,0.4
transcendental,trascendentale,0.06666666666666665
shine,splendore,0.41333333333333333
divergent,divergente,0.014814814814814725
multiplicity,molteplicita,0.2333333333333334
hybrid,ibrido,0.30000000000000004
where,dove,0.6499999999999999
rejoice,rallegrarsi,0.5333333333333333
suppression,soppressione,0.09696969696969693
xibiu,xibiu,0.0
random,casuale,0.7222222222222222
entertainment,divertimento,0.30000000000000004
imminence,imminenza,0.19259259259259254
quibble,cavillare,0.5142857142857143
outcome,risultato,0.5238095238095238
inconsistency,incoerenza,0.3666666666666667
disposition,disposizione,0.09696969696969693
sporadic,sporadico,0.016666666666666607
go,andare,1.0
idem,idem,0.0
legacy,eredita,0.5888888888888889
bocal,bocal,0.0
receptivity,ricettivita,0.25454545454545463
internalization,interiorizzazione,0.24444444444444446
jeez,cavolo,0.8666666666666667
house,casa,0.6833333333333333
jurisprudence,giurisprudenza,0.21025641025641018
admonition,ammonizione,0.19999999999999996
rectify,rettificare,0.3047619047619047
to go out,uscire,0.7333333333333334
cynical,cinico,0.3222222222222223
sense,senso,0.18666666666666676
counterpart,controparte,0.1696969696969698
subjectivity,soggettivita,0.3666666666666667
recipient,destinatario,0.5185185185185186
retrograde,retrogrado,0.09333333333333327
conformity,conformita,0.09333333333333327
abstract,astratto,0.22499999999999998
jurisdiction,giurisdizione,0.23333333333333328
father,padre,0.56
partial,parziale,0.1523809523809525
for the,per il,0.5888888888888889
contentment,contentezza,0.23636363636363633
been,stato,0.85
come over,venire,0.4666666666666667
essence,essenza,0.24761904761904763
i give,io do,0.5333333333333334
will,volere,0.6833333333333333
ineffable,ineffabile,0.014814814814814725
alienated,alienato,0.125
prominence,risalto,0.6285714285714286
conventional,convenzionale,0.08888888888888902
kindness,gentilezza,0.6583333333333334
mocker,beffardo,0.6000000000000001
concise,conciso,0.13333333333333341
gradually,gradualmente,0.21481481481481468
be,essere,0.6000000000000001
resentment,risentimento,0.12
fornication,fornicazione,0.09696969696969693
subsistence,sussistenza,0.24242424242424243
idea,idea,0.0
defendant,imputato,0.6416666666666666
give way,far passare,0.675
functionality,funzionalita,0.16111111111111098
synthesis,sintesi,0.17142857142857149
feasibility,fattibilita,0.24848484848484853
nuance,sfumatura,0.6111111111111112
about,di,0.9666666666666667
per,per,0.0
execrable,esecrabile,0.11851851851851858
misfortune,sfortuna,0.1416666666666666
accreditation,accreditamento,0.1435897435897434
access,accesso,0.022222222222222143
excess,eccesso,0.1777777777777778
subordinate,subordinare,0.08484848484848473
papibaquigrapher,papibaquigrafo,0.1333333333333332
omen,presagio,0.7
me,me,0.0
yours sincerely,cordiali saluti,0.5644444444444445
subservience,sottomissione,0.5055555555555555
dawn,alba,0.6500000000000001
condescending,condiscendente,0.2205128205128204
substantiate,sostanziare,0.2606060606060606
carelessness,disattenzione,0.5777777777777777
denigrate,denigrare,0.10370370370370374
contingency,contingenza,0.15757575757575748
promiscuity,promiscuita,0.08484848484848473
constantly,costantemente,0.2799999999999999
incandescent,incandescente,0.011111111111111072
perspective,prospettiva,0.25454545454545463
goal,obiettivo,0.7333333333333334
yoke,giogo,0.6666666666666667
eloquent,eloquente,0.016666666666666607
relationship,relazione,0.22962962962962963
art,arte,0.04444444444444451
intensity,intensita,0.10370370370370374
corroborate,corroborare,0.08484848484848473
safety,sicurezza,0.5888888888888888
systematic,sistematico,0.10666666666666669
authoritarian,autoritario,0.10303030303030292
to share,condividere,0.5583333333333333
overloaded,sovraccarico,0.5266666666666668
vogue,voga,0.25
introvert,introverso,0.11111111111111116
derogatory,dispregiativo,0.3733333333333334
pandemic,pandemia,0.1166666666666667
thirst,sete,0.4833333333333334
core,nucleo,0.4833333333333334
stigmatize,stigmatizzare,0.026666666666666616
divergence,divergenza,0.17333333333333334
bias,pregiudizio,0.7833333333333333
cunning,astuzia,0.6285714285714286
meaning,senso,0.5733333333333334
airtight,ermetico,0.5416666666666667
