en,es,Alignment Score
mistaken,equivocado,0.6666666666666667
identify,identificar,0.1416666666666666
difficulty,dificultad,0.17999999999999994
instability,inestabilidad,0.17575757575757556
noble,noble,0.0
vulgar,vulgar,0.0
militancy,militancia,0.11111111111111116
substantive,sustantivo,0.10666666666666658
ever,alguna vez,0.5666666666666667
splendid,esplendido,0.033333333333333326
reconciliation,reconciliacion,0.06666666666666665
singularity,singularidad,0.16363636363636347
compassion,compasion,0.014814814814814725
hypocrite,hipocrita,0.20740740740740748
protagonist,protagonista,0.012121212121212088
resignation,resignacion,0.08484848484848484
borderline,limite,0.47777777777777786
pal,camarada,0.711111111111111
complacent,suficiente,0.5066666666666667
ephemeral,efimero,0.40000000000000013
peculiar,peculiar,0.0
unconditional,incondicional,0.14358974358974363
unintelligible,ininteligible,0.08205128205128209
complexity,complejidad,0.2733333333333333
believable,creible,0.2952380952380952
sagacious,sagaz,0.2400000000000001
i could,pude,0.5166666666666666
demystify,desmitificar,0.3185185185185184
post,correo,0.6833333333333333
incongruity,incongruidad,0.16363636363636347
since,desde,0.52
sanction,sancion,0.01904761904761898
cult,culto,0.033333333333333326
succinct,sucinto,0.1523809523809525
fear,miedo,0.6833333333333333
redemption,redencion,0.20000000000000007
indeterminate,indeterminado,0.1333333333333332
explicit,explicito,0.016666666666666607
empirical,empirico,0.125
flight,vuelo,0.7066666666666668
sun,sol,0.5777777777777777
homogeneity,homogeneidad,0.16363636363636347
inertia,inercia,0.13333333333333341
free,gratis,0.7
all,todo,0.8666666666666667
underlying,subyacente,0.5933333333333334
subtle,sutil,0.21333333333333337
reverberate,reverberar,0.09999999999999987
conscientious,concienzudo,0.2545454545454545
compulsory,obligatorio,0.5333333333333333
sober,sobrio,0.19999999999999996
arbitrary,arbitrario,0.11111111111111116
addiction,adiccion,0.13333333333333341
perpendicular,perpendicular,0.0
however,sin embargo,0.6476190476190476
experience,experiencia,0.09999999999999987
shout,gritar,0.6933333333333334
exceedingly,extremadamente,0.49090909090909096
core,centro,0.4666666666666667
quite,bastante,0.5466666666666666
glimpse,vistazo,0.6190476190476191
aurelio,aurelio,0.0
do without,hacer sin,0.674074074074074
transcendence,trascendencia,0.1384615384615382
spectrum,espectro,0.22499999999999998
possibility,posibilidad,0.23636363636363633
preponderant,preponderante,0.011111111111111072
irreproachable,irreprochable,0.01025641025641022
to mix,mezclar,0.7111111111111111
moon,luna,0.6499999999999999
pusilC/nime,pusilC/nime,0.0
prudent,prudente,0.01904761904761898
exclusively,exclusivamente,0.17575757575757556
month,mes,0.6222222222222222
kindness,amabilidad,0.6583333333333334
distinct,distinto,0.1166666666666667
suitability,idoneidad,0.674074074074074
attachment,adjunto,0.5142857142857143
but,pero,0.8666666666666667
idiot,estupido,0.4
insightful,perspicaz,0.6666666666666667
serious,grave,0.7066666666666668
saddle,sillin,0.5777777777777777
to understand,comprender,0.45333333333333337
now,ahora,0.6666666666666667
analytical,analitico,0.2148148148148148
eccentricity,excentricidad,0.22777777777777763
animosity,animosidad,0.19999999999999996
criterion,criterio,0.016666666666666607
individualism,individualismo,0.01025641025641022
submission,sumision,0.033333333333333326
pre-eminence,preeminencia,0.1499999999999999
rite,rito,0.2333333333333334
interesting,interesante,0.23636363636363633
firstfruits,primeros frutos,0.290909090909091
imminent,inminente,0.13333333333333341
aware,consciente,0.7333333333333334
immersion,inmersion,0.10370370370370374
importance,importancia,0.09999999999999987
interference,interferencia,0.08333333333333337
then,entonces,0.5
what,que,0.8666666666666667
native,nativo,0.15555555555555556
fear,miedo,0.6833333333333333
machiavellian,maquiavelico,0.29999999999999993
greed,codicia,0.7066666666666668
blunt,desafilado,0.76
sucker,ventosa,0.711111111111111
spontaneous,espontaneo,0.09999999999999987
for the,para el,0.5047619047619047
pragmatism,pragmatismo,0.013333333333333308
repentance,arrepentimiento,0.29999999999999993
he has,el tiene,0.6000000000000001
passion,pasion,0.022222222222222143
sensible,sensitivo,0.32499999999999984
sum,suma,0.04444444444444451
overestimated,sobreestimado,0.27692307692307694
monochrome,monocromo,0.11851851851851858
periodically,periodicamente,0.222222222222222
