es,fr,Alignment Score
legal,legal,0.0
incredulidad,incredulite,0.16363636363636347
concomitante,concomitant,0.012121212121212088
restriccion,restriction,0.08484848484848484
ano,anus,0.33333333333333337
tez,complexion,0.7777777777777778
dulce,doux,0.4666666666666667
estafa,arnaque,0.5888888888888889
interrogatorio,interrogatoire,0.12857142857142834
sentido,sens,0.28333333333333355
transfiguracion,transfiguration,0.06222222222222218
confiable,digne de confiance,0.2666666666666666
representacion,representation,0.06666666666666665
justo,equitable,0.6133333333333333
para ver,voir,0.5166666666666666
temprano,tot,0.42222222222222217
mmm,hmm,0.3111111111111112
litigio,litige,0.16666666666666663
nostalgia,nostalgie,0.10370370370370374
habil,habile,0.026666666666666727
alcance,portee,0.7
determinado,determine,0.11851851851851847
sensibilidad,sensibilite,0.16363636363636347
longitud,longueur,0.32500000000000007
despertar,susciter,0.5416666666666667
altruista,altruiste,0.10370370370370374
resignificar,resignifier,0.09090909090909083
circunscripcion,circonscription,0.12444444444444436
trascendente,transcendant,0.15555555555555556
decir,dire,0.25
presuncion,presomption,0.26
hornear,cuire,0.56
familia,famille,0.24761904761904763
detras,derriere,0.4555555555555556
extemporaneo,improvise,0.5037037037037038
promocion,promotion,0.10370370370370374
mediocridad,mediocrite,0.17999999999999994
competencia,competence,0.09999999999999987
vacio,depourvu,0.72
inusual,inhabituel,0.40000000000000013
implicitamente,implicitement,0.08205128205128209
infraestructura,infrastructure,0.07619047619047614
base,fondation,0.75
renunciar,resigne,0.5047619047619049
increible,incroyable,0.20000000000000007
sistematizar,systematiser,0.2222222222222222
sufrir,souffrir,0.04444444444444451
trascender,transcender,0.013333333333333308
referencia,reference,0.11111111111111116
convaleciente,convalescent,0.08888888888888902
fase,phase,0.25
sera,ce sera,0.06666666666666676
censo,recensement,0.28
parcialmente,partiellement,0.23888888888888893
limite,seuil,0.6799999999999999
conyuge,conjoint,0.4857142857142859
dispensable,dispensable,0.0
coexistencia,coexistence,0.09090909090909083
empresa,entreprise,0.4095238095238096
disension,dissension,0.014814814814814725
designacion,designation,0.08484848484848484
gloria,gloire,0.30000000000000016
austero,austere,0.13333333333333341
amable,doux,0.8666666666666667
alto,haut,0.4666666666666667
lema,devise,0.6833333333333333
basico,essentiel,0.6222222222222222
dicotomia,dichotomie,0.11851851851851858
para,pour,0.45000000000000007
contemplar,contempler,0.09333333333333338
abundantemente,abondamment,0.19393939393939386
discrepancia,divergence,0.3733333333333334
circunciso,circoncis,0.11851851851851858
bulto,renflement,0.6
intelectual,intellectuel,0.09696969696969682
alegria,acclamation,0.523809523809524
tierra,atterrir,0.33333333333333337
predisposicion,predisposition,0.06666666666666665
empatia,empathie,0.1523809523809525
abuela,grand-mere,0.6222222222222222
negro,noir,0.45000000000000007
antagonismo,antagonisme,0.08484848484848473
haber,etre,0.4666666666666667
reconocimiento,reconnaissance,0.4190476190476189
cortes,courtois,0.188888888888889
austeridad,austerite,0.19999999999999996
sin embargo,cependant,0.6814814814814816
eminencia,eminence,0.125
no,non,0.06666666666666676
despues,apres,0.4
conviccion,conviction,0.09333333333333338
estabilidad,la stabilite,0.32121212121212117
consentir,consentement,0.21481481481481468
exito,succes,0.6933333333333334
taciturno,taciturne,0.10370370370370374
imperceptible,imperceptible,0.0
merito,merite,0.15555555555555556
comun,ordinaire,0.5866666666666667
parsimonia,parcimonie,0.18666666666666676
consistencia,coherence,0.40740740740740744
promiscuo,promiscuite,0.11851851851851847
indeleble,indelebile,0.014814814814814725
biodiversidad,biodiversite,0.1499999999999999
idiosincrasia,particularite,0.5846153846153846
rotundo,retentissant,0.5619047619047619
discrecion,discretion,0.09333333333333338
epistemologia,epistemologie,0.07179487179487176
rechazar,rejeter,0.48571428571428565
instancia,exemple,0.8380952380952381
comunion,communion,0.016666666666666607
elevar,augmenter,0.47777777777777786
personalidad,personnalite,0.21666666666666645
inhospito,inhospitalier,0.1333333333333333
democracia,democratie,0.18666666666666676
extraordinario,extraordinaire,0.12857142857142834
notorio,celebre,0.7238095238095238
alguno,quelques,0.6222222222222222
esteriotipado,stereotype,0.30666666666666675
notivago,notivago,0.0
