pt,en,Alignment Score
contingente,quota,0.6266666666666667
audaz,daring,0.5333333333333333
liberdade,freedom,0.6285714285714286
autoctone,autochthonous,0.14814814814814814
refutar,refute,0.16666666666666663
pernostico,pernostic,0.014814814814814725
nocivo,harmful,0.8333333333333334
constante,constant,0.016666666666666607
desnecessario,unnecessary,0.2545454545454545
sol,sun,0.5777777777777777
inspiracao,inspiration,0.18666666666666676
isso,that,0.8333333333333334
aleatoriamente,randomly,0.5916666666666668
tudo,all,0.8666666666666667
complexo,complex,0.01904761904761898
sua,your,0.6444444444444445
proposito,purpose,0.2857142857142857
agir,act,0.6000000000000001
auspicioso,auspicious,0.09333333333333327
tribulacao,tribulation,0.18666666666666676
saudade,longing,0.8190476190476191
abnegado,selfless,0.7333333333333334
corja,owl,0.6444444444444445
estereotipo,stereotype,0.19999999999999996
maestria,mastery,0.2761904761904762
arcabouco,framework,0.5777777777777777
coincidencia,coincidence,0.09090909090909083
necessidade,need,0.16666666666666685
conserto,repair,0.6000000000000001
fim,end,0.8444444444444444
foi,he was,0.9111111111111111
amigo,friend,0.7066666666666668
proveniente,originating,0.5515151515151515
mais,more,0.6333333333333333
aquiescencia,acquiescence,0.1499999999999999
lascivia,lust,0.5333333333333334
ceu,sky,0.8444444444444444
relacao,relationship,0.3047619047619049
paralelo,parallel,0.1166666666666667
despretensioso,unpretentious,0.28205128205128205
intermitente,intermittent,0.07777777777777772
especificacao,specification,0.20512820512820495
monossilabico,monosyllabic,0.15555555555555545
soberba,superb,0.3111111111111112
preconizar,advocate,0.6583333333333334
diligencia,diligence,0.11111111111111116
limpido,clear,0.7066666666666668
amor,love,0.6666666666666667
persuadir,persuade,0.125
piedade,piety,0.3733333333333334
excerto,excerpt,0.13333333333333341
influencia,influence,0.11111111111111116
censo,census,0.19999999999999996
difuso,diffuse,0.1777777777777778
forte,strong,0.7066666666666668
inato,innate,0.21333333333333337
cetico,skeptical,0.3555555555555556
conferencia,conference,0.09999999999999987
confianca,trust,0.88
colosso,colossus,0.1428571428571429
mao,hand,0.6444444444444445
num,on one,0.6666666666666667
proceder,proceed,0.1428571428571429
plena,full,0.6666666666666667
bem,good,0.8666666666666667
ciencia,science,0.2571428571428571
coercitivo,coercive,0.1416666666666666
denso,dense,0.18666666666666676
pretensioso,pretentious,0.1696969696969698
excepcional,exceptional,0.08484848484848484
provavelmente,probably,0.3916666666666667
alegria,happiness,0.638095238095238
assintomatico,asymptomatic,0.2222222222222222
proposicao,proposition,0.18666666666666676
minuciosamente,thoroughly,0.7666666666666666
preponderancia,preponderance,0.07692307692307687
estavel,stable,0.3222222222222223
especificidade,specificity,0.18181818181818166
portanto,therefore,0.6333333333333333
iconico,iconic,0.022222222222222143
sendo,being,0.5466666666666666
buscar,search,0.4444444444444444
razao,reason,0.3866666666666667
prazer,pleasure,0.4555555555555556
fel,gall,0.6000000000000001
sob,under,0.8888888888888888
utopia,utopia,0.0
revolucionario,revolutionary,0.14871794871794863
eximio,excellent,0.5888888888888889
salutar,wholesome,0.7333333333333334
assim,like this,0.7333333333333334
vocabulo,word,0.7166666666666667
com,with,0.8666666666666667
estelionatario,embezzler,0.5259259259259259
apreco,appreciation,0.09999999999999987
emotivo,emotional,0.1523809523809524
pecuniaria,pecuniary,0.11111111111111116
ressarcimento,refund,0.5222222222222223
indulgente,indulgent,0.014814814814814725
pertinente,relevant,0.45000000000000007
devaneio,daydream,0.5333333333333334
introspectivo,introspective,0.07179487179487176
genuino,genuine,0.13333333333333341
ardil,ruse,0.6666666666666667
fugaz,fleeting,0.56
nos,us,0.5
extase,ecstasy,0.3222222222222223
axioma,axiom,0.026666666666666727
dia,day,0.3111111111111112
alusao,allusion,0.20000000000000007
caos,chaos,0.033333333333333326
disciplina,discipline,0.09333333333333327
ode,ode,0.0
sororidade,sorority,0.23333333333333328
tenue,tenuous,0.21333333333333337
ermo,wilderness,0.55
primazia,primacy,0.2571428571428571
desumilde,demeaning,0.4666666666666667
desgraca,disgrace,0.2333333333333334
