en,fr,Alignment Score
peace,paix,0.4666666666666667
no,non,0.06666666666666676
gall,fiel,0.6333333333333333
sky,ciel,0.8666666666666667
to be,etre,0.4666666666666667
vile,vil,0.04444444444444451
under,sous,0.6666666666666667
bad,mauvais,0.7111111111111111
to see,voir,0.7
mother,mere,0.2666666666666666
to have,avoir,0.5466666666666666
ego,ego,0.0
good,bien,0.8333333333333334
but,mais,0.8666666666666667
sun,soleil,0.6444444444444444
good,bien,0.8333333333333334
come over,venir,0.4
go,aller,0.9666666666666667
they are,ils sont,0.7166666666666667
to give,donner,0.6000000000000001
now,maintenant,0.7555555555555555
what,quoi,0.8333333333333334
it was,c'etait,0.5666666666666667
link,lien,0.2333333333333334
light,lumiere,0.5466666666666666
us,nous,0.09999999999999998
defendant,defendeur,0.28148148148148144
with,avec,0.8333333333333334
your,ton,0.6444444444444445
such,tel,0.8666666666666667
he was,il etait,0.6222222222222222
role,role,0.0
me,moi,0.5
one,un,0.5333333333333334
moon,lune,0.6499999999999999
until,jusqu'a,0.7066666666666668
hmm,hmm,0.0
per,par,0.3111111111111112
vis,vis,0.0
end,fin,0.6000000000000001
post,poste,0.033333333333333326
pain,douleur,0.8833333333333334
act,acte,0.04444444444444451
sun,soleil,0.6444444444444444
without,sans,0.8833333333333334
father,pere,0.4833333333333334
turn,tourner,0.08333333333333337
day,jour,0.8666666666666667
i give,je donne,0.6000000000000001
will,volonte,0.7
pro,pro,0.0
behold,voir,0.7
road,route,0.45000000000000007
complexion,complexion,0.0
to read,lire,0.5
ode,ode,0.0
so,donc,0.5666666666666667
nor,ni,0.5
i did,je l'ai fait,0.48
act,acte,0.04444444444444451
voice,voix,0.25
gay,gay,0.0
my,mon,0.5
law,loi,0.5777777777777777
flight,vol,0.6666666666666667
bad,mauvais,0.7111111111111111
hand,main,0.4666666666666667
on one,sur une,0.4555555555555555
give,donner,0.6833333333333333
hustle,agitation,0.7444444444444445
pair,paire,0.033333333333333326
for,pour,0.3555555555555556
river,riviere,0.053333333333333344
hence,ainsi,0.6933333333333334
hello,bonjour,0.7066666666666668
cia,cia,0.0
jus,jus,0.0
home,maison,0.6833333333333333
your,ton,0.6444444444444445
he did,il a fait,0.6333333333333333
will,volonte,0.7
via,via,0.0
sound,son,0.08888888888888902
ship,bateau,0.8666666666666667
yes,oui,0.8444444444444444
i love,j'aime,0.5666666666666667
king,roi,0.6222222222222222
he has,il a,0.5
good,bien,0.8333333333333334
but,mais,0.8666666666666667
use,utiliser,0.15555555555555556
month,mois,0.45000000000000007
gone,disparu,0.8833333333333334
lies,mensonges,0.5166666666666666
wing,aile,0.6666666666666667
some,quelques,0.7
him,lui,0.6000000000000001
echo,echo,0.0
pal,copain,0.3999999999999999
clan,clan,0.0
love,amour,0.6833333333333333
fact,fait,0.2333333333333334
myth,mythe,0.033333333333333326
bias,biais,0.033333333333333326
you,toi,0.6222222222222222
as,comme,0.9666666666666667
chaos,chaos,0.0
haphazardly,au hasard,0.32592592592592595
panache,panache,0.0
see,voir,0.8666666666666667
action,action,0.0
thirst,la soif,0.7222222222222222
after,apres,0.52
then,alors,0.85
life,vie,0.3555555555555556
house,maison,0.7066666666666668
peak,culminer,0.7333333333333334
saga,saga,0.0
fear,peur,0.4666666666666667
anus,anus,0.0
wilderness,region sauvage,0.6133333333333333
sum,somme,0.37777777777777777
grandma,grand-mere,0.17142857142857149
motto,devise,0.8400000000000001
beyond,au-dela,0.711111111111111
fool,idiot,0.6833333333333333
fate,destin,0.6833333333333333
idem,idem,0.0
urgent,urgent,0.0
believe,croire,0.5888888888888889
for the,pour le,0.39047619047619053
fit,ajuster,0.6888888888888889
zeal,zele,0.2333333333333334
he came,il est venu,0.5523809523809524
i could,je pourrais,0.5523809523809524
all,tous,0.8666666666666667
more,plus,0.8333333333333334
bad,mauvais,0.7111111111111111
area,zone,0.6499999999999999
love,amour,0.6833333333333333
rude,grossier,0.5333333333333334
lame,boiteux,0.7
quota,quota,0.0
for,pour,0.3555555555555556
sound,son,0.08888888888888902
land,atterrir,0.7166666666666668
it will be,ce sera,0.6476190476190476
phase,phase,0.0
being,etre,0.6666666666666667
self,soi,0.6000000000000001
behind,derriere,0.6222222222222222
sweet,doux,0.85
vogue,vogue,0.0
soon,bientot,0.7
where,ou,0.9666666666666667
rime,rime,0.0
god,dieu,0.6000000000000001
for the,pour le,0.39047619047619053
before,avant,0.8400000000000001
early,tot,0.8888888888888888
yoke,joug,0.6666666666666667
quite,assez,0.6799999999999999
art,art,0.0
soul,ame,0.8666666666666667
goal,but,0.8666666666666667
whose,dont,0.6833333333333333
saddle,selle,0.36
brings,apporte,0.7222222222222222
in,dans,0.5666666666666667
cell,cellule,0.06666666666666676
content,contenu,0.13333333333333341
been,a ete,0.4833333333333334
noia,noia,0.0
face,affronter,0.55
disgust,degouter,0.40000000000000013
disgust,degouter,0.40000000000000013
target,cible,0.6933333333333334
focus,se concentrer,0.6533333333333333
that,que,0.8666666666666667
pose,pose,0.0
to go out,sortir,0.6222222222222222
base,base,0.0
ok,d'accord,0.7
hate,detester,0.5166666666666666
act,acte,0.04444444444444451
he had,il avait,0.6111111111111112
high,haut,0.6333333333333333
all,tous,0.8666666666666667
leisure,loisirs,0.40000000000000013
rite,rite,0.0
jeez,ouais,0.85
will,volonte,0.7
new,nouveau,0.42222222222222217
agile,agile,0.0
dawn,aube,0.6500000000000001
thesis,these,0.19999999999999996
high,haut,0.6333333333333333
bulge,renflement,0.6
nexus,lien,0.6499999999999999
shore,rive,0.45000000000000007
sagacious,sagace,0.18888888888888877
core,coeur,0.25
black,noir,0.85
term,terme,0.033333333333333326
success,succes,0.022222222222222143
to mix,melanger,0.7222222222222222
noble,noble,0.0
sense,sens,0.033333333333333326
affection,affection,0.0
executioner,bourreau,0.6583333333333334
ethics,ethique,0.30000000000000016
full,complet,0.7
mutual,mutuel,0.15555555555555556
tenuous,tenu,0.06666666666666676
to do,faire,0.8266666666666667
like this,comme ca,0.6416666666666666
subtle,subtil,0.15555555555555556
force,forcer,0.026666666666666727
here,ici,0.8666666666666667
however,cependant,0.6476190476190476
section,section,0.0
were,etaient,0.5166666666666666
heal,guerir,0.7
power,pouvoir,0.3733333333333334
daring,audacieux,0.48888888888888893
idea,idee,0.2333333333333334
core,coeur,0.25
innate,inne,0.050000000000000155
moral,morale,0.026666666666666727
about,a propos,0.5733333333333334
since,depuis,0.6799999999999999
very,tres,0.6666666666666667
fair,equitable,0.75
honor,honneur,0.21333333333333337
perhaps,peut-etre,0.5047619047619049
clumsy,maladroit,0.7333333333333334
dream,reve,0.4666666666666667
reason,raison,0.15555555555555556
futile,futile,0.0
ethnicity,appartenance ethnique,0.4666666666666667
icon,icone,0.033333333333333326
attachment,piece jointe,0.5266666666666666
friend,ami,0.6666666666666667
aegis,egide,0.3600000000000001
tange,tanger,0.026666666666666727
lapse,laps,0.033333333333333326
be,etre,0.5333333333333334
expose,exposer,0.022222222222222143
mutual,mutuel,0.15555555555555556
dengo,dengo,0.0
time,temps,0.45000000000000007
couple,couple,0.0
then,alors,0.85
skillful,habile,0.6000000000000001
harvest,recolte,0.5047619047619047
bocal,bocal,0.0
ruse,ruse,0.0
live,en direct,0.5666666666666667
to weight,peser,0.7466666666666667
to know,savoir,0.7222222222222222
cause,cause,0.0
grace,la grace,0.053333333333333344
to say,dire,0.8666666666666667
genre,genre,0.0
obstacle,obstacle,0.0
possession,possession,0.0
sew,coudre,0.6666666666666667
pariah,paria,0.026666666666666727
duty,devoir,0.6666666666666667
shout,crier,0.8266666666666667
tenacious,tenace,0.18888888888888877
offspring,progeniture,0.5777777777777778
sieve,tamis,0.6666666666666667
being,etre,0.6666666666666667
owl,hibou,0.6444444444444445
