es,ro,Alignment Score
grandilocuente,grandilocvent,0.08205128205128198
alias,aka,0.37777777777777777
diversidad,diversitate,0.19333333333333336
transformacion,transformare,0.15555555555555545
parcialidad,partinire,0.41481481481481497
vagabundo,vagabond,0.13333333333333341
comorbilidad,comorbiditate,0.22777777777777763
egida,egida,0.0
sin embargo,cu toate acestea,0.6424242424242423
corolario,corolar,0.028571428571428692
en,in,0.4666666666666667
contenido,continut,0.33333333333333337
seccion,sectiune,0.2857142857142858
interlocutor,interlocutor,0.0
prodigo,risipitor,0.5238095238095238
intrinseco,intrinsec,0.014814814814814725
ninfomana,nimfoman,0.13333333333333341
serenidad,seninatate,0.4
complicidad,complicitate,0.17575757575757567
atroz,atroce,0.19999999999999996
insercion,inserare,0.32499999999999984
extrano,ciudat,0.711111111111111
discriminacion,discriminare,0.15555555555555545
valer,in valoare de,0.30666666666666675
discrecional,discretionara,0.16111111111111098
verbosidad,verbiaj,0.1809523809523812
discernimiento,discernamant,0.17222222222222217
dios,dumnezeu,0.7
indudable,indubitabil,0.2222222222222222
repuesto,de rezerva,0.5583333333333333
subestimar,subestima,0.014814814814814725
verdugo,calau,0.7066666666666668
reciprocidad,reciprocitate,0.16111111111111098
a el,-l,0.5333333333333334
perfeccionista,perfectionist,0.08205128205128209
role,rol,0.04444444444444451
saludo,salut,0.19999999999999996
felicidades,felicitari,0.2733333333333333
travieso,obraznic,0.55
ambiguo,ambiguu,0.13333333333333341
reiterar,reitereaza,0.1333333333333333
aclaracion,clarificare,0.43333333333333335
alma,suflet,0.7
bonito,frumos,0.7
bien,bun,0.33333333333333337
desden,dispret,0.47777777777777786
interes,interes,0.0
tange,tange,0.0
nuevo,nou,0.3555555555555555
longanimidad,indelung rabdator,0.4722222222222222
impetuoso,impetuos,0.016666666666666607
fuertemente,puternic,0.4750000000000001
extrano,bizar,0.7066666666666667
conveniencia,comoditatea,0.4666666666666668
impersonalidad,impersonalitate,0.13809523809523805
increible,incredibil,0.11851851851851858
generico,generic,0.01904761904761898
conocimiento,cunostinte,0.3800000000000001
tener,a avea,0.7066666666666668
signatario,semnatar,0.24166666666666659
detrimento,in detriment,0.10666666666666669
subsecuente,ulterior,0.5583333333333333
acto,act,0.04444444444444451
profesional,profesional,0.0
muy,foarte,0.9111111111111111
en disolucion,disolut,0.19999999999999996
no me des,nu-mi da,0.45833333333333337
recalcitrante,recalcitrant,0.011111111111111072
posiblemente,eventual,0.4750000000000001
diferido,amanata,0.8285714285714286
restringir,restrange,0.2148148148148148
inconmensurable,nemasurata,0.3933333333333332
sapiencia,intelepciune,0.5037037037037038
por lo tanto,prin urmare,0.5515151515151515
sinonimo,sinonim,0.01904761904761898
contextualizar,contextualizati,0.0714285714285714
cordura,sanatate psihica,0.6761904761904762
subversivo,subversiv,0.014814814814814725
melancolia,melancolie,0.09333333333333327
permisividad,permisivitatea,0.16111111111111098
arrogante,arogant,0.03809523809523818
incircunciso,necircumcis,0.18181818181818177
apogeo,ziua de glorie,0.5444444444444445
inofensivo,inofensiv,0.014814814814814725
halagada,flatat,0.47777777777777775
estilo eclesial!,stilul eclesial,0.12888888888888883
meticuloso,meticulos,0.014814814814814725
benevolencia,bunavointa,0.3733333333333334
hegemonia,hegemonie,0.10370370370370374
estigma,stigmatizarea,0.19047619047619035
retorica,retorica,0.0
implicito,implicit,0.016666666666666607
barco,nava,0.6666666666666667
infame,infam,0.026666666666666727
importante,important,0.014814814814814725
codicia,lacomie,0.5047619047619049
creer,crede,0.18666666666666676
interseccion,intersectie,0.17575757575757567
termino analogo,analogic,0.2833333333333333
conventual,claustrala,0.5066666666666666
endemico,endemice,0.1166666666666667
paciencia,rabdare,0.638095238095238
analogia,analogie,0.1166666666666667
proporcionar,oferi,0.4666666666666668
libertinaje,depravare,0.5037037037037038
intolerancia,intoleranta,0.09090909090909083
jus,jus,0.0
ingenio,spirit,0.6000000000000001
area,zona,0.6333333333333333
senor,domnule,0.7066666666666667
conocimiento,perspicacitate,0.5777777777777777
intermediario,intermediar,0.018181818181817966
ley,lege,0.33333333333333337
aburrido,schiop,0.6000000000000001
modestia,modestie,0.1166666666666667
exilio,exil,0.050000000000000155
oportunidad,oportunitate,0.17575757575757567
amar,dragoste,0.7166666666666668
personaje,caracter,0.5583333333333333
